Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
protein heterodimerization activity (GO:0046982)	14/265	1.6800478715816688E-10	1.9337351001905008E-7	0	0	9.783368273934311	220.19454995610792	AOC3;CYBB;CYBA;ADRA1A;RELA;VEGFA;NEUROD1;BCL2;BAX;PPARG;TP53;ATF3;BCL2L1;YWHAH
cytokine activity (GO:0005125)	10/155	1.1795600603317066E-8	6.788368147208971E-6	0	0	11.947431302270012	218.10680054027034	IL6;EDN1;TGFB1;IFNG;CCL20;IL1B;TIMP1;TNF;CX3CL1;VEGFA
oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664)	4/12	3.849400279130703E-7	1.476886573759813E-4	0	0	61.728395061728385	911.7394003979415	AIFM1;NCF1;CYBB;CYBA
insulin-like growth factor receptor binding (GO:0005159)	4/15	1.0483360325069215E-6	3.016586933538667E-4	0	0	49.382716049382715	679.9163645311068	IRS1;INSR;IGF1;YWHAH
superoxide-generating NADPH oxidase activity (GO:0016175)	3/7	5.275619426572367E-6	0.0012144475919969588	0	0	79.36507936507935	964.4773379887118	NCF1;CYBB;CYBA
transition metal ion binding (GO:0046914)	11/399	1.0592217295019346E-5	0.002031940351094545	0	0	5.105355982548964	58.48384919875422	AOC3;ACE;NOS3;TIMP2;PPARG;TIMP1;PCK1;SOD2;TP53;MMP9;SOD1
integrin binding (GO:0005178)	6/94	1.193757478397574E-5	0.001962878368050868	0	0	11.820330969267138	133.99313933275187	IL1B;PRKCA;S1PR2;IGF1;CX3CL1;ICAM1
protein kinase C activity (GO:0004697)	3/10	1.7875458122855736E-5	0.002571831537425869	0	0	55.55555555555555	607.3378800256642	PRKCE;PRKCD;PRKCA
death domain binding (GO:0070513)	3/10	1.7875458122855736E-5	0.0022860724777118836	0	0	55.55555555555555	607.3378800256642	BCL2;BAX;BCL2L1
protease binding (GO:0002020)	6/118	4.351288342346185E-5	0.00500833288204046	0	0	9.416195856873824	94.56170897424869	SERPINE1;BCL2;TIMP2;TIMP1;TNF;TP53
heme binding (GO:0020037)	5/72	4.389484699145253E-5	0.004592997171560169	0	0	12.860082304526749	129.03438304240635	NOS3;CAT;CYBB;HMOX1;PTGS2
protein homodimerization activity (GO:0042803)	13/664	6.024114303945271E-5	0.0057781296365341725	0	0	3.6256135653726016	35.23064898444441	AOC3;RELA;SOD1;VEGFA;ADRB3;CAT;S100A6;BCL2;HMOX1;BAX;ATF3;MAP3K5;BCL2L1
protein kinase binding (GO:0019901)	11/495	7.587863453211717E-5	0.0067181775651128355	0	0	4.11522633744856	39.038581926565236	ACE;IRS1;CAV1;INSR;PRKCD;PAX6;FOXO3;TP53;SIRT1;RELA;BCL2L1
flavin adenine dinucleotide binding (GO:0050660)	4/48	1.3030189954309774E-4	0.010712677598150392	0	0	15.432098765432096	138.05025456345396	NOS3;ACOX1;GSR;CYBB
insulin receptor binding (GO:0005158)	3/19	1.3932313085758045E-4	0.01069072824113834	0	0	29.23976608187134	259.611539190023	IRS1;IRS2;IGF1
transcription regulatory region DNA binding (GO:0044212)	9/374	1.9501331832264844E-4	0.014028770586835522	0	0	4.45632798573975	38.067926482363184	NEUROD1;SREBF1;PPARG;FOXO3;PPARA;TNF;TP53;ATF3;RELA
protein phosphatase 2B binding (GO:0030346)	2/6	4.272697218479748E-4	0.02892867352041288	0	0	61.728395061728385	478.89475784333683	SLC9A1;SOD1
kinase binding (GO:0019900)	9/418	4.407367563706551E-4	0.028182667032368	0	0	3.9872408293460926	30.809660227580807	CAV1;PRKCD;FAS;PAX6;FOXO3;TP53;PFKM;RELA;BCL2L1
ATP binding (GO:0005524)	7/255	4.7100049816713706E-4	0.02853271438896709	0	0	5.083514887436456	38.94303547122805	KCNJ11;INSR;PDK4;TP53;PFKM;GCK;MAP3K5
adenyl ribonucleotide binding (GO:0032559)	7/279	8.014002421874862E-4	0.04612058393788983	0	0	4.6462232842161155	33.12362299409096	KCNJ11;INSR;PDK4;TP53;PFKM;GCK;MAP3K5
hydrogen-exporting ATPase activity, phosphorylative mechanism (GO:0008553)	2/9	0.00101464278537308	0.05561208790306738	0	0	41.15226337448559	283.67154995988784	ATP2A3;ATP2A2
D-glucose transmembrane transporter activity (GO:0055056)	2/9	0.00101464278537308	0.05308426572565523	0	0	41.15226337448559	283.67154995988784	SLC2A2;SLC2A4
hormone activity (GO:0005179)	4/83	0.0010648127074014424	0.05328693157474174	0	0	8.92458723784025	61.088410146194576	EDN1;LEP;IGF1;AGT
zinc ion binding (GO:0008270)	7/302	0.0012688289770803373	0.06085092302581118	0	0	4.292371842040716	28.62866451077069	ACE;TIMP2;PPARG;TIMP1;TP53;MMP9;SOD1
purine ribonucleoside triphosphate binding (GO:0035639)	8/396	0.0013845357757566374	0.06374402711583559	0	0	3.7411148522259636	24.625478396884773	KCNJ11;INSR;PDK4;PCK1;TP53;PFKM;GCK;MAP3K5
copper ion binding (GO:0005507)	3/41	0.0014060177420553634	0.062243323888681666	0	0	13.550135501355012	88.98365673248281	AOC3;TP53;SOD1
potassium:proton antiporter activity (GO:0015386)	2/11	0.001539249866364372	0.06561765171057009	0	0	33.67003367003367	218.06262898961688	SLC9A3;SLC9A1
protein phosphatase binding (GO:0019903)	4/92	0.0015601349613610723	0.06413269073309265	0	0	8.051529790660226	52.0368997404975	TP53;MAP3K5;SLC9A1;SOD1
metalloendopeptidase inhibitor activity (GO:0008191)	2/12	0.0018405986332374164	0.07305272506400919	0	0	30.864197530864192	194.3723585223273	TIMP2;TIMP1
hexose transmembrane transporter activity (GO:0015149)	2/13	0.0021675996212726476	0.08316357213616057	0	0	28.49002849002849	174.7616777491255	SLC2A2;SLC2A4
