Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
focal adhesion (GO:0005925)	220/356	6.844972125064157E-61	3.0528575677786138E-58	0	0	2.8458555288505067	394.2482515188639	RPL4;CYFIP1;RPL5;MDC1;RPL30;TES;RPL3;RPL31;RPL8;RPL9;ACTB;RPL6;RPL7;ICAM1;RPS15;RPS14;RPS17;GJA1;RPS16;ALCAM;RPS19;MPRIP;RPS18;BSG;DAG1;RPS10;RPS13;TNS2;NUP214;ACTN2;RPL23;ACTN1;RPL22;AFAP1;ACTN4;RPL27;TLN1;PFN1;EZR;GRB7;TWF1;IQGAP1;HACD3;NCSTN;RRAS;EPB41L2;PRKAR2A;PCBP2;PIP5K1A;VASP;YES1;JUP;PTK2;PPFIBP1;HNRNPK;TRIP6;FAT1;HYOU1;CALR;FERMT2;NRP1;ARF1;TGFB1I1;CLTC;RPLP0;AKAP12;ANXA6;RAC2;RPLP2;RAC1;JAK2;GIT1;JAK1;CAP1;ANXA1;MME;KIF23;RHOA;RHOB;ENAH;MMP14;CTTN;ARHGEF2;PABPC1;ARHGEF7;CD44;ENG;ARF6;RPL12;EGFR;LIMA1;CTNNA1;RPS3;FLNA;CD59;FLNC;RPS2;RPL18;RPL19;PAK4;SVIL;GIT2;NPM1;GSN;SORBS1;FAP;DLC1;ZYX;CTNNB1;HSPA1B;HSPA1A;SCARB2;CD81;RPL10A;PVR;ACTG1;PPP1CB;PPP1CC;PLAU;CFL1;CAPN2;CAPN1;TGM2;PDGFRB;PDIA3;RPS9;MAP2K1;MAP2K2;TPM4;RPS7;RPS8;CASK;LMO7;PROCR;ADAM17;ADAM9;PPIA;VCL;PXN;LPP;CORO1B;SLC9A1;HSP90B1;CORO1C;SLC9A3R2;CNN1;G3BP1;HSPA9;HSPA8;HSPA5;CAV3;CAV2;CAV1;HMGA1;MSN;DAB2;PTPRC;FES;GNB2;TADA1;FGFR3;YWHAE;ITGB1;FLT1;ITGB5;YWHAB;ITGB3;DOCK7;SNAP23;FHL2;ILK;HSPB1;SYNE2;RPS4X;RPL7A;YWHAQ;FLOT1;FLOT2;ITGAV;PGM5;ITGB6;YWHAG;ACTR3;PDCD6IP;PPP1R12A;ITGA4;DST;ITGA3;RPL13A;RPS3A;YWHAZ;SENP1;PALLD;RPL37A;IRF2;CAT;NUMB;MYH9;ITGA6;ITGA5;PLEC;LRP1;ADD1;RAB21;CDC42;GNA13;GNA12;PTK2B;MAPK1;CLASP1;PDLIM7;CLASP2;MAPK3;MARCKS;ACTC1;CD9;KRAS;VIM;P4HB;BCAR1
nuclear chromosome part (GO:0044454)	195/392	4.796504658182754E-35	1.069620538774754E-32	0	0	2.290808103116909	181.02559133015947	SPI1;SMARCB1;TRRAP;EHMT2;TONSL;CCAR2;ACTB;KAT5;ZMIZ2;MYC;DPF2;RCC1;JUNB;NFRKB;TP63;MEF2A;MEF2C;SMARCC1;RUNX2;WDR82;TP53;ASF1A;PRKDC;DHX9;GATA3;NCAPH;ZNHIT1;HIST1H3A;TERT;RAD21;CREBBP;JUN;FAM9B;XRCC6;JUND;XRCC5;PLK1;H3F3A;SETD1A;XRCC3;SMARCA5;XRCC1;NFATC1;SMARCA2;SMARCA4;POLA1;HIST1H4A;HNRNPK;RAD17;SNAI2;ATM;HNRNPC;EZH2;ATR;FEN1;HIST2H2AB;NAT10;AKR1B1;BRCA1;BRCA2;HIST2H2AC;MIS18BP1;NUF2;NCOA1;DFFA;PARP1;NCOA3;ACTL6A;TCF12;PAX6;TERF1;SIRT1;UCHL5;NCOR2;DDB1;NCOR1;RARA;POT1;PLCB1;PPARD;PCNA;PRIM1;CENPA;RELA;HIRA;PURA;RXRA;BRD8;CENPT;GINS2;STAT1;MCRS1;STAT3;RPA1;NR1H3;RPA2;MLH1;APTX;MLH3;PPP1CA;APEX1;MPHOSPH8;DCLRE1A;MRE11;KDM1A;PPP1CB;YY1;PPP1CC;YY2;RUVBL2;RUVBL1;MEN1;HIST1H2AB;USP3;THOC1;LIG4;THOC5;THOC6;BRMS1;MSH2;LRIF1;HIST1H2BB;HIST1H2BA;BLM;MAX;CCNB1;EP400;DVL3;SMAD2;SMAD4;CPSF6;SMAD3;UBE2B;ALYREF;UBE2A;ESR1;CDK9;H1F0;FER;SP1;CDK1;NABP2;NABP1;TCF4;TCF3;MCM7;HMGB2;CDC73;HIST1H1D;HIST1H1A;ZNF385A;HIST1H1B;KDM6A;TBP;BUD31;ATRX;H2AFX;TFIP11;ARID1A;HAND2;MYOD1;IRF1;MCM3;MCM4;MCM5;MCM6;MCM2;SMARCD2;HDAC2;NUFIP1;SMARCD3;HDAC1;UHRF1;SRF;AURKB;AURKA;MUC1;RBBP4;NRIP1;E2F1;MTA2;BUB1;SSB;KDM4C;KLF4;PML;USF1;RAD50;RAD51;POLR3D;HIST3H3;TNP2;TAF5;TNP1;TAF1
cytosolic part (GO:0044445)	107/159	5.043340925011004E-35	7.497766841849692E-33	0	0	3.0990374158082763	244.73845188917272	RPL4;RPL5;RPLP0P6;RPL30;RPL3;RPL31;RPL10L;AHR;RPL8;RPL10A;RPL9;RPL6;RPL7;PYCARD;RPS15;RPS14;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;MAP3K7;RPS10;RPS13;EIF2A;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL24;GEMIN5;RPL27;RPL26;RPL29;RPL28;PFKFB1;RPS4Y1;PRDX3;FXR2;APOD;MCTS1;CCT6A;RPS26;RPS25;RPS28;RPS10P5;RPS27;RPL27A;RPS26P11;RPS24;RPS23;DDX3X;RPLP0;IKBKB;RPS4X;FYCO1;RPL7A;MRPL1;RACK1;RPLP2;IKBKG;CCT3;CCT2;CHUK;RPL13A;RPS3A;HBA1;MRPS5;MRPS9;TCP1;RPL37A;NUFIP1;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;ZNF622;CCT8;RPL18;RPS27A;CCT7;RPL17;UBQLN4;CCT5;RPL19;CCT4;RPL35A;RPL23A;PSMC5;PFKL;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;PFKM;RPL26L1
nuclear body (GO:0016604)	263/618	3.070883100918594E-32	3.424034657524232E-30	0	0	1.9597805343866965	142.203160697871	RB1;MDC1;EHMT2;GFI1;TONSL;HNRNPU;EHMT1;DCAF7;CHEK2;NAMPT;HABP4;TRIM25;MAGEA2;SNRPD3;PRKACA;DDX17;SRRM2;DAXX;MEF2C;ACTN4;MED7;RUFY1;DDX39A;CDC34;DDX39B;KCTD13;CD2BP2;HOXB2;TP53;DHX9;CSTF2;GATA4;LPAR4;HIF1A;MTDH;TERT;LARS;PCBP1;HIVEP1;PIP5K1A;TP53BP1;RREB1;BANP;TOE1;BARD1;CDT1;CREBBP;GADD45A;SETD1A;TRIP4;NR0B1;NFATC1;PTK6;FLI1;ZWINT;HNRNPM;SNW1;NOSTRIN;SPRTN;RETREG1;ATR;CDKN1A;USPL1;ELL;OGG1;AKR1B1;BMI1;TRIM8;MECOM;UIMC1;IKBKE;BRD2;NCOA2;BRD1;TCF12;TOP3A;IL16;TERF1;SIRT1;TOPORS;GNL3;NCOR2;ITPKC;KIF2A;TUT1;MAPT;PLCB1;SGK1;SLU7;PRKN;SF3B2;C11ORF54;PCNA;SATB1;NR1I2;FAAP20;BCLAF1;WRN;PLAGL1;PPP1R8;HSF1;CENPT;SUZ12;CASP8AP2;MBD4;SF3A1;CSNK1A1;RPA1;ERBIN;RPA2;GTF2H4;HIPK3;HIPK2;HINFP;SKI;NUDT21;NMNAT1;WT1;APEX1;HNRNPA2B1;NBR1;TRIP11;FAS;PKN2;HSPA1B;HSPA1A;MRE11;CRTC1;ICE2;GTF2B;GEMIN2;RORC;ZBTB20;PARK7;NR3C1;CDC14A;EFTUD2;FBL;BASP1;OIP5;BNIP3L;USP7;MSX2;DYRK1A;THOC1;PRPF4B;PPP4R3B;CDYL;CDC25C;DGKZ;PIAS2;PIAS1;THOC6;FANCD2;KAT6A;SRSF2;SRSF3;GEMIN5;SRSF4;WDFY3;SRSF5;SRSF6;RAF1;SQSTM1;SRSF8;BLM;RBM8A;DDX1;FOXO4;STK4;TAF5L;TIMM50;GRK5;TBXA2R;NACC1;ABL1;DVL2;SAFB2;EP400;SMN1;ZC3H13;MAGEA11;ZC3H14;CPSF6;UBE2I;CBX4;SMURF2;API5;BDNF;ZBTB16;CWC15;COPS4;CDK9;ISG20;NR4A2;AFDN;H1F0;CDK2;BHLHE40;MDM2;TPP2;TCF3;TAB1;NOP10;USP36;CIITA;RBM25;THRB;AKAP8L;PPWD1;ARRB1;DUSP11;SART1;RBM4;SART3;SUMO1;EXO1;SUMO2;NFKBIZ;POLI;BCAS2;ATRX;H2AFX;TFIP11;CKAP4;SFPQ;SYF2;ELF4;THRAP3;MYOD1;SNRPA1;HDAC5;PRKAA1;PRKAA2;RNF34;NUFIP2;POLDIP3;SRSF1;PRCC;CXXC1;U2AF1;RNF2;ADD1;NXF1;MAPK7;IFI16;U2AF2;NHS;RBBP6;RBM39;TRIM41;USP22;CDC5L;MAPK14;USP28;MTOR;PML;CHFR;RAD51;MYO1C;POLR3D;ACIN1;EIF3E
nuclear chromatin (GO:0000790)	136/253	4.006643729269018E-29	3.573926206507964E-27	0	0	2.475475050032809	161.86392121154378	SMARCB1;SPI1;KDM1A;TRRAP;EHMT2;CCAR2;ACTB;YY1;YY2;KAT5;MYC;RUVBL2;RUVBL1;DPF2;RCC1;JUNB;NFRKB;TP63;HIST1H2AB;MEN1;MEF2A;MEF2C;SMARCC1;USP3;RUNX2;BRMS1;TP53;ASF1A;DHX9;MAX;GATA3;ZNHIT1;HIST1H3A;EP400;DVL3;SMAD2;CREBBP;JUN;SMAD4;JUND;CPSF6;SMAD3;UBE2B;H3F3A;SETD1A;XRCC1;NFATC1;UBE2A;SMARCA2;ESR1;SMARCA4;CDK9;HIST1H4A;H1F0;FER;HNRNPK;SP1;RAD17;SNAI2;TCF4;HNRNPC;TCF3;EZH2;HIST2H2AB;HMGB2;AKR1B1;HIST2H2AC;HIST1H1D;HIST1H1E;HIST1H1A;ZNF385A;HIST1H1B;HIST1H1C;KDM6A;NCOA1;DFFA;TBP;NCOA3;BUD31;ACTL6A;TCF12;ATRX;H2AFX;PAX6;ARID1A;SIRT1;UCHL5;SIRT2;NCOR2;NCOR1;CREB1;MYOD1;IRF1;HAND2;RARA;PLCB1;PPARD;FOXC1;SMARCD2;HDAC2;NUFIP1;SMARCD3;UHRF2;HDAC1;UHRF1;SRF;CENPA;RELA;HIRA;MUC1;RXRA;RBBP4;NRIP1;E2F1;BRD8;MTA2;CENPT;KDM4C;STAT1;MCRS1;STAT3;NR1H4;NR1H3;KLF4;APTX;USF1;RAD50;RAD51;POLR3D;HIST3H3;CTNNB1;TAF5;TNP2;TNP1;MPHOSPH8;TAF1
chromatin (GO:0000785)	151/296	6.652270638683292E-29	4.944854508087914E-27	0	0	2.3492292661070002	152.41801698762106	RB1;SMARCB1;SPI1;MRE11;KDM1A;ICE2;EHMT2;JMJD1C;HR;PARK7;CCAR2;ACTB;YY1;YY2;CCND2;MYC;CHEK1;DPF2;RCC1;OIP5;JUNB;TP63;HIST1H2AB;MEN1;MEF2A;MEF2C;SMARCC1;USP3;RUNX2;HIC1;MYCN;WDR82;TP53;ASF1A;L3MBTL1;KMT2E;MAGED1;MAX;WDR61;GATA3;PDS5A;SUPT6H;DVL3;SMAD2;CREBBP;JUN;SMAD4;JUND;SMAD3;UBE2B;SETD1A;XRCC1;NFATC1;UBE2A;SMARCA2;ESR1;SMARCA4;CDK9;FAM111A;POLA1;H1F0;FER;HNRNPK;COPS5;SP1;CDK4;RAD17;SNAI2;UBA1;TCF4;HNRNPC;TCF3;TP73;EZH2;TOP2B;ELL;MCM7;SUV39H1;AKAP8L;HIST2H2AB;HMGB2;AKR1B1;PSIP1;ARRB1;HIST2H2AC;MECP2;SIN3B;SIN3A;HIST1H1D;ANKRD2;HIST1H1A;ZNF385A;HIST1H1B;KDM6A;NCOA1;BCAS3;DFFA;TBP;NCOA3;BUD31;ACTL6A;TCF12;H2AFX;PAX6;ARID1A;SIRT1;NCOR2;SFPQ;NCOR1;RBL1;MYOD1;IRF1;HAND2;RARA;PLCB1;PPARD;MCM2;SMARCD2;HDAC2;SMARCD3;HDAC1;UHRF1;SRF;RELA;HIRA;MUC1;RXRA;RBBP4;NRIP1;E2F1;MTA2;MBD4;KDM4C;STAT1;STAT3;NR1H3;RPA2;KLF4;APTX;USF1;CENPF;PINK1;RAD50;MIS18A;RAD51;NEDD4;POLR3D;EIF3E;TAF5;RAN;TAF1
secretory granule lumen (GO:0034774)	154/317	1.699056554791042E-26	1.0825417477668639E-24	0	0	2.237183589241471	132.74807424900155	FCN1;APP;CYFIP1;SPARC;SERPINE1;SRP14;MPO;CLU;PYCARD;PSMD6;PNP;PSMD7;PSMD2;PSMD3;PSMD1;ACAA1;PRSS2;NHLRC3;ACTN2;ACTN1;PRKCD;ACTN4;MIF;ILF2;EEF1A1;CSNK2B;PRTN3;PPIA;S100A9;S100A8;VCL;KPNB1;VCP;PSMD12;PSMD11;PSMD14;TEX264;PSMD13;PDGFB;KNG1;C3;PRDX4;CYB5R3;APOH;A2M;ATG7;S100A11;ELANE;VAT1;HSPA8;XRCC6;TGFB1;APOOL;JUP;XRCC5;TGFB3;IDH1;HSPA6;IGF2;FN1;PPBP;IGF1;PA2G4;DEFA1;LYZ;EEF2;PRDX6;NFKB1;HRNR;TF;TOLLIP;ALB;LCN2;MAGED2;HRG;PCSK2;LGALS3BP;PCSK1;PYGB;ORM1;DDX3X;HSP90AB1;HEXB;FAF2;OLA1;CXCL1;HMGB1;HK3;TMSB4X;TIMP2;TIMP3;CTSG;TIMP1;CTSD;SPTAN1;CEP290;CAP1;SERPINB3;SRGN;CCT2;HSP90AA1;DBNL;ANXA2;APAF1;DYNLT1;AHSG;TUBB;PGAM1;FGG;NME2;MMP8;APRT;PSMA5;PKM;PSMA2;CAT;ALDOC;ALDOA;GRN;PDXK;CAB39;ROCK1;GSTP1;MVP;PLG;THBS1;INS;PSMB7;CAND1;ALOX5;PSMB1;MAPK1;CCT8;DYNC1H1;GSN;EGF;AGL;VEGFB;HUWE1;TUBB4B;MAPK14;CPPED1;VEGFA;ERP44;PFKL;PSMC3;FABP5;DLC1;IMPDH2;PSMC2;GHRL;PTPN6;MNDA;ACTR10
cytoplasmic vesicle lumen (GO:0060205)	84/129	2.9500994430296383E-26	1.6446804394890234E-24	0	0	2.998677369088991	176.27836926352282	FCN1;PCSK2;CYFIP1;PCSK1;SPARC;DDX3X;HSP90AB1;HBB;HMGB1;SRP14;PYCARD;HK3;PSMD6;PNP;PSMD7;PSMD2;PSMD3;HSP90AA1;DBNL;APAF1;DYNLT1;AHSG;PGAM1;NME2;MIF;HBA1;APRT;EEF1A1;BACE1;PSMA5;PKM;PSMA2;CSNK2B;CAT;ALDOC;ALDOA;PPIA;S100A9;S100A8;VCL;VCP;PSMD12;PDXK;PSMD11;PSMD14;ROCK1;CAB39;PSMD13;MVP;GSTP1;HSP90B1;INS;C3;PSMB7;HSPH1;PRDX4;CAND1;ALOX5;PSMB1;APOE;CCT8;APOB;ATG7;S100A11;HSPA8;XRCC6;GSN;XRCC5;IDH1;AGL;HSPA6;HUWE1;EEF2;MAPK14;NFKB1;TF;PFKL;PSMC3;DLC1;IMPDH2;PSMC2;HYOU1;GHRL;CALR
RNA polymerase II transcription factor complex (GO:0090575)	91/147	6.334151324303983E-26	3.138923878488418E-24	0	0	2.850783417212153	165.4060361018456	RB1;THRB;THRA;TRRAP;CCNH;GTF2B;RORC;HNRNPU;MED17;MED14;ING2;TRIM28;JUNB;TEAD1;TEAD2;TLE1;TBP;PRMT2;TCF12;EDF1;FOS;MED6;SUPT3H;KAT2A;SFPQ;CREB1;TFDP1;NR5A2;DDIT3;HAND1;RARA;PPARG;PPARA;TP53;ATF4;PPARD;YAP1;GTF2A1;CEBPA;CEBPB;MAX;NR1I3;LEF1;NR1I2;TAF9;GATA4;HIF1A;TAF5L;NEUROD1;RXRA;E2F1;E2F3;NKX2-5;TAF9B;SMAD2;WWOX;SMAD4;JUN;JUND;POU2F1;NFYA;VDR;NFYB;NR1H2;TAF10;STAT3;TAF11;HMGA1;NR1H4;NR1H3;GTF2H1;HNRNPAB;GTF2H4;PBX1;HIPK2;CDK7;ERCC3;TADA3;ERCC2;MYF6;TAF4B;TCEA1;CTNNB1;TCF4;TAF6;TCF3;TAF5;MNAT1;TAF2;MYF5;TAF1
cytosolic ribosome (GO:0022626)	81/124	1.6598199994090373E-25	7.402797197364305E-24	0	0	3.0081777870210122	171.640361989954	RPL4;RPL5;RPLP0P6;RPL30;RPL3;DDX3X;RPL31;RPL10L;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;MRPL1;RPS19;RPL18A;RPS18;RPL36;RACK1;RPL35;RPLP2;RPS10;RPS13;EIF2A;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;HBA1;MRPS5;MRPS9;RPL37A;RPL24;GEMIN5;RPL27;RPL26;RPL29;RPL28;NUFIP1;RPL10;RPL12;RPL11;RPS4Y1;FXR2;RPS15A;RPL14;RPS3;RPL13;APOD;RPL15;RPS2;ZNF622;RPL18;RPS27A;RPL17;RPL19;MCTS1;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS10P5;RPS27;RPL27A;RPS26P11;RPS24;RPL26L1;RPS23
