Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Glycolysis / Gluconeogenesis	11/68	6.702592298808138E-11	2.0643984280329065E-8	0	0	16.2577593851611	380.85332289695555	LDHC;LDHB;TPI1;PGAM1;AKR1A1;ALDOA;ENO3;ALDH7A1;PGM1;LDHAL6A;LDHAL6B
Pyruvate metabolism	9/39	1.3052026681069197E-10	2.0100121088846563E-8	0	0	23.192887514495556	527.8583517586185	LDHC;LDHB;MDH2;GLO1;HAGH;ALDH7A1;LDHAL6A;ACAT1;LDHAL6B
Proteasome	7/45	2.8620138736587626E-7	2.9383342436229962E-5	0	0	15.633724176437743	235.54660157693448	PSMB6;PSMA6;PSMD11;PSMC6;PSMD4;ADRM1;PSME2
Pentose phosphate pathway	6/30	4.378579942682082E-7	3.371506555865203E-5	0	0	20.100502512562816	294.2989184550394	TKTL2;RPE;RGN;ALDOA;TKT;PGM1
Cysteine and methionine metabolism	6/47	6.8795194301141905E-6	4.237783968950341E-4	0	0	12.83010798674222	152.51100299881662	LDHC;LDHB;AHCYL1;MDH2;LDHAL6A;LDHAL6B
Propanoate metabolism	5/32	1.5009644297664242E-5	7.704950739467645E-4	0	0	15.703517587939698	174.41610568923193	LDHC;LDHB;LDHAL6A;ACAT1;LDHAL6B
Fructose and mannose metabolism	5/33	1.7547692609934855E-5	7.720984748371336E-4	0	0	15.227653418608192	166.7517601935954	TPI1;MPI;SORD;AKR1B1;ALDOA
DNA replication	5/36	2.720656838157423E-5	0.0010474528826906078	0	0	13.958682300390842	146.73439599662674	FEN1;MCM3;MCM4;MCM5;MCM6
RNA transport	8/165	2.526598006967857E-4	0.008646579846067778	0	0	4.872849093954621	40.36408288902699	NUP93;RBM8A;PABPC4;EIF4A3;TPR;PABPC3;EIF3D;KPNB1
Pentose and glucuronate interconversions	4/34	3.490758792787917E-4	0.010751537081786786	0	0	11.82382500738989	94.12026296490716	RPE;AKR1A1;SORD;AKR1B1
Glucagon signaling pathway	6/103	5.77909940247362E-4	0.016181478326926138	0	0	5.854515294921208	43.65180766445501	LDHC;LDHB;PGAM1;PHKA1;LDHAL6A;LDHAL6B
Valine, leucine and isoleucine degradation	4/48	0.0013140954898179585	0.033728450905327605	0	0	8.375209380234505	55.566220188155754	HIBADH;OXCT1;ALDH7A1;ACAT1
Folate biosynthesis	3/26	0.0021310770864326014	0.05049013404778779	0	0	11.596443757247778	71.33120702770977	QDPR;SPR;AKR1B1
mRNA surveillance pathway	5/91	0.0021589239378582334	0.047496326632881135	0	0	5.522116074879894	33.89555115321054	CPSF7;RBM8A;PABPC4;EIF4A3;PABPC3
Synthesis and degradation of ketone bodies	2/10	0.00420588210020594	0.08636077912422864	0	0	20.100502512562816	109.97530117445807	OXCT1;ACAT1
Aminoacyl-tRNA biosynthesis	4/66	0.004236894973651043	0.08156022824278258	0	0	6.0910613674432765	33.28110001857086	DARS;LARS;EPRS;AARS
Protein processing in endoplasmic reticulum	6/165	0.006235092199659496	0.1129651998526544	0	0	3.654636820465966	18.55664472370619	GANAB;HSP90AB1;SSR4;PRKCSH;CRYAB;HSP90B1
PPAR signaling pathway	4/74	0.006361401848979385	0.10885065386031392	0	0	5.432568246638598	27.47524927019999	FABP3;FABP5;FABP7;DBI
Amino sugar and nucleotide sugar metabolism	3/48	0.012083468188821703	0.19587937906089917	0	0	6.281407035175879	27.7381722736032	GNPDA2;MPI;PGM1
Arginine and proline metabolism	3/49	0.012778920830927493	0.1967953807962834	0	0	6.153215054866167	26.827760900149496	OAT;CKB;ALDH7A1
Glycerolipid metabolism	3/61	0.022897536157128365	0.33583053030454935	0	0	4.942746519482659	18.667399121519498	AKR1A1;AKR1B1;ALDH7A1
Ascorbate and aldarate metabolism	2/27	0.029371931566202752	0.4112070419268385	0	0	7.444630560208449	26.262540623819966	RGN;ALDH7A1
Collecting duct acid secretion	2/27	0.029371931566202752	0.39332847488654116	0	0	7.444630560208449	26.262540623819966	ATP6V1A;ATP6V1B1
Butanoate metabolism	2/28	0.03142775713569109	0.40332288324136895	0	0	7.178750897343861	24.838936046946593	OXCT1;ACAT1
Cell cycle	4/124	0.035474667410630226	0.4370479024989644	0	0	3.242016534284325	10.82488711718903	MCM3;MCM4;MCM5;MCM6
Citrate cycle (TCA cycle)	2/30	0.03570345794550293	0.42294865566211165	0	0	6.700167504187604	22.32836002458103	MDH2;IDH3A
Glyoxylate and dicarboxylate metabolism	2/30	0.03570345794550293	0.40728389063758896	0	0	6.700167504187604	22.32836002458103	MDH2;ACAT1
Galactose metabolism	2/31	0.037920776454631995	0.4171285410009519	0	0	6.48403306856865	21.21741692773991	AKR1B1;PGM1
Purine metabolism	4/129	0.04009499870571397	0.42583653797792775	0	0	3.116356978691909	10.023773668353021	ADSL;IMPDH2;PGM1;APRT
Oxidative phosphorylation	4/133	0.04402658345688981	0.4520062568240687	0	0	3.0226319567763626	9.439563707336701	ATP6V1A;PPA1;COX17;ATP6V1B1
RNA degradation	3/79	0.04424388017292611	0.43958435784713684	0	0	3.816551109980281	11.900152222897395	PABPC4;PABPC3;ENO3
Alanine, aspartate and glutamate metabolism	2/35	0.04729092571073585	0.4551751599658326	0	0	5.7430007178750895	17.524404004754793	ADSL;ASNS
Prion diseases	2/35	0.04729092571073585	0.4413819733002013	0	0	5.7430007178750895	17.524404004754793	STIP1;SOD1
Tyrosine metabolism	2/36	0.04975267803531584	0.45070073043756703	0	0	5.5834729201563364	16.754276867508178	GSTZ1;MIF
Epstein-Barr virus infection	5/201	0.050839533944434044	0.4473878987110196	0	0	2.500062501562539	7.447888696734603	MAVS;PSMC6;PSMD11;PSMD4;ADRM1
Vitamin B6 metabolism	1/6	0.058241364381870254	0.4982872286004455	0	0	16.75041876046901	47.624111364850975	PDXK
Glycine, serine and threonine metabolism	2/40	0.060041916362701744	0.49980838485708484	0	0	5.025125628140704	14.134232937822203	PGAM1;ALDH7A1
Tryptophan metabolism	2/42	0.06543640349185476	0.5303792704076649	0	0	4.785833931562574	13.049421139331127	ALDH7A1;ACAT1
Fatty acid degradation	2/44	0.07098609922578263	0.5606081682446423	0	0	4.568296025582458	12.084381939980231	ALDH7A1;ACAT1
Prostate cancer	3/97	0.07263335236561891	0.5592768132152657	0	0	3.1083251308086823	8.151057546497398	HSP90AB1;GSTP1;HSP90B1
Sulfur relay system	1/8	0.07689511918370205	0.5776511392336642	0	0	12.562814070351758	32.22754867007024	NFS1
Vibrio cholerae infection	2/50	0.08848582523399792	0.6488960517159847	0	0	4.0201005025125625	9.748393594547995	ATP6V1A;ATP6V1B1
Amyotrophic lateral sclerosis (ALS)	2/51	0.09151637880612955	0.6555126667973931	0	0	3.9412750024632968	9.42452387180676	PRPH;SOD1
Glutathione metabolism	2/56	0.10710281963233974	0.7497197374263781	0	0	3.5893754486719307	8.018542623028146	GPX4;GSTP1
Lysine degradation	2/59	0.11677082796319434	0.7992314447258634	0	0	3.406864832637765	7.316385317681527	ALDH7A1;ACAT1
Non-homologous end-joining	1/13	0.1219367364067793	0.8164459742019136	0	0	7.730962504831852	16.267900446751593	FEN1
Cytosolic DNA-sensing pathway	2/63	0.12998495910941135	0.8518163277808233	0	0	3.1905559543750495	6.509807878690572	MAVS;POLR2E
Thiamine metabolism	1/15	0.1393349236139555	0.8940657598562144	0	0	6.700167504187604	13.205190765114475	NFS1
Epithelial cell signaling in Helicobacter pylori infection	2/68	0.14695456701856333	0.923714421259541	0	0	2.9559562518474727	5.668435731231622	ATP6V1A;ATP6V1B1
Ubiquitin mediated proteolysis	3/137	0.15637574772925547	0.9632746060122137	0	0	2.2007849466309652	4.083542226236084	UBE3A;UBA1;SAE1
