Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA binding (GO:0003723)	70/1387	1.993432020954625E-49	2.2944402561187736E-46	0	0	8.341923528395311	935.4367085017244	RPL4;RPL5;RPL30;RPL31;HNRNPU;YBX1;RPL8;SRP14;YBX3;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;SART3;RPS18;SNRPD1;RPL36;SNRPD3;RPS13;DDX17;CCT3;RPS9;SUPT16H;RPS8;RPL22;RPS6;RPL13A;ILF2;HNRNPH1;RPL24;SRSF3;RPL27;SNRPA1;PABPC1;SNRPB;RPL12;RPL11;RPS4Y1;PRPF8;PURA;IFI16;TCOF1;RPS3;HNRNPA1;HEATR6;RPL18;RPL17;RPL19;NPM1;HNRNPA3;ALYREF;RPL35A;RPL23A;LSM3;RPS25;RPS28;EIF3L;RPL27A;HNRNPA2B1;RPS26P11;EIF3G;EIF3H;EIF3E;FAU;EIF3A;RPL26L1;RPS23;EIF3B
translation initiation factor activity (GO:0003743)	10/36	1.0009355787214984E-14	5.760384255542223E-12	0	0	45.91368227731864	1480.0393094846709	EIF3K;EIF3L;EIF3I;EIF3G;EIF3CL;EIF3H;EIF3E;EIF3F;EIF3A;EIF3B
translation factor activity, RNA binding (GO:0008135)	10/67	8.348988066738688E-12	3.2032284216054094E-9	0	0	24.67003823855927	629.3050641179714	EIF3K;EIF3L;EIF3I;EIF3G;EIF3CL;EIF3H;EIF3E;EIF3F;EIF3A;EIF3B
rRNA binding (GO:0019843)	7/43	6.697911267083511E-9	1.9273239671032804E-6	0	0	26.907553334614647	506.43971082970944	RPL5;RPS14;RPS9;RPL12;RPL11;RPS3;RPS13
mRNA binding (GO:0003729)	11/179	1.180022144359909E-8	2.7164109763165103E-6	0	0	10.15744032503809	185.42557175463867	RPL5;RPS14;HNRNPA2B1;RPS26P11;RPS3;HNRNPU;RPL13A;PABPC1;YBX3;RPS13;EIF3A
DNA binding (GO:0003677)	22/893	1.769522560169787E-8	3.3945341112590418E-6	0	0	4.072075740608775	72.68643377285994	HIST1H2BN;HIST1H2BM;HIST1H2BO;HIST1H2BJ;FOXF1;HIST1H2BL;HIST1H2BK;HNRNPU;YBX1;ILF2;YBX3;HIST2H2BF;RPL6;RPS15;PURA;IFI16;RPS3;HIST1H2BH;HIST1H2BB;HNRNPA1;HIST1H2BA;HIST1H2BD
snRNA binding (GO:0017069)	6/36	7.266679056572974E-8	1.1948496563022133E-5	0	0	27.548209366391184	452.82042307972193	SART3;HNRNPU;SNRPA1;SNRPD3;PRPF8;SNRPB
small ribosomal subunit rRNA binding (GO:0070181)	3/7	7.427205321602682E-6	0.0010685891656455858	0	0	70.83825265643448	836.6253297070612	RPS14;RPS3;RPS13
double-stranded DNA binding (GO:0003690)	6/99	3.065850527319506E-5	0.003920882174383057	0	0	10.017530678687704	104.10819371298439	PURA;IFI16;RPS3;HNRNPU;YBX1;YBX3
mRNA 3'-UTR binding (GO:0003730)	5/63	3.9607990367493474E-5	0.0045588796912984985	0	0	13.118194936376755	132.97231645154358	RPL5;HNRNPA2B1;HNRNPU;PABPC1;YBX3
