Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
transcription elongation from RNA polymerase I promoter (GO:0006362)	8/28	2.2699664432431364E-11	1.1583638759869725E-7	0	0	38.095238095238095	933.6636561623898	CDK7;TAF1B;ERCC3;TAF1C;TAF1A;ERCC2;GTF2H1;MNAT1
termination of RNA polymerase I transcription (GO:0006363)	8/31	5.653191991482096E-11	1.4424119366266568E-7	0	0	34.40860215053763	811.9127976966228	CDK7;TAF1B;ERCC3;TAF1C;TAF1A;ERCC2;GTF2H1;MNAT1
transcription from RNA polymerase I promoter (GO:0006360)	8/33	9.824601959723657E-11	1.671164793348994E-7	0	0	32.323232323232325	744.8419031597601	CDK7;TAF1B;ERCC3;TAF1C;TAF1A;ERCC2;GTF2H1;MNAT1
transcription initiation from RNA polymerase I promoter (GO:0006361)	8/33	9.824601959723657E-11	1.2533735950117456E-7	0	0	32.323232323232325	744.8419031597601	CDK7;TAF1B;ERCC3;TAF1C;TAF1A;ERCC2;GTF2H1;MNAT1
DNA repair (GO:0006281)	15/288	4.697137308063466E-9	4.793898336609574E-6	0	0	6.944444444444445	133.16883748047078	WDR48;XRCC1;RAD23A;GTF2H1;BRCC3;UBE2A;APTX;WDR33;POLA1;ERCC3;TDG;ERCC2;MNAT1;TP53;ASF1A
DNA-templated transcription, termination (GO:0006353)	10/106	7.1674829762187376E-9	6.095944271274036E-6	0	0	12.578616352201259	235.89573953847804	PRMT5;CDK7;TAF1B;ERCC3;TAF1C;TAF1A;ERCC2;GTF2H1;MNAT1;WDR33
regulation of signal transduction by p53 class mediator (GO:1901796)	11/138	7.428006843083374E-9	5.41501698860778E-6	0	0	10.628019323671497	198.9353536175974	PRMT5;STK11;TP53RK;KAT6A;TAF10;EHMT1;MTA2;RFFL;TP53;AURKB;HIPK2
DNA-templated transcription, initiation (GO:0006352)	12/186	1.655677228077086E-8	1.0561151118596712E-5	0	0	8.602150537634408	154.12017735542628	CDK7;TAF1B;BRF1;ERCC3;TAF1C;TAF10;NR1I2;TAF1A;ERCC2;SMARCA5;GTF2H1;MNAT1
regulation of transcription, DNA-templated (GO:0006355)	34/1598	2.0984301323332402E-8	1.1898098850329472E-5	0	0	2.8368794326241136	50.15458506330248	KMT2E;CHD8;PHF1;NR1I2;EHMT1;PRDM2;ZNF24;HDAC9;TAF1C;SAFB2;ANKRD2;BRD8;PRMT5;SMARCC1;TFAP2C;RRM2;NFYB;SMARCA5;SUPT3H;HIPK2;DHFR;POLA1;CDK7;TADA2A;RYBP;WT1;KAT6A;TRAF6;CARM1;ERCC2;TADA1;MNAT1;ZMYND11;TP53
histone modification (GO:0016570)	9/98	5.2603981615132224E-8	2.6843811818201974E-5	0	0	12.244897959183675	205.2302941709679	CCNA2;KAT6A;TAF10;CARM1;EHMT1;UBE2A;HDAC9;SUPT3H;AURKB
transcription, DNA-templated (GO:0006351)	15/356	7.856151556401278E-8	3.644540126574157E-5	0	0	5.617977528089888	91.90665101844765	PRMT5;BRF1;TAF10;SMARCA5;GTF2H1;TOPORS;CDK7;TADA2A;TAF1B;ERCC3;TAF1C;TAF1A;ERCC2;MNAT1;TP53
regulation of gene expression, epigenetic (GO:0040029)	8/74	8.230289572773693E-8	3.499930640822013E-5	0	0	14.414414414414416	235.14031776367838	TFAP2C;MYO1C;TAF1B;TAF1C;PHF1;TDG;TAF1A;SMARCA5
nucleotide-excision repair (GO:0006289)	9/108	1.2270049222677546E-7	4.81646624487104E-5	0	0	11.11111111111111	176.81688304010478	CDK7;RFC1;ERCC3;ERCC2;XRCC1;RAD23A;GTF2H1;MNAT1;TP53
DNA-templated transcription, elongation (GO:0006354)	9/108	1.2270049222677546E-7	4.4724329416659655E-5	0	0	11.11111111111111	176.81688304010478	CDK7;TAF1B;ERCC3;TAF1C;TAF10;TAF1A;ERCC2;GTF2H1;MNAT1
regulation of transcription from RNA polymerase II promoter (GO:0006357)	31/1478	1.393347842299339E-7	4.740169359502351E-5	0	0	2.7965719440685612	44.14776496890618	PSMD10;CHD8;NR1I2;GPS2;PRDM2;ZNF24;HDAC9;AURKB;ZBTB2;ZMIZ2;SAFB2;ANKRD2;BRD8;SMARCC1;TFAP2C;SMARCA5;GTF2H1;SUPT3H;SMAD7;HIPK2;CDK7;TADA2A;ERCC3;WT1;TRAF6;AGO2;ERCC2;TADA1;MNAT1;ZMYND11;TP53
