Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
nucleoplasm part (GO:0044451)	17/407	1.1517061543690392E-8	5.136609448485915E-6	0	0	5.569205569205569	101.80193838012039	PRMT5;TAF10;NR1I2;EHMT1;GTF2H1;HDAC9;CDC14A;SUPT3H;HIPK2;CDK7;MYO1C;ERCC3;ERCC2;SAFB2;WDR5;MNAT1;TP53
RNA polymerase II transcription factor complex (GO:0090575)	11/147	1.441643850430048E-8	3.214865786459007E-6	0	0	9.977324263038549	180.1395590976733	CDK7;ERCC3;NFYB;TAF10;NR1I2;ERCC2;GTF2H1;MNAT1;TP53;SUPT3H;HIPK2
holo TFIIH complex (GO:0005675)	5/12	1.684670464007588E-8	2.5045434231579475E-6	0	0	55.55555555555556	994.3950427553509	CDK7;ERCC3;ERCC2;GTF2H1;MNAT1
DNA-directed RNA polymerase II, holoenzyme (GO:0016591)	8/90	3.8262251698997917E-7	4.266241064438268E-5	0	0	11.851851851851853	175.12553397464458	CDK7;ERCC3;TAF10;ERCC2;GTF2H1;MNAT1;TP53;SUPT3H
transcription factor TFIID complex (GO:0005669)	5/35	6.009186730777973E-6	5.360194563853952E-4	0	0	19.047619047619047	228.99468834117624	ERCC3;TAF10;ERCC2;TP53;SUPT3H
spindle (GO:0005819)	9/186	1.1535533059460026E-5	8.574746240865285E-4	0	0	6.451612903225807	73.35534487132952	HECW2;ARL3;ERCC2;TTK;HSPA2;CDC14A;TOPORS;AURKB;CDC14B
chromatin (GO:0000785)	11/296	1.4928185357543296E-5	9.5113866706633E-4	0	0	4.954954954954955	55.06074525622953	KMT2E;POLA1;TOP2B;SMARCC1;XRCC1;UBE2A;ANKRD2;MTA2;TP53;APTX;ASF1A
nuclear chromosome part (GO:0044454)	12/392	4.125391961630131E-5	0.002299906018608798	0	0	4.081632653061225	41.20720174978184	POLA1;SMARCC1;ZMIZ2;SMARCA5;XRCC1;UBE2A;BRD8;MTA2;TP53;APTX;ASF1A;AURKB
STAGA complex (GO:0030914)	3/11	6.528189970104414E-5	0.003235080807407298	0	0	36.36363636363636	350.42893625161014	TAF10;TADA1;SUPT3H
histone methyltransferase complex (GO:0035097)	4/49	4.954181943717173E-4	0.02209565146897859	0	0	10.884353741496598	82.83111091107489	PRMT5;PHF1;WDR5;HDAC9
nuclear chromatin (GO:0000790)	8/253	6.59401220071336E-4	0.026735722195619625	0	0	4.216073781291173	30.87927642499438	SMARCC1;XRCC1;UBE2A;BRD8;MTA2;TP53;APTX;ASF1A
centriole (GO:0005814)	5/95	7.478015728746015E-4	0.027793291791839356	0	0	7.017543859649122	50.514897488333695	OFD1;HSPA6;AGBL2;TOPORS;HSPA1B
replication fork (GO:0005657)	3/26	9.47232071679687E-4	0.03249734645916465	0	0	15.384615384615387	107.10717592228652	ZMIZ2;SMARCA5;TP53
nuclear matrix (GO:0016363)	4/59	0.0010042675404908507	0.03199309450420853	0	0	9.03954802259887	62.40449101575744	POLA1;HNRNPM;TEP1;TP53
cyclin-dependent protein kinase activating kinase holoenzyme complex (GO:0019907)	2/7	0.0011447777472071098	0.034038058350291396	0	0	38.095238095238095	258.00170544990027	CDK7;ERCC2
PML body (GO:0016605)	4/62	0.001209735827247752	0.03372138618453109	0	0	8.602150537634408	57.783684024072286	KAT6A;TP53;TOPORS;HIPK2
spindle pole (GO:0000922)	5/107	0.0012770758691972872	0.03350446103894059	0	0	6.230529595015576	41.51515446504157	ASPM;CDC14A;TOPORS;AURKB;CDC14B
nuclear transcription factor complex (GO:0044798)	4/71	0.002000269712413651	0.04956223842980491	0	0	7.511737089201878	46.68148921170064	TAF1C;NFYB;NR1I2;HIPK2
nuclear body (GO:0016604)	12/618	0.0024460985882997542	0.05741894580956265	0	0	2.588996763754045	15.568313104469834	HNRNPM;MYO1C;WT1;KAT6A;NR1I2;SAFB2;EHMT1;TP53;CDC14A;TOPORS;HSPA1B;HIPK2
centrosome (GO:0005813)	10/461	0.002552175045930345	0.05691350352424669	0	0	2.892263195950832	17.26915205838438	OFD1;TTLL5;RPS7;ARL3;PHF1;CDC14A;AURKB;HSPA1B;CDC14B;SMAD7
microtubule organizing center part (GO:0044450)	5/126	0.00261955212985027	0.05563429761491526	0	0	5.291005291005291	31.453713855168036	OFD1;HSPA6;AGBL2;TOPORS;HSPA1B
nuclear periphery (GO:0034399)	4/78	0.002820300592940247	0.05717518474778864	0	0	6.837606837606837	40.14298671091657	POLA1;HNRNPM;TEP1;TP53
nuclear replication fork (GO:0043596)	2/11	0.002939730465739655	0.057005208161734176	0	0	24.242424242424246	141.31969406434197	ZMIZ2;SMARCA5
SAGA complex (GO:0000124)	2/12	0.0035103665492271833	0.06523431170647183	0	0	22.22222222222222	125.60077371061196	TADA1;SUPT3H
methylosome (GO:0034709)	2/12	0.0035103665492271833	0.06262493923821295	0	0	22.22222222222222	125.60077371061196	PRMT5;ERH
mitotic spindle (GO:0072686)	4/84	0.003685368054909973	0.06321823663422492	0	0	6.349206349206349	35.577046851509216	ASPM;HECW2;CDC14A;CDC14B
transcription factor TFTC complex (GO:0033276)	2/14	0.004792708495455789	0.07916844403604749	0	0	19.047619047619047	101.72684913260292	TAF10;SUPT3H
microtubule organizing center (GO:0005815)	10/507	0.004985971608646379	0.07941940490915303	0	0	2.629848783694938	13.941162361897458	OFD1;TTLL5;RPS7;ARL3;PHF1;RAD23A;CDC14A;HSPA1B;CDC14B;SMAD7
