Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
focal adhesion (GO:0005925)	153/356	6.510947406467324E-41	2.9038825432844264E-38	0	0	3.0491328903786905	282.1439008759785	RPL4;SCARB2;CYFIP1;RPL5;MDC1;RPL30;TES;RPL3;RPL31;RPL8;RPL10A;RPL9;RPL6;RPL7;ICAM1;ACTG1;RPS15;RPS14;PPP1CC;RPS17;RPS16;ALCAM;RPS19;RPS18;DAG1;CAPN2;CAPN1;RPS10;RPS13;TGM2;RPS9;MAP2K1;TPM4;RPS7;RPS8;RPL23;RPL22;AFAP1;LMO7;PROCR;ADAM17;ADAM9;RPL27;PFN1;EZR;PPIA;VCL;GRB7;TWF1;HACD3;CORO1B;HSP90B1;CORO1C;NCSTN;PRKAR2A;G3BP1;PIP5K1A;VASP;HSPA9;HSPA8;YES1;JUP;HSPA5;CAV2;CAV1;HMGA1;MSN;PTK2;PPFIBP1;DAB2;HNRNPK;PTPRC;GNB2;TRIP6;TADA1;HYOU1;FGFR3;FERMT2;YWHAE;ARF1;TGFB1I1;DOCK7;SNAP23;FHL2;ILK;HSPB1;SYNE2;AKAP12;RPS4X;RPL7A;ANXA6;FLOT1;RPLP2;FLOT2;ITGAV;PGM5;ITGB6;JAK2;GIT1;CAP1;ACTR3;PDCD6IP;PPP1R12A;DST;RPL13A;RPS3A;RHOB;ENAH;CTTN;RPL37A;IRF2;CAT;NUMB;ITGA6;ARHGEF2;PABPC1;ARHGEF7;CD44;ENG;ARF6;RPL12;ADD1;RAB21;CDC42;LIMA1;CTNNA1;RPS3;FLNA;PTK2B;MAPK1;CD59;RPS2;RPL18;CLASP1;PDLIM7;RPL19;PAK4;CLASP2;MAPK3;GIT2;NPM1;GSN;SORBS1;MARCKS;FAP;DLC1;ZYX;CTNNB1;CD9;VIM;HSPA1B;BCAR1;HSPA1A
cytosolic part (GO:0044445)	90/159	3.732927092325801E-36	8.324427415886536E-34	0	0	4.015876096836159	327.598589136904	RPL4;RPL5;RPLP0P6;RPL30;RPL3;DDX3X;RPL31;RPL10L;AHR;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;IKBKB;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RACK1;RPL35;RPLP2;RPS10;RPS13;CCT3;CCT2;RPS9;RPL21;RPS7;CHUK;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;MRPS5;MRPS9;TCP1;RPL37A;RPL24;RPL27;RPL26;RPL28;RPL10;RPL12;RPL11;RPS4Y1;PRDX3;FXR2;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;CCT8;RPL18;RPS27A;CCT7;RPL17;CCT5;RPL19;CCT4;RPL35A;RPL23A;CCT6A;RPS26;RPS25;RPS28;RPS10P5;PSMC5;PFKL;RPS27;PSMC6;PSMC3;RPL27A;PSMC1;PSMC2;RPS26P11;PFKM;RPS24;RPL26L1;RPS23
nuclear chromosome part (GO:0044454)	151/392	9.717667291790394E-34	1.4446932040461721E-31	0	0	2.7329129594370563	207.7395023920282	DCLRE1A;SPI1;MRE11;SMARCB1;KDM1A;TRRAP;EHMT2;CCAR2;YY1;PPP1CC;YY2;KAT5;ZMIZ2;RUVBL2;RUVBL1;RCC1;JUNB;MEN1;HIST1H2AB;MEF2A;MEF2C;SMARCC1;THOC1;LIG4;THOC5;RUNX2;BRMS1;MSH2;WDR82;LRIF1;HIST1H2BB;TP53;HIST1H2BA;ASF1A;BLM;MAX;DHX9;GATA3;NCAPH;CCNB1;ZNHIT1;HIST1H3A;TERT;EP400;DVL3;SMAD2;CREBBP;JUN;JUND;CPSF6;SMAD3;UBE2B;ALYREF;PLK1;SETD1A;XRCC3;SMARCA5;XRCC1;NFATC1;UBE2A;SMARCA2;ESR1;CDK9;POLA1;HIST1H4A;H1F0;HNRNPK;CDK1;NABP2;SNAI2;NABP1;ATM;HNRNPC;EZH2;ATR;FEN1;MCM7;HIST2H2AB;HMGB2;NAT10;AKR1B1;BRCA1;BRCA2;CDC73;HIST2H2AC;NUF2;HIST1H1D;HIST1H1A;ZNF385A;HIST1H1B;KDM6A;NCOA1;DFFA;PARP1;NCOA3;ACTL6A;ATRX;H2AFX;TFIP11;ARID1A;SIRT1;NCOR2;DDB1;NCOR1;HAND2;IRF1;RARA;MCM3;MCM4;MCM5;MCM6;PLCB1;PPARD;SMARCD2;HDAC2;UHRF1;SRF;PRIM1;CENPA;RELA;AURKB;AURKA;HIRA;PURA;MUC1;RXRA;RBBP4;BRD8;MTA2;BUB1;SSB;STAT1;MCRS1;STAT3;RPA1;NR1H3;RPA2;KLF4;APTX;PML;MLH3;PPP1CA;RAD50;RAD51;APEX1;POLR3D;HIST3H3;TNP2;TAF5;TNP1;MPHOSPH8
cytosolic ribosome (GO:0022626)	71/124	3.1790664879028665E-29	3.5446591340116964E-27	0	0	4.062296169998513	266.5612941633407	RPL4;RPL5;RPLP0P6;RPL30;RPL3;DDX3X;RPL31;RPL10L;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RACK1;RPL35;RPLP2;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;MRPS5;MRPS9;RPL37A;RPL24;RPL27;RPL26;RPL28;RPL10;RPL12;RPL11;RPS4Y1;FXR2;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS10P5;RPS27;RPL27A;RPS26P11;RPS24;RPL26L1;RPS23
nuclear chromatin (GO:0000790)	105/253	6.828291265848076E-27	6.090835809136484E-25	0	0	2.9444467034114923	177.39915396712408	SMARCB1;SPI1;KDM1A;TRRAP;EHMT2;CCAR2;YY1;YY2;KAT5;RUVBL2;RUVBL1;RCC1;JUNB;HIST1H2AB;MEN1;MEF2A;MEF2C;SMARCC1;RUNX2;BRMS1;TP53;ASF1A;DHX9;MAX;GATA3;ZNHIT1;HIST1H3A;EP400;DVL3;SMAD2;CREBBP;JUN;JUND;CPSF6;SMAD3;UBE2B;SETD1A;XRCC1;NFATC1;UBE2A;SMARCA2;ESR1;CDK9;HIST1H4A;H1F0;HNRNPK;SNAI2;HNRNPC;EZH2;HIST2H2AB;HMGB2;AKR1B1;HIST2H2AC;HIST1H1D;HIST1H1E;HIST1H1A;ZNF385A;HIST1H1B;HIST1H1C;KDM6A;NCOA1;DFFA;NCOA3;ACTL6A;ATRX;H2AFX;ARID1A;SIRT1;NCOR2;NCOR1;IRF1;HAND2;RARA;PLCB1;PPARD;FOXC1;SMARCD2;HDAC2;UHRF2;UHRF1;SRF;CENPA;RELA;HIRA;MUC1;RXRA;RBBP4;BRD8;MTA2;STAT1;MCRS1;STAT3;NR1H4;NR1H3;KLF4;APTX;RAD50;RAD51;POLR3D;HIST3H3;CTNNB1;TAF5;TNP2;TNP1;MPHOSPH8
nuclear body (GO:0016604)	184/618	1.273641323237087E-24	9.467400502729014E-23	0	0	2.112342162693971	116.22140851950104	MDC1;MRE11;CRTC1;EHMT2;GFI1;GEMIN2;RORC;HNRNPU;EHMT1;PARK7;NR3C1;DCAF7;CDC14A;EFTUD2;FBL;BASP1;CHEK2;HABP4;MAGEA2;SNRPD3;DDX17;SRRM2;MEF2C;USP7;DYRK1A;THOC1;PRPF4B;CDYL;CDC25C;PIAS2;MED7;PIAS1;RUFY1;CDC34;FANCD2;KAT6A;SRSF2;SRSF3;HOXB2;WDFY3;SRSF6;SQSTM1;TP53;SRSF8;BLM;RBM8A;DHX9;DDX1;FOXO4;LPAR4;STK4;HIF1A;TAF5L;MTDH;TIMM50;TERT;TBXA2R;LARS;SAFB2;HIVEP1;EP400;PIP5K1A;SMN1;TP53BP1;ZC3H14;BANP;TOE1;BARD1;CREBBP;CPSF6;UBE2I;API5;GADD45A;SETD1A;TRIP4;NFATC1;CWC15;FLI1;ZWINT;COPS4;CDK9;ISG20;HNRNPM;H1F0;SNW1;CDK2;BHLHE40;MDM2;SPRTN;TAB1;RETREG1;NOP10;ATR;USP36;CDKN1A;CIITA;RBM25;THRB;ELL;OGG1;AKR1B1;TRIM8;DUSP11;SART1;SART3;MECOM;SUMO1;EXO1;SUMO2;UIMC1;POLI;IKBKE;NCOA2;BRD1;ATRX;TOP3A;H2AFX;TFIP11;IL16;SIRT1;TOPORS;GNL3;NCOR2;ITPKC;SFPQ;KIF2A;SYF2;ELF4;THRAP3;SNRPA1;MAPT;PLCB1;HDAC5;SF3B2;C11ORF54;RNF34;NUFIP2;SATB1;POLDIP3;NR1I2;SRSF1;PRCC;CXXC1;FAAP20;RNF2;ADD1;NXF1;BCLAF1;WRN;PLAGL1;HSF1;NHS;RBBP6;SUZ12;CASP8AP2;MBD4;RBM39;TRIM41;CSNK1A1;RPA1;CDC5L;RPA2;USP28;GTF2H4;HIPK3;PML;CHFR;HINFP;SKI;NUDT21;RAD51;MYO1C;NMNAT1;WT1;APEX1;POLR3D;HNRNPA2B1;NBR1;TRIP11;FAS;ACIN1;EIF3E;HSPA1B;HSPA1A
chromatin (GO:0000785)	109/296	8.09745179210973E-23	5.1592335704013424E-21	0	0	2.61258065443947	132.89651164172764	SMARCB1;SPI1;MRE11;KDM1A;EHMT2;HR;PARK7;CCAR2;YY1;YY2;CHEK1;RCC1;JUNB;HIST1H2AB;MEN1;MEF2A;MEF2C;SMARCC1;RUNX2;HIC1;MYCN;WDR82;TP53;ASF1A;L3MBTL1;KMT2E;MAX;WDR61;GATA3;SUPT6H;DVL3;SMAD2;CREBBP;JUN;JUND;SMAD3;UBE2B;SETD1A;XRCC1;NFATC1;UBE2A;SMARCA2;ESR1;CDK9;FAM111A;POLA1;H1F0;HNRNPK;COPS5;CDK4;SNAI2;HNRNPC;TP73;EZH2;TOP2B;ELL;MCM7;HIST2H2AB;HMGB2;AKR1B1;PSIP1;HIST2H2AC;MECP2;SIN3B;SIN3A;HIST1H1D;ANKRD2;HIST1H1A;ZNF385A;HIST1H1B;KDM6A;NCOA1;BCAS3;DFFA;NCOA3;ACTL6A;H2AFX;ARID1A;SIRT1;NCOR2;SFPQ;NCOR1;IRF1;HAND2;RARA;PLCB1;PPARD;SMARCD2;HDAC2;UHRF1;SRF;RELA;HIRA;MUC1;RXRA;RBBP4;MTA2;MBD4;STAT1;STAT3;NR1H3;RPA2;KLF4;APTX;RAD50;RAD51;POLR3D;EIF3E;TAF5
nucleolus (GO:0005730)	186/676	1.3231649522531814E-20	7.376644608811486E-19	0	0	1.952095984349648	89.3507035541006	RPL4;RPL5;SRP19;RPL3;SMARCB1;POP1;GEMIN2;EIF4A3;NOC2L;RRP8;RPL7;CDC14B;TXN2;RABGEF1;PPP1CC;GOLGA3;RPS14;FBL;RPS19;KAT5;RPL36;HABP4;RPL35;TRIM27;SKP2;NEPRO;RPS10;CDK5RAP3;RPS13;DDX17;RPS9;TSPYL1;RPS7;RPL23;RPS6;ZBTB33;PIMREG;ILF2;FBXO11;GTPBP4;JMJD6;EEF1A1;EBNA1BP2;MYCN;WDR82;EWSR1;FANCD2;KAT6A;NCL;GRWD1;WDFY3;RPL26;TP53;ATF3;PPID;BLM;DDX5;TSG101;RPS19BP1;DDX1;AGAP2;TWIST2;XPC;FXR1;ATXN3;TERT;PDCD11;UTP20;H1FX;MAGEC2;ZC3H14;MDN1;SPTBN1;PLK3;NOP14;MAD2L1BP;XRCC1;PA2G4;TBCA;ELL3;MOB1B;ISG20;MOB1A;CDK8;RPS25;POLA1;STK24;CDK4;MDM2;GRB2;MAGED2;ATM;ANP32B;RETREG1;TOP2A;USP36;CDKN1A;FEN1;DDX3X;SETD7;HMGB2;NAT10;PIK3CB;CHD3;AATF;GLI2;SYNE1;RBM3;PTBP1;RPL7A;XPO1;SUMO1;NKRF;XPO6;TOP1MT;SPIN1;RRP12;UTP14A;GET4;UTP15;BCAS3;PARP1;NSUN2;RPL13A;TFIP11;EDF1;RPS3A;SIRT7;SIRT1;SENP3;GNL3;PLSCR1;GPRC5B;PPM1B;MRPS9;RCN2;KIF2A;ANG;TOP1;DTL;GTF3C3;RPL11;DDX21;NOC4L;CAPG;MALT1;WRN;TCOF1;RBBP5;TAF1C;PES1;RPS3;RPL13;FLNA;RPL18;RPS27A;ZNF346;DEDD;CCT5;RNF20;SUZ12;MBD4;UTP6;NPM1;TRIM41;STAT1;MCRS1;RPL23A;RRP1B;APTX;PML;KLF6;NIN;WEE1;RAD51;MYBBP1A;APEX1;MARS;BMT2;PTPN6;MNDA;ERCC6;NOP53;MPHOSPH8;EIF3A;MPHOSPH6
RNA polymerase II transcription factor complex (GO:0090575)	63/147	1.631772708719934E-17	8.086340312101006E-16	0	0	3.0405919018902345	117.53188954241243	THRB;THRA;TRRAP;CCNH;RORC;HNRNPU;MED17;ING2;JUNB;TEAD1;TEAD2;TLE1;EDF1;FOS;SUPT3H;KAT2A;SFPQ;TFDP1;DDIT3;HAND1;RARA;TP53;ATF4;PPARD;YAP1;GTF2A1;CEBPA;CEBPB;MAX;LEF1;NR1I2;TAF9;HIF1A;TAF5L;RXRA;TAF9B;SMAD2;JUN;JUND;POU2F1;NFYA;VDR;NFYB;NR1H2;TAF10;STAT3;TAF11;HMGA1;NR1H4;NR1H3;GTF2H1;HNRNPAB;GTF2H4;CDK7;ERCC3;TADA3;ERCC2;TAF4B;CTNNB1;TAF6;TAF5;MNAT1;TAF2
large ribosomal subunit (GO:0015934)	41/72	2.427780418346601E-17	1.0827900665825841E-15	0	0	4.040045721493043	154.55990452789263	RPL4;RPL5;RPLP0P6;RPL30;RPL3;RPL10;RPL31;RPL12;RPL10L;RPL11;RPL10A;RPL8;RPL9;RPL6;RPL7;RBM3;RPL7A;FXR2;RPL18A;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL15;RPL18;RPL17;RPL19;RPL21;RPL23;RPL22;RPL13A;RPL35A;RPL23A;RPL27A;RPL37A;RPL24;RPL27;RPL26;RPL28;RPL26L1
