Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA binding (GO:0003723)	440/1387	1.1981370104951711E-68	1.379055699079942E-65	0	0	2.250666440235982	351.9930194779534	RPL4;RPL5;RPL30;TES;RPL3;TFRC;POP1;RPL31;HNRNPU;NOC2L;EPRS;RPL8;RPL9;GPATCH8;RPL6;RRP8;RPL7;RPL36;RPL35;DDX17;RPL21;RPL23;RPL22;SND1;GTPBP4;DYNC1LI1;EWSR1;TEP1;ZC3H11A;RPL24;RPL27;RPL26;RPL28;SF1;MEPCE;WDR62;RPS4Y1;SAMSN1;GIGYF2;MTDH;LARP1;TERT;PRDX1;LTA4H;HEXIM1;TOE1;BARD1;JUN;PRRC2C;PA2G4;MEX3D;MEX3C;PRRC2A;DHFR;MOV10;HNRNPM;MEX3B;EIF5;TBL2;HNRNPK;AGO1;AGO2;TRIP6;HNRNPC;ARF1;SMG1;ADK;MRPL39;SMG7;SMG5;MECP2;MRPL41;NKRF;TMSB4X;RACK1;ANXA7;RRP12;ANXA2;NSUN2;NUDT16L1;GNL3;WDR33;HADHB;PSMA1;TCP1;RNASEL;SF3B2;STAU1;RPL10;RPL12;ATP5A1;RPL11;NOC4L;BCLAF1;UNK;RPS15A;TCOF1;SRP72;RPL14;RPS3;FLNA;RPL13;RPL15;RPS2;RPS27A;RPL18;ZNF346;RPL17;RPL19;UTP6;TRMT10C;MDH2;CDKN2A;MCRS1;SAMD4A;RRP1B;TUBB4B;LRPPRC;NUDT21;MYBBP1A;PSMC1;APEX1;SERBP1;ZYX;HSPA1B;HSPA1A;RPL10L;MSI2;PARK7;APEH;RPL10A;YY1;PPP1CC;ZFP36;HMGN2;SUPT16H;RPS9;SNRPN;RPS7;EIF1AX;RPS8;RPS6;SARS;PRPF4B;POLRMT;THOC5;ILF2;EBNA1BP2;NCL;SRSF2;FSCN1;SRSF3;S100A4;ERH;SRSF6;FKBP4;SRSF7;FKBP3;SRSF8;KPNB1;SNRPB;LRRC59;KHDRBS1;KMT2C;UBFD1;HSP90B1;STIP1;BAG4;G3BP1;TPR;G3BP2;SAFB2;NOP14;API5;LSM3;RPS10P5;LSM7;NOP10;PIWIL1;PIWIL4;HSP90AB1;COL14A1;FAM208A;SYNE1;DUSP11;PTBP1;SART1;RPL7A;SART3;SUMO1;SNRNP70;SUMO2;EIF5A;DSP;EIF5B;HSP90AA1;ELAC2;RPL13A;EDF1;SARS2;SYF2;RPL37A;ANG;SNRPA1;TOP1;SLC25A5;EIF4E2;SLC25A11;HDAC2;NUFIP2;SRF;SRSF1;MTHFSD;POLR2A;IGF2BP1;IGF2BP3;RBBP6;HNRNPA1;EIF4E;EIF4B;HNRNPA0;HNRNPA3;SSB;CDC5L;RPL35A;RPL23A;HNRNPAB;EIF3L;EIF3H;EIF3E;CEBPZ;TRIM32;EIF3D;NOP53;EIF3A;TPT1;EIF3B;EIF4A3;CCAR2;CCAR1;UBE2L3;CRKL;HERC5;TIAL1;RPS15;RPS14;RPS17;RPS16;SNRPD2;RPS19;RPL18A;SNRPD1;RPS18;SNRPD3;RPS10;RPS13;SRRM2;CSNK1E;JMJD6;LACTB2;GRWD1;KCTD12;PFN1;EZR;EIF1B;MACF1;DHX9;TWF2;FXR1;FXR2;PDCD11;SPTBN1;SRPK1;CCT6A;RPS26;RPS25;HIST1H4A;RPS28;SNW1;RPS27;FUBP3;RPL27A;GOLGB1;FUBP1;RPS26P11;GRB2;NOL12;DCP1A;RPS24;AARS;RPS23;TOP2A;DAZAP1;MRPS14;NAT10;PCSK9;BRCA1;TFB1M;AATF;SYNCRIP;C1QBP;DHX16;KIF1C;UTP14A;CCT3;MRPS28;MRPS27;PARP1;PRMT1;PABPC4;MRPS23;PPRC1;MRPS5;NME1;MRPS9;HNRNPH1;CANX;ARHGEF1;PABPC1;MAPT;ALDOA;DCP2;AKAP8;NOL3;AKAP1;EXOSC7;PURA;PES1;EXOSC8;CTNNA1;HEATR6;RAE1;CCT4;DYNC1H1;NQO1;NPM1;CAVIN1;APTX;XPOT;PRKRA;HNRNPA2B1;EPPK1;FAU;TARDBP;NUPL2;SRP19;KDM1A;PEBP1;SRP14;EFTUD2;FBL;SNIP1;CAST;WBP11;PUS7;TUFM;PDIA4;EEF1A1;HNRNPUL1;MATR3;PPIA;VCP;DDX5;RBM8A;RPS19BP1;DDX1;YTHDC2;SUPT6H;PRPF8;RTN4;ZFP36L2;UTP20;H1FX;MYH10;ZC3H14;GCN1;SMAD2;HSPA9;SMAD1;DARS;HSPA8;CPSF7;UBE2I;CPSF6;SMAD3;ALYREF;MSN;CWC15;TBCA;EIF2S1;CLK3;H1F0;MKRN1;MKRN2;LSM14B;LSM14A;YWHAE;USP36;RBM25;DDX3X;HMGB2;PSIP1;HMGB3;HSPB1;CHD3;RPS4X;RBM3;HIST1H1D;HIST1H1E;RBM7;ZNF385A;HIST1H1B;HIST1H1C;UTP15;DCD;DDX58;RPS3A;SAFB;DCN;SFPQ;EEF1D;THRAP3;USP10;POLDIP3;DDX21;SLC3A2;ADD1;NXF1;DROSHA;PTCD3;RBM39;NAP1L1;HSPE1;CDK11B;NAP1L4;ACIN1;BUD13;FAM98A;VIM;RPL26L1
protein kinase binding (GO:0019901)	189/495	2.046039561402686E-41	1.1774957675872458E-38	0	0	2.708890967138573	253.79621903295538	ARAF;PEBP1;NR3C1;IGF1R;PPP1CC;ZFP36;CCND3;RPS19;CHEK2;CEP250;EPHB2;FBXO7;CDK5RAP3;MAP2K3;RPS7;PRKCB;PRKCD;RPS6;VRK2;CDC25C;MAPK8IP3;TUBA4A;CDC25B;EEF1A1;FRMD5;MSH2;PKP2;ADAM9;PRKD2;ATF7;MAPKAPK5;VDAC1;TRIB3;EZR;SQSTM1;PPEF2;TP53;EPHA3;ATF4;GRB7;MAPKAP1;RHOBTB3;TWF2;BCL10;MST1R;HIF1A;PRDX3;CCNB1;BAG5;PRKAR2B;PDCD10;PRKAR2A;TPR;DVL1;PLCG1;RAB11FIP2;MAP2K6;SMAD1;SMAD3;CAV2;INSR;CAV1;PLK1;TRIP4;MSN;BRAF;ESR1;PTK2;CCDC88A;POLA1;IBTK;TBL2;PTPRC;PIN1;GRB2;FGFR3;FGFR2;TP73;RET;ACVRL1;TOP2A;TOP2B;GSK3B;CDKN1A;PTPRR;USP37;GSK3A;CDKN1B;PRKCSH;FAF1;PRKAG1;DUSP19;ILK;HSPB1;PTPRJ;KIF11;PTPRK;IKBKB;GHR;CASP9;HINT1;GRM5;RB1CC1;RACK1;ITGAV;ANKRD2;JAK2;DACT1;DSP;HSP90AA1;PPP1R12A;AVPR1B;PARP1;PGAM1;NCOA3;INSRR;AXIN1;AVPR1A;RHOC;SIRT1;TIRAP;ADRA2A;SYN1;RHOB;LATS1;CCNA2;ACTA2;KAT2B;SIKE1;GPRC5B;CEACAM1;LCK;KIT;RARA;PICK1;HCLS1;MAPT;ARHGEF7;MET;BECN1;HDAC5;DCTN2;GSTP1;WAS;NOD2;PTN;PPM1D;HDAC9;ADCY6;PRAM1;RELA;HDAC7;RELB;AURKA;ADD2;CDC42;PARD6B;PARD6A;RNF138;ERBB4;HSF1;ERBB2;RPS3;RICTOR;RBBP6;TNNI3;RFFL;PAK2;SASH1;HNRNPA0;MAP3K2;NPM1;CDKN2C;MAP3K1;CDKN2A;RYK;CAVIN2;BAD;CAVIN3;STAT3;DAB2IP;SKI;TNIP2;TNIP3;NBR1;PTPN6;PKN1;PTPN2;BCAR1
ubiquitin-like protein ligase binding (GO:0044389)	134/297	9.915200214975072E-39	3.8041318158121026E-36	0	0	3.2009822715746803	280.1075543427496	RPL5;UBE2L3;ACTG1;LAPTM4B;CHEK2;MAGEA2;FBXO7;CDK5RAP3;PIAS4;USP7;FBXW7;RPL23;USP2;MUL1;YOD1;RNF40;RBX1;CDC34;UQCRC1;UBE2V2;TXNIP;TRIB3;HIST1H2BH;TP53;UBA52;SQSTM1;VCL;VCP;TSG101;CUL3;BCL10;NLK;HIF1A;FOXO1;RTN4;ATXN3;CCNB1;BAG4;BAG5;PRKAR2B;PRKAR2A;UBD;BTBD2;RIPK1;MAGEC2;NAE1;SMAD2;HSPA9;NGFR;HSPA8;JUN;UBE2H;SMAD3;UBE2B;HSPA5;UBE2C;PYHIN1;TNK2;HSPA6;TRIP4;ERLIN2;PA2G4;UBE2A;PRDX6;SMAD7;NFKBIA;MDM2;UBE2K;YWHAE;GSK3B;CD40;CDKN1A;UBXN1;FAF1;PTPN22;BRCA1;ARRB2;SMG5;UCHL1;MAP1LC3B;MAP1LC3A;CASP8;SUMO1;CASP10;SUMO2;TMEM189-UBE2V1;DNM1L;IKBKE;CCT2;TPI1;DDX58;TUBB;AXIN1;TRAF1;AXIN2;TNFRSF1B;TRAF4;UBE2R2;TRAF3;TCP1;EIF4E2;SLC25A5;BECN1;RNF34;RPL11;RNF8;CXCR4;ASB14;NEDD8;RELA;NKD2;POLR2A;ZNF746;CKB;RPS27A;RFFL;UBL4A;RNF20;KDM4A;HSPA1L;STAT1;RPA2;SNCAIP;LRPPRC;PML;SKI;CUL4A;DNAJA1;ITCH;STUB1;MPHOSPH8;HSPA1B;HSPA1A;CUL4B
ubiquitin protein ligase binding (GO:0031625)	128/284	5.563679734540197E-37	1.6009488436139418E-34	0	0	3.1976177747578056	266.9351772246997	RPL5;UBE2L3;ACTG1;LAPTM4B;CHEK2;MAGEA2;FBXO7;PIAS4;USP7;FBXW7;RPL23;USP2;MUL1;YOD1;RNF40;RBX1;CDC34;UQCRC1;UBE2V2;TXNIP;TRIB3;TP53;UBA52;SQSTM1;VCL;VCP;TSG101;CUL3;BCL10;NLK;HIF1A;FOXO1;RTN4;ATXN3;BAG4;BAG5;PRKAR2B;PRKAR2A;UBD;BTBD2;RIPK1;MAGEC2;NAE1;SMAD2;HSPA9;NGFR;HSPA8;JUN;UBE2H;SMAD3;UBE2B;HSPA5;UBE2C;PYHIN1;TNK2;HSPA6;ERLIN2;PA2G4;UBE2A;PRDX6;SMAD7;NFKBIA;MDM2;UBE2K;YWHAE;GSK3B;CD40;CDKN1A;UBXN1;FAF1;PTPN22;BRCA1;ARRB2;SMG5;UCHL1;MAP1LC3B;MAP1LC3A;CASP8;SUMO1;CASP10;SUMO2;TMEM189-UBE2V1;DNM1L;IKBKE;CCT2;TPI1;DDX58;TUBB;AXIN1;TRAF1;AXIN2;TNFRSF1B;TRAF4;UBE2R2;TRAF3;TCP1;EIF4E2;SLC25A5;BECN1;RNF34;RPL11;RNF8;CXCR4;ASB14;NEDD8;RELA;NKD2;POLR2A;ZNF746;CKB;RPS27A;RFFL;UBL4A;RNF20;KDM4A;HSPA1L;RPA2;SNCAIP;LRPPRC;PML;SKI;CUL4A;DNAJA1;STUB1;MPHOSPH8;HSPA1B;HSPA1A;CUL4B
kinase binding (GO:0019900)	159/418	1.0259443161715632E-34	2.3617238158269385E-32	0	0	2.698707166510232	211.2069750648316	WWC1;WWC2;PEBP1;PARK7;NR3C1;PPP1CC;LAPTM4B;ZFP36;CCND3;RPS19;CHEK2;WWC3;CEP250;FBXO7;PDE8A;CDK5RAP3;MAP2K3;RPS7;PRKCD;RPS6;VRK2;CDC25C;TUBA4A;CDC25B;EEF1A1;TIAM1;FRMD5;MYCN;MSH2;VDAC1;TRIB3;SQSTM1;TP53;ATF4;GRB7;MAPKAP1;RHOBTB3;BCL10;HIF1A;PRDX3;CCNB1;BAG5;PDCD10;DVL1;PIP5K1A;PLCG1;RAB11FIP2;MAP2K6;BARD1;SMAD1;SMAD3;GADD45A;CAV2;CAV1;PLK1;TRIP4;MSN;CDC6;ESR1;PTK2;MOB1B;POLA1;IBTK;TBL2;PTPRC;DLG4;TOLLIP;TRIP6;SNAI1;GRB2;TP73;ACVRL1;GSK3B;CDKN1A;PTPRR;USP37;CDKN1B;HSP90AB1;TRADD;FAF1;PRKAG1;ILK;HSPB1;PTPN22;PTPRJ;KIF11;PTPRK;TTC28;IKBKB;GHR;CASP9;RB1CC1;JAK2;PPP1R12A;PARP1;PGAM1;NCOA3;AXIN1;RAD23A;RHOC;ADRA2A;SYN1;RHOB;LATS1;CCNA2;ACTA2;KAT2B;SIKE1;GPRC5B;CEACAM1;LCK;HCLS1;MAPT;ARHGEF7;CEBPA;BECN1;DCTN2;WAS;NOD2;PTN;ADCY6;PRAM1;RELA;AURKB;HDAC7;RELB;AURKA;ADD2;CDC42;RNF138;HSF1;RPS3;FLNA;RICTOR;RBBP6;TNNI3;RFFL;PAK2;SASH1;HNRNPA0;MAP3K2;NPM1;CDKN2C;MAP3K1;CDKN2A;BAD;STAT3;DAB2IP;SKI;PFKL;TNIP2;TNIP3;CTNNB1;FAS;PTPN6;STUB1;PFKM;PTPN2;BCAR1
DNA binding (GO:0003677)	262/893	1.092604010728596E-33	2.0959786939143567E-31	0	0	2.08153995821825	157.98210579472172	SMARCB1;HNRNPU;RPL6;RPL7;RPS15;JUNB;MEF2A;MEF2C;HNF1A;NEIL3;DDIT3;HOXB2;ATF6;CLOCK;TP53;ATF4;DHX9;FOXG1;XPA;ZNF22;XPC;GATA3;ZNF24;GATA1;HIF1A;TERT;NTHL1;HIVEP1;NKX2-1;ZNF148;PATZ1;ZBTB7A;CREBBP;ZNF263;JUN;FOXF1;BCL11A;XRCC3;SMARCA5;THAP12;PA2G4;FLI1;THAP11;POLA1;HIST1H4A;HNRNPK;RPS27;FUBP1;SNAI2;EZH2;TP73;TOP2A;FEN1;OGG1;PHF1;HIST2H2AB;AKR1B1;BRCA1;BRCA2;GLI1;MEOX2;HIST2H2AC;GLI2;MECP2;EPM2AIP1;ING2;MECOM;AIFM2;HNF4A;HEY2;TEAD1;TEAD2;TEAD4;PARP1;HIST2H2BF;SUPT3H;TOPORS;MLF2;DDB1;MAPT;DNASE1L2;PPARD;FOXC1;SATB1;PRIM1;CRIP1;RELA;ARNTL;RECQL4;HIRA;PURA;WRN;BCLAF1;RECQL5;RXRA;RNF138;PLAGL1;HSF1;RPS3;DEDD;MBD4;FOXB1;CENPX;NFYA;STAT1;NFYB;NR1H2;STAT3;RPA1;NR1H4;RPA2;NR1H3;APTX;GTF2H4;MLH3;HINFP;BATF;TFAP4;WT1;APEX1;RPA3;TARDBP;DCLRE1A;MRE11;MPG;ATN1;HR;AHR;ETS1;ETS2;YY1;CHCHD2;YY2;EP300;GTF2I;HMGN1;MEN1;HIST1H2AB;APLP2;LIG4;ZBTB33;POLRMT;WBP11;ILF2;POU3F3;HIC1;MSH6;MYCN;MSH2;DMTF1;KAT6A;PGR;HIST1H2BH;ERG;HIST1H2BB;HIST1H2BA;HIST1H2BD;HIST1H2BC;KHDRBS1;ZNF550;BLM;DNMT1;TSG101;CBFB;MAX;CREM;FOXO4;FOXO1;ZNF669;SAFB2;E4F1;SMAD2;TFAP2B;TFAP2C;SMAD3;POU2F1;DENND4A;VDR;HMGA1;HMGA2;H2BFS;CDK9;NR4A1;BCL6;TLX2;BHLHE40;MAFF;ALB;NABP2;NABP1;TAF4B;MAFK;NFE2L2;CREBZF;KDM5B;DDX3X;THRB;MCM7;CHD8;HMGB2;HMGB3;AFF1;EXO1;ZIC3;KDM6A;RFC3;CR2;RFC4;RFC1;TWNK;H2AFX;RAD23A;FOXL2;SAFB;ARID1A;SFPQ;IRF3;TRAF4;IRF1;IRF2;IRF7;CRY1;IRF5;ANG;TOP1;ZMYND11;HDAC4;HIST1H2BN;GTF2A1;CEBPA;HIST1H2BM;GTF3C3;CEBPB;HDAC2;GTF3C4;HIST1H2BO;HIST1H2BJ;SRF;HIST1H2BL;TAF9;CEBPG;LEF1;HIST1H2BK;FOXK2;MLLT1;POLR2A;TDG;HNRNPA1;KCNIP3;FOXJ3;CDC5L;HNRNPAB;USF2;RAD50;RAD51;ERCC3;TAF6;CEBPZ;ERCC6;TNP1;TAF2;CUL4B
transcription coactivator activity (GO:0003713)	120/291	2.986155378384883E-30	4.910092629315714E-28	0	0	2.9256554382448994	198.89648974427664	SMARCB1;KDM1A;WWC1;RORC;PARK7;CCAR1;UBE2L3;YY1;PSMD9;KAT5;ZMIZ2;RUVBL1;TRIM24;EP300;ATXN7L3;JUNB;MEF2A;DDX17;SMARCC1;PRKCB;HCFC2;ISL1;SUPT7L;PIAS2;WDR77;MED7;HCFC1;PIAS1;KAT6A;TBPL1;ATF6;DHX9;MAX;BCL10;GATA3;TAF5L;MTDH;E4F1;TFAP2B;CREBBP;JUN;JUND;JUP;VDR;ECD;HMGA1;TRIP4;SMARCA2;TADA2B;CDK7;SNW1;TADA2A;COPS5;TADA3;JMY;TADA1;TAF4B;NFKBIB;CIITA;THRB;CITED1;THRA;TGFB1I1;FHL2;BRCA1;MED17;ING4;NCOA1;MKL2;NCOA2;NCOA6;NCOA3;ACTL6A;EDF1;PPRC1;ARID1A;SUPT3H;MED23;KAT2B;KAT2A;ZEB1;TFDP1;ELF3;THRAP3;MED21;HAND2;HAND1;RARA;BIRC2;PPARD;YAP1;GTF2A1;CEBPA;SMARCD1;FOXC1;SMARCD2;NR1I2;TAF9;PSMC3IP;RXRA;MTA1;BRD7;RNF20;MBD4;NPM1;USP21;NR1H2;TAF10;TAF11;NR1H4;NR1H3;RRP1B;HINFP;PER2;APEX1;CARM1;TRIP11;CTNNB1;PKN1;TRIM32
protein serine/threonine kinase activity (GO:0004674)	134/368	3.16141346524037E-27	4.5484836231145825E-25	0	0	2.583401452874131	157.63600047180563	TP53RK;CCNH;ARAF;MYLK;STK11;TBK1;RPS6KA5;SLK;CHEK2;AKT2;RPS6KA2;CHEK1;AKT3;AKT1;NEK1;MAP3K8;PRKCG;MAP2K3;PRKAB2;PRKCI;MAP2K1;PRKCH;PRKCB;DAPK1;PRKCD;DAPK3;DYRK1A;CSNK1D;PRKCA;PRPF4B;CSNK1E;VRK2;ERN1;SIK3;ULK2;PRKCQ;PRKD2;MAPKAPK5;PRKD1;TNIK;SQSTM1;CDKL1;CSNK1G1;NLK;STK4;STK3;NUAK1;CCNB1;GRK2;IRAK1;RIPK1;MARK4;MARK3;MARK1;MAP2K6;CDK18;PLK3;PLK1;HMGA2;BRAF;CLK3;SRPK1;ICK;CDK9;CDK8;CDK7;CDK6;STK24;CDK5;CDK4;WNK3;CDK2;CDK1;ATM;MNAT1;CDK14;CDK16;ATR;BMPR1A;ACVRL1;GSK3B;CDKN1A;SMG1;DYRK3;GSK3A;CDKN1B;MAST3;LRRK2;PRKAG1;ILK;IKBKB;PBK;IKBKE;PRKG1;MAP4K1;SYK;CHUK;RIPK2;PDPK1;IRAK4;TGFBR1;TGFBR2;LATS1;LATS2;SGK3;TOP1;PPM1D;CAMKK1;AURKB;AURKA;CDC42;MAPK8;PHKG2;PTK2B;MAPK1;PAK2;PAK4;MAPK3;MAP3K2;MAP3K3;MAP3K1;CSNK1A1;MOK;GTF2H1;GTF2H4;CDK11B;HIPK3;MAPK11;ERCC3;CAMK4;RPS6KB2;ERCC2;PKN1;CSNK1A1L
protein kinase activity (GO:0004672)	167/513	3.653318627741587E-27	4.672188600589519E-25	0	0	2.3095854017606787	140.5940748447087	TP53RK;ARAF;IGF1R;STK11;TBK1;SLK;FGF8;RASSF2;RPS6KA5;AKT2;CHEK2;RPS6KA2;AKT3;FGFR1OP2;CHEK1;TRIM24;AKT1;NEK1;MAP3K8;MAP3K6;EPHB2;PRKCG;MAP2K3;PRKCI;MAP2K1;PRKCH;PRKCB;DAPK1;PRKCD;DAPK3;DYRK1A;PRKCA;PRPF4B;CSNK1D;VRK2;CSNK1E;BCR;BTC;ERN1;SIK3;BTK;ULK2;PRKCQ;PRKD2;MAPKAPK5;PRKD1;TNIK;SQSTM1;EPHA3;CSNK1G1;CSF2RB;MST1R;NLK;STK4;STK3;GRK1;NUAK1;GRK2;IRAK1;GRK6;RIPK1;MARK4;MARK3;MAP2K6;MARK1;STAT5A;CDK18;PLK3;STAT5B;YES1;TNK2;INSR;PLK1;TNK1;BRAF;ERLIN2;BMX;PTK2;CLK3;SRPK1;CDK9;ICK;CDK8;CDK7;STK24;CDK5;CDK2;WNK3;CDK1;ATM;FGFR3;FGFR2;CDK16;ATR;FGF10;BMPR1A;RET;ACVRL1;GSK3B;CDKN1A;SMG1;DYRK3;GSK3A;MAST3;LRRK2;PRKAG1;ILK;IKBKB;CNTRL;PBK;RIOK2;JAK2;IKBKE;PRKG1;MAP4K1;HSP90AA1;KSR1;CHUK;SYK;RIPK2;PDPK1;INSRR;KSR2;IRAK4;TGFBR1;LATS1;CCNA2;LATS2;LCK;KIT;SGK3;TOP1;MET;PPM1D;AURKB;AURKA;CDC42;MAPK8;ERBB4;CCL5;PHKG2;ERBB2;CCL3;CCL2;PTK2B;MAPK1;PAK2;BUB1;PAK4;MAPK3;MAP3K2;MAP3K3;MAP3K1;CSNK1A1;RYK;MOK;GTF2H1;GTF2H4;CDK11B;HIPK3;MAPK11;WEE1;ERCC3;RPS6KB2;ERCC2;PKN1;CSNK1A1L
transcription regulatory region DNA binding (GO:0044212)	131/374	8.166886446586907E-25	9.400086300021531E-23	0	0	2.4850470356803434	137.83198967984603	SPI1;KDM1A;GFI1;RORC;HNRNPU;ARID4B;HR;AHR;NR3C1;CCAR1;YY1;BASP1;TRIM24;EP300;KAT7;MEN1;MEF2A;MEF2C;LMO2;HNF1A;DMTF1;DDIT3;TP53;ATF6;CLOCK;ATF3;ATF4;NOTCH1;KMT2A;DHX9;MAX;GATA5;TWIST1;GATA3;PHB;GATA1;PRDX5;NKX2-1;HIVEP1;E4F1;SMAD2;ZBTB17;JUN;TFAP2C;JUND;SMAD3;BCL11A;VDR;HMGA2;SMARCA2;ESR1;ELL3;NFKB1;SMAD7;CDK9;AGO1;AGO2;BHLHE40;TP73;EZH2;NFE2L2;CIITA;THRB;CITED1;THRA;BHLHE41;HMGB2;AKR1B1;ASH2L;BRCA1;GLI1;SIN3A;HNF4A;TEAD1;TEAD2;TEAD4;FOS;SREBF2;SFPQ;ZEB1;NCOR1;HAND2;HAND1;RARA;CRY1;IRF9;PPARD;YAP1;HDAC4;CEBPA;HDAC5;FOXC1;SRF;NR1I2;LEF1;TAF9;RELA;ARNTL;RELB;PURA;RXRA;MTA1;ELMSAN1;RBBP5;ERBB4;ZNF746;TBL1X;TAF9B;BRD7;MTA2;SNCA;MBD4;NPM1;NFYA;STAT1;NFYB;NR1H2;STAT3;NR1H4;NR1H3;CDC5L;KLF4;HINFP;PER2;TFAP4;MYBBP1A;WT1;CARM1;TAF5;FOXA3;TAF2
