Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
positive regulation of intracellular signal transduction (GO:1902533)	56/479	6.290929463543569E-44	3.210261305246283E-40	0	0	11.691022964509393	1162.9602452516976	ALK;APP;FLT4;TRADD;DUSP19;FASLG;PIK3CB;IGF1R;GJA1;CASP8;CASP10;KDR;TRIM25;IKBKG;EPHB2;JAK2;HRAS;PDGFRB;PRKCB;INSRR;FRS2;VAV1;RHOA;TGFBR1;PPM1A;PIK3CA;LCK;BIRC2;EPHA2;SLC20A1;SHC1;SRC;PIK3R2;PIK3R1;CBL;THBS1;EGFR;MTDH;UBB;ERBB2;RIPK1;FYN;FADD;BID;ECT2;LYN;NTRK1;DAB2IP;TNFRSF10B;PTPN11;CFLAR;PTK2;NEDD4;GRB2;PTPN6;MAP3K14
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	49/396	1.8220342525634863E-39	4.6489203954157354E-36	0	0	12.373737373737374	1103.7480773750265	FLT4;IDE;PIK3CB;IGF1R;KDR;NCK2;AKT1;AP3S1;EPHB2;JAK2;JAK3;HRAS;JAK1;VAV3;PDGFRB;HSP90AA1;SYK;INSRR;TSC2;FRS2;TYK2;VAV1;RHOA;PIK3CA;LCK;RASA1;EPHA2;ROCK1;SHC1;SRC;PIK3R3;PIK3R2;PIK3R1;CBL;UBB;ERBB2;MAPK1;FYN;CSK;SH2B2;MAPK3;LYN;NTRK1;STAT3;PTPN11;SORBS1;BMX;PTK2;GRB2
regulation of apoptotic process (GO:0042981)	57/815	1.873508361866247E-32	3.186837723534486E-29	0	0	6.993865030674846	510.93618158038134	ALK;GSK3B;FLT4;TRADD;FASLG;IGF1R;CASP10;ARHGDIA;KDR;AKT1;CASP2;EPHB2;JAK2;JAK3;CTSB;VAV3;PDGFRB;INSRR;VAV1;LCK;RASA1;IL6ST;BIRC2;EPHA2;PRKAA1;PRKAA2;SHC1;SRC;PIK3R1;NOL3;CBL;THBS1;EGFR;MTDH;MAPK8;UBB;ERBB2;RIPK1;FYN;FADD;BID;ECT2;MAP2K7;MAP4K4;SNCA;NTRK1;MOAP1;GADD45B;STAT3;DAB2IP;TNFRSF10B;CFLAR;PTK2;HYPK;FABP1;MAP3K14;MAD2L1
protein phosphorylation (GO:0006468)	41/470	7.6732008842863E-27	9.789086028128248E-24	0	0	8.72340425531915	524.5562999893499	ALK;APP;GSK3B;PRKAA1;PRKAA2;SRC;FLT4;CAMK2A;PIK3CB;EGFR;IGF1R;MAPK8;ERBB2;KDR;AKT1;MAPK1;RIPK1;FYN;CSK;EPHB2;JAK2;JAK3;CAMK2G;JAK1;MAP4K4;MAPK3;LYN;PDGFRB;NTRK1;SYK;PRKCB;INSRR;DAB2IP;TYK2;BMX;PTK2;TGFBR1;MTOR;PIK3CA;LCK;PTPN6
negative regulation of apoptotic process (GO:0043066)	41/485	2.614560490809459E-26	2.6684204369201335E-23	0	0	8.45360824742268	497.9692314801839	ALK;GSK3B;PRKAA1;PRKAA2;SHC1;SRC;FLT4;PIK3R1;NOL3;CBL;THBS1;EGFR;MTDH;IGF1R;MAPK8;UBB;ARHGDIA;ERBB2;KDR;AKT1;CASP2;EPHB2;BID;MAP4K4;SNCA;PDGFRB;NTRK1;INSRR;STAT3;LIG4;TNFRSF10B;CFLAR;PTK2;HYPK;FABP1;PIK3CA;RASA1;IL6ST;BIRC2;EPHA2;MAD2L1
peptidyl-tyrosine phosphorylation (GO:0018108)	22/79	3.670734475461404E-26	3.121959671379924E-23	0	0	27.848101265822784	1630.974752174007	PDGFRB;LYN;NTRK1;SYK;SRC;FLT4;TYK2;BMX;EGFR;PTK2;IGF1R;LCK;KDR;CSK;FYN;PTPN6;GRB2;EPHB2;JAK2;JAK3;JAK1;MAPK3
ERBB signaling pathway (GO:0038127)	22/80	5.0199424332870186E-26	3.6595380338662364E-23	0	0	27.5	1601.9793336712003	PTPRR;HSP90AA1;SHC1;SRC;CBLB;PTPN11;PIK3R1;CBL;EGFR;PTK2;NRAS;PIK3CA;UBB;ERBB2;NCK2;AKT1;MAPK1;CSK;KRAS;GRB2;PLCG1;HRAS
negative regulation of programmed cell death (GO:0043069)	38/408	6.467508396328756E-26	4.1254619183082054E-23	0	0	9.313725490196079	540.20000402262	ALK;GSK3B;PRKAA1;PRKAA2;SHC1;SRC;FLT4;PIK3R1;NOL3;CBL;THBS1;EGFR;MTDH;IGF1R;MAPK8;UBB;ARHGDIA;ERBB2;KDR;AKT1;CASP2;EPHB2;BID;MAP4K4;SNCA;PDGFRB;NTRK1;INSRR;STAT3;CFLAR;PTK2;HYPK;FABP1;RASA1;IL6ST;BIRC2;EPHA2;MAD2L1
protein autophosphorylation (GO:0046777)	28/175	8.732641089515578E-26	4.951407497755333E-23	0	0	16.0	923.2023130151541	ALK;GSK3B;SRC;FLT4;CAMK2A;EGFR;IGF1R;ERBB2;KDR;AKT1;RIPK1;CSK;FYN;JAK2;JAK3;JAK1;MAPK3;PDGFRB;LYN;NTRK1;SYK;INSRR;TYK2;BMX;PTK2;MTOR;LCK;GRB2
peptidyl-tyrosine autophosphorylation (GO:0038083)	18/45	6.210731483908036E-25	3.169336276238271E-22	0	0	40.0	2229.5339457821224	LYN;NTRK1;SYK;SRC;TYK2;BMX;EGFR;PTK2;IGF1R;LCK;KDR;CSK;FYN;GRB2;JAK2;JAK3;MAPK3;JAK1
