Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
membrane raft (GO:0045121)	15/119	9.80382728198365E-13	4.3725069677647077E-10	0	0	12.605042016806722	348.53991630893245	LYN;APP;CBLB;SORBS1;CBL;TGFBR1;EGFR;GJA1;PPP2R1B;LCK;KDR;DMD;FYN;JAK2;PI4K2A
focal adhesion (GO:0005925)	23/356	1.4119151163639948E-12	3.1485707094917084E-10	0	0	6.460674157303371	176.28643375695034	PDGFRB;TPM4;MSN;SORBS1;PTK2;RHOA;EGFR;PPP1CC;GJA1;MMP14;MARCKS;RPL37A;GNA12;DAG1;NUMB;MAPK1;KRAS;EZR;JAK2;FERMT2;EPHA2;JAK1;MAPK3
death-inducing signaling complex (GO:0031264)	6/8	2.554065162573473E-11	3.797043541692564E-9	0	0	75.0	1829.3062313790822	CASP8;CASP10;TRADD;RIPK1;CFLAR;FADD
early endosome (GO:0005769)	11/222	1.5242816733047249E-5	0.0016995740657347682	0	0	4.954954954954955	54.95739828720171	NTRK1;SNX4;PTPN1;SNX1;HGS;KDR;MAPK1;EGFR;SNX6;PICALM;MAPK3
cytoskeleton (GO:0005856)	16/520	7.226868101719123E-5	0.006446366346733458	0	0	3.076923076923077	29.338829857234586	TPM4;ROCK1;MSN;PTK2;HYPK;CD2AP;MMP14;MARCKS;CASP8;ARHGDIA;AKT1;MAPK1;EZR;MPZL2;MAPK3;SNCA
axon (GO:0030424)	8/141	8.841701271990329E-5	0.006572331278846145	0	0	5.673758865248226	52.95572286669214	NTRK1;APP;MAPK8;INSRR;DAB2IP;EPHB2;IGF1R;SNCA
caveola (GO:0005901)	5/56	2.4017285785957223E-4	0.015302442086481316	0	0	8.928571428571429	74.41206832848094	SRC;MAPK1;JAK2;CBL;MAPK3
endosomal part (GO:0044440)	4/31	2.4710303456243254E-4	0.013775994176855615	0	0	12.903225806451612	107.17038921727996	APP;JAK2;EGFR;SNX6
endoplasmic reticulum lumen (GO:0005788)	10/270	4.046125775666553E-4	0.02005080106608092	0	0	3.7037037037037033	28.935483508485277	APP;COL2A1;COL4A2;COL5A1;AHSG;COL4A1;COL12A1;COL6A1;DAG1;THBS1
perinuclear region of cytoplasm (GO:0048471)	12/378	4.425358161529122E-4	0.019737097400419883	0	0	3.1746031746031744	24.517425893121374	LYN;APP;NEDD4;UBQLN1;TSC2;MSN;EZR;MTDH;CTSB;MAD2L1;PICALM;SNCA
lytic vacuole (GO:0000323)	8/183	5.22766491485613E-4	0.021195805018416673	0	0	4.371584699453551	33.033336273642746	SNX1;SNX2;HGS;SRC;TSC2;MTOR;CTSB;SNCA
lysosome (GO:0005764)	12/422	0.0011550902874030158	0.04293085568181209	0	0	2.8436018957345968	19.232919717019517	SNX1;HSP90AA1;SNX2;HGS;SRC;COL6A1;TSC2;ARRB1;PI4K2A;MTOR;CTSB;SNCA
cytoplasmic vesicle (GO:0031410)	8/215	0.0014826832721619267	0.05086744149109379	0	0	3.7209302325581395	24.237774180521605	CCDC88A;MMP14;SH3KBP1;DAB2IP;ARRB1;PI4K2A;OPTN;RHOA
integral component of plasma membrane (GO:0005887)	27/1463	0.0014849976019923653	0.04730778074918535	0	0	1.845522898154477	12.018676505934094	ALK;APP;PTPRU;SLC20A1;FLT4;FASLG;PTPRF;EGFR;IGF1R;GJA1;ERBB2;KDR;EPHB2;PDGFRB;NTRK1;INSRR;TNFRSF10B;FRS2;SORBS1;TGFBR1;PTPRD;MMP14;TRAF3;IL6ST;PI4K2A;BIRC2;EPHA2
endosome lumen (GO:0031904)	3/24	0.0017076659731305678	0.05077460160108222	0	0	12.5	79.6578471103013	APP;JAK2;CTSB
platelet alpha granule (GO:0031091)	5/90	0.002101995153762279	0.05859311491112353	0	0	5.555555555555555	34.24926840036964	APP;AHSG;STXBP1;THBS1;SNCA
filopodium (GO:0030175)	4/60	0.003056541487458822	0.08018926490627262	0	0	6.666666666666666	38.60314156712845	DAG1;MSN;DMD;EZR
CD40 receptor complex (GO:0035631)	2/11	0.0051570205394645754	0.12777950892228893	0	0	18.181818181818183	95.7708414743501	TRAF3;BIRC2
actin-based cell projection (GO:0098858)	4/70	0.005319900387786846	0.1248776617343649	0	0	5.714285714285714	29.921718285166282	DAG1;MSN;DMD;EZR
invadopodium (GO:0071437)	2/12	0.0061478754316609515	0.1370976221260392	0	0	16.666666666666664	84.86081191857791	MSN;EZR
