Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
protein kinase activity (GO:0004672)	43/513	1.8940659268319995E-27	2.1800698817836315E-24	0	0	8.382066276803119	515.7575211427664	ALK;GSK3B;PRKAA1;PRKAA2;ROCK1;SRC;FLT4;CAMK2A;EGFR;IGF1R;TTN;MAPK8;ERBB2;KDR;AKT1;MAPK1;RIPK1;FYN;CSK;EPHB2;JAK2;MAP2K7;JAK3;CAMK2G;JAK1;MAP4K4;MAPK3;LYN;PDGFRB;NTRK1;STAT5B;HSP90AA1;SYK;PRKCB;INSRR;TYK2;BMX;PTK2;TGFBR1;MTOR;LCK;MAP3K14;EPHA2
protein tyrosine kinase activity (GO:0004713)	27/147	1.3979787874445182E-26	8.045367921743202E-24	0	0	18.367346938775512	1093.4482949568453	ALK;SRC;FLT4;EGFR;IGF1R;TTN;ERBB2;KDR;CSK;FYN;EPHB2;JAK2;JAK3;JAK1;PDGFRB;LYN;NTRK1;STAT5B;HSP90AA1;SYK;INSRR;TYK2;BMX;PTK2;LCK;GRB2;EPHA2
protein kinase binding (GO:0019901)	37/495	6.756348621997687E-22	2.5921857546397793E-19	0	0	7.474747474747474	364.36695141768274	ALK;GSK3B;PTPRR;SHC1;FLT4;DUSP19;EGFR;IGF1R;TTN;PPP1CC;SOCS1;ERBB2;KDR;CSK;PLCG1;EPHB2;JAK2;MAP2K7;PDGFRB;NTRK1;PTPN1;HSP90AA1;PRKCB;INSRR;STAT3;DAB2IP;MSN;PTK2;RHOA;CCDC88A;IBTK;TNIP1;LCK;GRB2;PTPN6;EZR;EPHA2
non-membrane spanning protein tyrosine kinase activity (GO:0004715)	13/43	1.8963616284480954E-16	5.456780585859394E-14	0	0	30.23255813953488	1094.461666998644	LYN;SYK;SRC;TYK2;BMX;PTK2;LCK;CSK;FYN;GRB2;JAK2;JAK3;JAK1
protein phosphorylated amino acid binding (GO:0045309)	12/34	3.2417087781637103E-16	7.462413607332861E-14	0	0	35.294117647058826	1258.7739139926896	SYK;SHC1;LCK;RASA1;NEDD4;PLCG2;NCK2;PIK3R3;PIK3R2;GRB2;PIK3R1;VAV1
phosphatidylinositol 3-kinase activity (GO:0035004)	15/76	9.78890538228777E-16	1.8778383491688706E-13	0	0	19.736842105263158	682.1074706721714	PDGFRB;SRC;PIK3R3;FRS2;PIK3R2;PTPN11;PIK3CB;PIK3R1;VAV1;EGFR;PIK3CA;LCK;ERBB2;FYN;GRB2
phosphotyrosine residue binding (GO:0001784)	11/29	2.240687583181708E-15	3.684330583203066E-13	0	0	37.93103448275862	1279.4894131484332	SYK;SHC1;LCK;RASA1;PLCG2;NCK2;PIK3R3;PIK3R2;GRB2;PIK3R1;VAV1
phosphatidylinositol-4,5-bisphosphate 3-kinase activity (GO:0046934)	14/68	4.848881206486995E-15	6.976327835833164E-13	0	0	20.588235294117645	678.5888199103722	PDGFRB;SRC;FRS2;PIK3R2;PTPN11;PIK3CB;PIK3R1;VAV1;EGFR;PIK3CA;LCK;ERBB2;FYN;GRB2
kinase activity (GO:0016301)	23/280	8.853266942594865E-15	1.1322344723251878E-12	0	0	8.214285714285714	265.79777383318185	LYN;GSK3B;PRKAA1;PRKAA2;SYK;ROCK1;SRC;CAMK2A;PIK3CB;PTK2;TGFBR1;MTOR;MAPK8;PIK3CA;LCK;AKT1;MAPK1;RIPK1;CSK;JAK2;MAP3K14;MAP4K4;MAPK3
phosphatidylinositol bisphosphate kinase activity (GO:0052813)	14/71	9.226980271025469E-15	1.0620254291950314E-12	0	0	19.718309859154928	637.2296111308915	PDGFRB;SRC;FRS2;PIK3R2;PTPN11;PIK3CB;PIK3R1;VAV1;EGFR;PIK3CA;LCK;ERBB2;FYN;GRB2
insulin receptor binding (GO:0005158)	9/19	7.068977043803051E-14	7.396720524924828E-12	0	0	47.368421052631575	1434.3383142084913	SNX4;SNX1;SNX2;SHC1;GRB10;PTPN11;SORBS1;PIK3R1;IGF1R
phosphatase binding (GO:0019902)	14/102	1.7390855804878856E-12	1.6680729192846302E-10	0	0	13.725490196078432	371.6541797746486	FLT4;STAT3;TSC2;PIK3R2;PIK3R1;EGFR;TRAF3;LCK;ERBB2;MAPK1;MAP2K7;JAK3;JAK1;MAPK3
mitogen-activated protein kinase kinase binding (GO:0031434)	12/65	1.817710575475799E-12	1.609372978748188E-10	0	0	18.461538461538463	499.0789538262477	ALK;PDGFRB;NTRK1;FLT4;INSRR;ERBB2;KDR;DAB2IP;EPHB2;EGFR;IGF1R;EPHA2
MAP kinase kinase kinase activity (GO:0004709)	12/78	1.7501279533892707E-11	1.4388551959650362E-9	0	0	15.384615384615385	381.05764802230004	ALK;PDGFRB;NTRK1;FLT4;INSRR;ERBB2;KDR;EPHB2;MAP3K14;EGFR;IGF1R;EPHA2
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	11/61	2.0502743910360154E-11	1.573243882721636E-9	0	0	18.0327868852459	443.7952234164078	ALK;PDGFRB;NTRK1;FLT4;INSRR;ERBB2;KDR;EPHB2;EGFR;IGF1R;EPHA2
transmembrane receptor protein kinase activity (GO:0019199)	11/62	2.4709164451465566E-11	1.777515517727304E-9	0	0	17.741935483870968	433.3263161573265	ALK;PDGFRB;NTRK1;FLT4;INSRR;ERBB2;KDR;EPHB2;EGFR;IGF1R;EPHA2
kinase binding (GO:0019900)	23/418	3.7065832166147445E-11	2.509574871955042E-9	0	0	5.502392344497608	132.15825055989163	PDGFRB;GSK3B;PTPN1;PTPRR;SHC1;SRC;TRADD;STAT3;DAB2IP;MSN;PTK2;RHOA;TTN;PPP1CC;IBTK;SOCS1;LCK;UBQLN1;GRB2;PTPN6;PLCG1;JAK2;MAP2K7
phosphoprotein phosphatase activity (GO:0004721)	14/136	9.240103481757499E-11	5.9085328375016005E-9	0	0	10.294117647058822	237.8443831854919	PTPRU;PTPN1;PTPRR;STYX;DUSP19;PTPN11;DUSP18;PTPRF;PPM1F;SSH1;PPP1CC;PPM1A;LCK;PTPN6
protein phosphatase binding (GO:0019903)	12/92	1.294203725868922E-10	7.840149939342785E-9	0	0	13.043478260869565	296.97333009660315	TRAF3;LCK;FLT4;ERBB2;STAT3;DAB2IP;PIK3R2;PIK3R1;MAP2K7;JAK3;EGFR;JAK1
ephrin receptor binding (GO:0046875)	7/19	4.096356071657933E-10	2.3574529192391404E-8	0	0	36.84210526315789	796.3698515840592	LYN;PTPN1;SRC;SHC1;FYN;GRB2;CBL
neurotrophin TRKA receptor binding (GO:0005168)	5/6	5.660451105301329E-10	3.1024662962865854E-8	0	0	83.33333333333333	1774.3622783598344	SHC1;FRS2;GRB2;PIK3R1;PLCG1
phosphatidylinositol kinase activity (GO:0052742)	9/51	1.7669048868510876E-9	9.244125112570919E-8	0	0	17.647058823529413	355.6594671623459	PIK3CA;PIK3R3;FRS2;PIK3R2;PTPN11;GRB2;PIK3CB;PIK3R1;PI4K2A
growth factor receptor binding (GO:0070851)	11/92	2.013330071871215E-9	1.007540396836421E-7	0	0	11.956521739130435	239.4111229017466	PDGFRB;SNX4;SNX1;SNX2;SHC1;SRC;FRS2;FYN;GRB2;JAK2;IL6ST
neurotrophin TRK receptor binding (GO:0005167)	5/8	5.197809453130906E-9	2.49278278356403E-7	0	0	62.5	1192.1892849454264	SHC1;FRS2;GRB2;PIK3R1;PLCG1
