Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways in cancer	54/530	4.229058534200341E-39	1.3025500285337051E-36	0	0	10.18867924528302	900.2598713717637	ALK;GSK3B;FLT4;FASLG;PIK3CB;IGF1R;CASP8;AKT1;IKBKG;JAK2;JAK3;HRAS;JAK1;PDGFRB;RALBP1;HSP90AA1;PRKCB;TRAF1;RHOA;TGFBR1;COL4A2;PIK3CA;COL4A1;TRAF3;IL6ST;BIRC2;ROCK1;CAMK2A;PIK3R3;PIK3R2;PIK3R1;CBL;EGFR;NRAS;MAPK8;GNA12;ERBB2;PLCG2;MAPK1;PLCG1;FADD;BID;CAMK2G;MAPK3;NTRK1;STAT5B;GADD45B;STAT3;PTK2;MTOR;GNAS;GRB2;KRAS;NFE2L2
ErbB signaling pathway	30/85	5.466412392144443E-39	8.418275083902442E-37	0	0	35.294117647058826	3109.489273952458	GSK3B;SHC1;SRC;CAMK2A;PIK3R3;CBLB;PIK3R2;PIK3CB;PIK3R1;CBL;EGFR;NRAS;MAPK8;ERBB2;NCK2;PLCG2;AKT1;MAPK1;PLCG1;MAP2K7;HRAS;CAMK2G;MAPK3;STAT5B;PRKCB;MTOR;PTK2;PIK3CA;KRAS;GRB2
Proteoglycans in cancer	36/201	7.473750468131592E-35	7.673050480615101E-33	0	0	17.91044776119403	1407.386530942242	ROCK1;SRC;CAMK2A;PIK3R3;PIK3R2;FASLG;PIK3R1;PIK3CB;CBL;THBS1;EGFR;IGF1R;PPP1CC;NRAS;ERBB2;KDR;PLCG2;AKT1;MAPK1;PLCG1;HRAS;CAMK2G;MAPK3;PRKCB;STAT3;MSN;FRS2;PTPN11;PTK2;RHOA;MTOR;PIK3CA;GRB2;PTPN6;KRAS;EZR
Focal adhesion	34/199	3.3636293799020266E-32	2.5899946225245605E-30	0	0	17.08542713567839	1238.1758201081293	GSK3B;ROCK1;SHC1;SRC;FLT4;PIK3R3;PIK3R2;PIK3R1;PIK3CB;THBS1;EGFR;IGF1R;PPP1CC;MAPK8;ERBB2;KDR;AKT1;MAPK1;FYN;HRAS;MAPK3;VAV3;PDGFRB;PRKCB;PTK2;RHOA;VAV1;COL2A1;COL4A2;PIK3CA;COL4A1;COL6A1;GRB2;BIRC2
Insulin signaling pathway	30/137	6.548111158354585E-32	4.033636473546424E-30	0	0	21.8978102189781	1572.3404308143067	GSK3B;PRKAA1;PRKAA2;SHC1;INPPL1;PIK3R3;CBLB;PIK3R2;PIK3R1;PIK3CB;CBL;PTPRF;PPP1CC;SOCS3;NRAS;MAPK8;SOCS1;AKT1;MAPK1;HRAS;SH2B2;MAPK3;PTPN1;TSC2;SORBS1;MTOR;PIK3CA;HKDC1;GRB2;KRAS
Apoptosis	30/143	2.633359452912232E-31	1.351791185828279E-29	0	0	20.97902097902098	1477.1722551027758	TRADD;PIK3R3;PIK3R2;FASLG;PIK3R1;PIK3CB;NRAS;MAPK8;CASP8;CASP10;AKT1;CASP2;MAPK1;RIPK1;FADD;IKBKG;BID;HRAS;CTSB;MAPK3;NTRK1;GADD45B;DAB2IP;TNFRSF10B;TRAF1;CFLAR;PIK3CA;KRAS;MAP3K14;BIRC2
Neurotrophin signaling pathway	28/119	8.840753421802785E-31	3.8899315055932257E-29	0	0	23.52941176470588	1628.2533124961622	GSK3B;SHC1;CAMK2A;PIK3R3;PIK3R2;FASLG;PIK3R1;PIK3CB;NRAS;MAPK8;ARHGDIA;PLCG2;AKT1;MAPK1;PLCG1;MAP2K7;HRAS;CAMK2G;SH2B2;SH2B1;MAPK3;NTRK1;FRS2;PTPN11;RHOA;PIK3CA;GRB2;KRAS
Kaposi sarcoma-associated herpesvirus infection	32/186	1.9780941870621076E-30	7.615662620189114E-29	0	0	17.20430107526882	1176.6953796203518	GSK3B;SRC;TRADD;PIK3R3;PIK3R2;PIK3R1;PIK3CB;NRAS;MAPK8;CASP8;UBB;PLCG2;AKT1;MAPK1;PLCG1;FADD;IKBKG;MAP2K7;JAK2;BID;HRAS;JAK1;MAPK3;LYN;SYK;STAT3;TYK2;MTOR;PIK3CA;TRAF3;KRAS;IL6ST
Hepatitis B	30/163	1.7402176095749607E-29	5.9554113749898655E-28	0	0	18.404907975460123	1218.7906293579108	SRC;PIK3R3;PIK3R2;FASLG;PIK3R1;PIK3CB;NRAS;MAPK8;CASP8;CASP10;AKT1;MAPK1;FADD;IKBKG;MAP2K7;JAK2;BID;HRAS;JAK3;JAK1;MAPK3;STAT5B;PRKCB;STAT3;TYK2;TGFBR1;PIK3CA;TRAF3;GRB2;KRAS
PI3K-Akt signaling pathway	39/354	2.2995485535627725E-29	7.082609544973339E-28	0	0	11.016949152542372	726.482468953244	GSK3B;PRKAA1;PRKAA2;FLT4;PIK3R3;PIK3R2;FASLG;PIK3R1;PIK3CB;THBS1;EGFR;IGF1R;NRAS;PPP2R1B;ERBB2;KDR;AKT1;MAPK1;IKBKG;JAK2;JAK3;HRAS;JAK1;MAPK3;PDGFRB;NTRK1;HSP90AA1;SYK;TSC2;PTK2;MTOR;COL2A1;COL4A2;PIK3CA;COL4A1;COL6A1;GRB2;KRAS;EPHA2
