UniProt1	UniProt2	symbol1	symbol2	evidence type
A0FGR8	A0FGR8	ESYT2	ESYT2	exp
A0MZ66	A0MZ66	SHTN1	SHTN1	exp
A2A3K4	A2A3K4	PTPDC1	PTPDC1	exp
A5YKK6	A5YKK6	CNOT1	CNOT1	exp;ortho
A8MYZ6	A8MYZ6	FOXO6	FOXO6	exp
O00139	O00139	KIF2A	KIF2A	exp;ortho
O00141	O00141	SGK1	SGK1	exp
O00148	O00148	DDX39A	DDX39A	exp;pred
O00161	O00161	SNAP23	SNAP23	exp
O00161	O00186	SNAP23	STXBP3	exp;ortho;pred
O00194	O00194	RAB27B	RAB27B	exp;pred
O00206	O00206	TLR4	TLR4	exp;ortho
O00214	O00214	LGALS8	LGALS8	exp;pred
O00221	O00221	NFKBIE	NFKBIE	exp
O00231	O00232	PSMD11	PSMD12	exp;ortho;pred
O00232	O00232	PSMD12	PSMD12	exp;ortho
O00231	O00233	PSMD11	PSMD9	exp;pred
O00232	O00233	PSMD12	PSMD9	exp;pred
O00244	O00244	ATOX1	ATOX1	exp;pred
O00255	O00255	MEN1	MEN1	exp
O00257	O00257	CBX4	CBX4	exp
O00273	O00273	DFFA	DFFA	exp
O00291	O00291	HIP1	HIP1	exp
O00299	O00299	CLIC1	CLIC1	exp
O00141	O00303	SGK1	EIF3F	exp
O00165	O00303	HAX1	EIF3F	exp
O00139	O00303	KIF2A	EIF3F	exp
B5ME19	O00303	EIF3CL	EIF3F	exp
O00322	O00322	UPK1A	UPK1A	exp
O00233	O00327	PSMD9	ARNTL	exp
O00329	O00329	PIK3CD	PIK3CD	exp
O00299	O00400	CLIC1	SLC33A1	exp
O00165	O00400	HAX1	SLC33A1	exp
O00429	O00429	DNM1L	DNM1L	exp;ortho
O00303	O00429	EIF3F	DNM1L	exp
O00165	O00429	HAX1	DNM1L	exp
O00329	O00459	PIK3CD	PIK3R2	exp;pred
O00463	O00463	TRAF5	TRAF5	exp
O00482	O00482	NR5A2	NR5A2	exp;pred
O00483	O00483	NDUFA4	NDUFA4	exp
O00233	O00487	PSMD9	PSMD14	exp;pred
