UniProt1	UniProt2	symbol1	symbol2	evidence type	adipose tissue	adrenal gland	amygdala	bone	bone marrow	brain	dorsal root ganglia	heart	hypothalamus	kidney	liver	lung	lymph nodes	mammary gland	ovary	pancreas	pituitary gland	placenta	prostate	salivary gland	skeletal muscle	small intestine	spleen	stomach	testes	uterus	telencephalon	metencephalon	myelencephalon	mesencephalon	diencephalon	synovial macrophages	chondrocytes	growth plate cartilage	synovial membrane	articular cartilage
O43524	Q00987	FOXO3	MDM2	exp;ortho;pred	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1
O43524	Q9BSB4	FOXO3	ATG101	exp	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1
O43524	Q9BXW9	FOXO3	FANCD2	exp;ortho	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1
O43524	Q14164	FOXO3	IKBKE	exp	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1
O43524	P11309	FOXO3	PIM1	exp	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1
O43524	P29353	FOXO3	SHC1	exp	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1
O43524	P38398	FOXO3	BRCA1	exp;pred	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
O43524	P01137	FOXO3	TGFB1	exp	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0
O43524	Q02790	FOXO3	FKBP4	exp	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
O43524	Q92793	FOXO3	CREBBP	exp;pred	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
O43524	Q00534	FOXO3	CDK6	exp	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1
O43524	P01106	FOXO3	MYC	exp;ortho;pred	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
O43524	P06400	FOXO3	RB1	exp	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
