UniProt1	UniProt2	symbol1	symbol2	evidence type
O43524	Q00987	FOXO3	MDM2	exp;ortho;pred
O43524	Q9BSB4	FOXO3	ATG101	exp
O43524	Q9BXW9	FOXO3	FANCD2	exp;ortho
O43524	Q14164	FOXO3	IKBKE	exp
O43524	P11309	FOXO3	PIM1	exp
O43524	P29353	FOXO3	SHC1	exp
O43524	P38398	FOXO3	BRCA1	exp;pred
O43524	P01137	FOXO3	TGFB1	exp
O43524	Q02790	FOXO3	FKBP4	exp
O43524	Q92793	FOXO3	CREBBP	exp;pred
O43524	Q00534	FOXO3	CDK6	exp
O43524	P01106	FOXO3	MYC	exp;ortho;pred
O43524	P06400	FOXO3	RB1	exp
O43524	Q13309	FOXO3	SKP2	exp
O43524	Q09472	FOXO3	EP300	exp;ortho;pred
O43524	Q9H211	FOXO3	CDT1	exp
O43524	Q9Y4A5	FOXO3	TRRAP	exp;pred
O43524	P67775	FOXO3	PPP2CA	exp
O43524	P04637	FOXO3	TP53	exp
O43524	P62258	FOXO3	YWHAE	exp;pred
O43524	P30260	FOXO3	CDC27	exp
O43524	P28482	FOXO3	MAPK1	exp
O43524	P04179	FOXO3	SOD2	exp
O43524	P63104	FOXO3	YWHAZ	exp;pred
O43524	Q08050	FOXO3	FOXM1	exp;pred
O43524	Q15717	FOXO3	ELAVL1	exp
O43524	P03372	FOXO3	ESR1	exp;pred
O43524	P55316	FOXO3	FOXG1	exp;pred
O43524	Q16589	FOXO3	CCNG2	exp
O43524	Q15796	FOXO3	SMAD2	exp;pred
O43524	Q15797	FOXO3	SMAD1	exp;pred
O43524	P11473	FOXO3	VDR	exp
O43524	Q13620	FOXO3	CUL4B	exp
O43524	P28749	FOXO3	RBL1	exp
O43524	Q9Y297	FOXO3	BTRC	exp;pred
O43524	Q15257	FOXO3	PTPA	exp
O43524	P38936	FOXO3	CDKN1A	exp
O43524	P31749	FOXO3	AKT1	exp;ortho;pred
O43524	P00533	FOXO3	EGFR	exp;pred
O43524	P12004	FOXO3	PCNA	exp
O43524	Q16665	FOXO3	HIF1A	exp;ortho;pred
O43524	Q13485	FOXO3	SMAD4	exp;pred
O43524	P48023	FOXO3	FASLG	exp
O43524	P27348	FOXO3	YWHAQ	exp;pred
O43524	Q9Y5Z7	FOXO3	HCFC2	exp
O43524	Q96EB6	FOXO3	SIRT1	exp;pred
O43524	P30154	FOXO3	PPP2R1B	exp
O43524	Q92974	FOXO3	ARHGEF2	exp;pred
O43524	Q13043	FOXO3	STK4	exp
O43524	P51610	FOXO3	HCFC1	exp
O43524	P62714	FOXO3	PPP2CB	exp
O43524	P42224	FOXO3	STAT1	exp
O43524	P85037	FOXO3	FOXK1	exp;pred
O43524	Q96T60	FOXO3	PNKP	exp
O43524	Q9Y4H2	FOXO3	IRS2	exp;pred
O43524	P84022	FOXO3	SMAD3	exp;ortho;pred
O43524	P50591	FOXO3	TNFSF10	exp
O43524	Q13315	FOXO3	ATM	exp
O43524	O75943	FOXO3	RAD17	exp
O43524	Q96RT1	FOXO3	ERBIN	exp
O43524	P55055	FOXO3	NR1H2	exp
O43524	P16104	FOXO3	H2AFX	exp
