Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cytokine-mediated signaling pathway (GO:0019221)	30/633	2.2710954497898353E-20	1.158940008027753E-16	0	0	8.77654906090925	396.9759484622653	IRS1;IRS2;FOXO3;PTGS2;TNF;CX3CL1;RELA;ICAM1;CASP3;LEPR;HMOX1;TIMP1;TGFB1;CCL20;MMP2;PRKCD;SOD2;MMP9;SIRT1;TNFRSF1A;SOD1;VEGFA;IL6;IFNG;IL1B;LEP;BCL2;FAS;TP53;BCL2L1
glucose homeostasis (GO:0042593)	15/74	4.9450462877084585E-20	1.2617285603088133E-16	0	0	37.53753753753754	1668.6680005383926	CAV3;IRS1;INSR;PAX6;SLC2A4;IGF1;SIRT1;GCK;HK1;NEUROD1;LEPR;PDK4;PPARG;PCK1;PPARGC1A
positive regulation of intracellular signal transduction (GO:1902533)	24/479	7.189655545650903E-17	1.2229604083152187E-13	0	0	9.278589654372535	344.89727040346384	TGFB1;NCF1;IRS1;CAV1;INSR;IRS2;IGF1;TNF;ADRA1A;SIRT1;RELA;AGT;TNFRSF1A;VEGFA;IL6;ADRB3;LEP;BCL2;HMOX1;FAS;BAX;IAPP;TP53;BCL2L1
carbohydrate homeostasis (GO:0033500)	12/63	6.955680546691841E-16	8.873709457442116E-13	0	0	35.273368606701936	1231.1041558139218	NEUROD1;CAV3;IRS1;INSR;LEPR;PDK4;PAX6;PPARG;SLC2A4;IGF1;PCK1;GCK
cellular response to oxidative stress (GO:0034599)	14/115	1.7029815599084156E-15	1.738062980042529E-12	0	0	22.544283413848632	766.6498252787519	GPX1;NCF1;PRKCD;GSR;CYBB;CYBA;FOXO3;SOD2;MMP9;SOD1;CAT;HMOX1;TP53;PPARGC1A
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	12/76	7.632653319483752E-15	6.491571648220931E-12	0	0	29.23976608187134	950.4778029757506	GPX1;NOS3;IL1B;SERPINE1;BCL2;HMOX1;FAS;IGF1;TNF;RELA;ICAM1;BCL2L1
negative regulation of apoptotic process (GO:0043066)	22/485	1.2827818236459534E-14	9.351479494379E-12	0	0	8.400152730049637	268.6970317732539	GPX1;CAV1;INSR;PRKCD;PRKCA;IGF1;SOD2;MPO;MMP9;SIRT1;RELA;SOD1;VEGFA;IL6;CASP3;CAT;PDK4;BCL2;FAS;TP53;PPARGC1A;BCL2L1
positive regulation of MAPK cascade (GO:0043410)	18/289	1.923851576411285E-14	1.2271768243033485E-11	0	0	11.534025374855823	364.26599879914863	EDN1;TGFB1;CCL20;INSR;PRKCA;IGF1;TNF;ADRA1A;CX3CL1;ICAM1;TNFRSF1A;VEGFA;IL6;ADRB3;LEP;FAS;IAPP;FGF21
cellular response to cytokine stimulus (GO:0071345)	21/456	4.1140278967555826E-14	2.3326538174604153E-11	0	0	8.528265107212475	262.85638536602795	TGFB1;CCL20;MMP2;FOXO3;PTGS2;TNF;MMP9;SIRT1;CX3CL1;RELA;ICAM1;TNFRSF1A;VEGFA;IL6;CASP3;IL1B;BCL2;HMOX1;TIMP1;TP53;BCL2L1
positive regulation of protein phosphorylation (GO:0001934)	20/412	6.675582729535251E-14	3.406549866881839E-11	0	0	8.989572096368212	272.72325423530987	TGFB1;CAV1;INSR;IGF1;TNF;ADRA1A;MMP9;SIRT1;AGT;TNFRSF1A;VEGFA;IL6;ADRB3;IFNG;IL1B;LEP;FAS;IAPP;S1PR2;TP53
response to insulin (GO:0032868)	11/71	1.3205343057635935E-13	6.126078693010562E-11	0	0	28.69066249347939	850.8379435274884	PKLR;IRS1;INSR;LEP;IRS2;PPARG;SLC2A4;IGF1;PCK1;SIRT1;GCK
positive regulation of transcription, DNA-templated (GO:0045893)	29/1120	8.153157136214087E-13	3.4671300721750406E-10	0	0	4.794973544973545	133.4690523085557	NCF1;SERPINE1;FOXO3;TNF;RELA;SLC9A1;NEUROD1;NKX6-1;PPARGC1A;MAP3K5;YWHAH;ESRRA;SREBF1;EDN1;TGFB1;PDX1;PAX6;IGF1;SIRT1;AGT;TNFRSF1A;VEGFA;IL6;IL1B;PPARG;PPARA;TP53;PFKM;ATF3
response to hydrogen peroxide (GO:0042542)	9/43	1.3449645066585221E-12	5.279502982675722E-10	0	0	38.75968992248062	1059.4826935009462	IL6;GPX1;PRKCD;CAT;HMOX1;SIRT1;RELA;MAP3K5;SOD1
positive regulation of cellular biosynthetic process (GO:0031328)	13/159	3.3130590822347445E-12	1.2076100354745645E-9	0	0	15.140927090612623	400.2223841964814	SREBF1;EDN1;IRS1;INSR;IRS2;IGF1;PTGS2;TNF;GCK;IL6;IFNG;IL1B;PPARGC1A
regulation of insulin secretion (GO:0050796)	11/98	5.122952168784741E-12	1.7428283278205688E-9	0	0	20.786092214663643	540.3820724175458	NEUROD1;SNAP25;IFNG;KCNJ11;IRS1;IL1B;SLC2A2;IRS2;PRKCA;TNF;GCK
regulation of lipid metabolic process (GO:0019216)	11/100	6.418124479253833E-12	2.0469805761020193E-9	0	0	20.37037037037037	524.9830499241561	CPT1A;IRS1;ACSL1;ACOX1;CAV1;IL1B;CYP1A1;IRS2;PPARG;PPARA;AGT
regulation of apoptotic process (GO:0042981)	24/815	7.886088445908778E-12	2.3672181964395585E-9	0	0	5.453306066802999	139.41879135637723	TGFB1;INSR;IGF1;FOXO3;MPO;TNF;MMP9;SIRT1;RELA;TNFRSF1A;SOD1;VEGFA;NEUROD1;IL6;AIFM1;CASP3;CAT;BCL2;FAS;BAX;IAPP;TP53;MAP3K5;BCL2L1
positive regulation of cell proliferation (GO:0008284)	18/424	1.2670247466649998E-11	3.5920151567952745E-9	0	0	7.861635220125785	197.2623002365202	EDN1;TGFB1;IRS1;INSR;IRS2;IGF1;TNF;SIRT1;RELA;AGT;VEGFA;IL6;IFNG;IL1B;S100A6;HMOX1;TIMP1;S1PR2
regulation of protein secretion (GO:0050708)	11/107	1.3609403811940433E-11	3.6551993501227385E-9	0	0	19.03772931810315	476.3289393546129	NEUROD1;SNAP25;TGFB1;IFNG;KCNJ11;IL1B;SLC2A2;PRKCA;IGF1;TNF;GCK
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	24/848	1.805051133640027E-11	4.605587967482529E-9	0	0	5.2410901467505235	129.65328670159573	ESRRA;SREBF1;EDN1;TGFB1;SERPINE1;PDX1;PAX6;IGF1;FOXO3;TNF;SIRT1;RELA;SLC9A1;TNFRSF1A;VEGFA;NEUROD1;IL6;PPARG;NKX6-1;PPARA;TP53;PPARGC1A;PFKM;ATF3
cellular response to peptide hormone stimulus (GO:0071375)	11/110	1.8477186062121672E-11	4.489956213095566E-9	0	0	18.51851851851852	457.6756357532385	PKLR;IRS1;CAV1;INSR;PRKCD;IRS2;PPARG;SLC2A4;PCK1;RELA;GCK
regulation of MAPK cascade (GO:0043408)	13/203	7.297177793156768E-11	1.6926135581126815E-8	0	0	11.859149790184274	276.803802765646	TGFB1;CAV3;CAV1;INSR;IGF1;ADRA1A;TNFRSF1A;IL6;ADRB3;IL1B;LEP;FAS;IAPP
extrinsic apoptotic signaling pathway (GO:0097191)	9/67	9.162031202909426E-11	2.0327758794976867E-8	0	0	24.87562189054726	574.9594060146316	TGFB1;IFNG;CASP3;BCL2;FAS;BAX;TNF;TNFRSF1A;BCL2L1
positive regulation of reactive oxygen species biosynthetic process (GO:1903428)	7/30	2.0202838206720228E-10	4.2956284737038885E-8	0	0	43.20987654320987	964.5573485296219	EDN1;IFNG;INSR;IL1B;CYBA;PTGS2;TNF
regulation of peptide hormone secretion (GO:0090276)	9/73	2.0252766807507553E-10	4.133994760748442E-8	0	0	22.8310502283105	509.59234260835177	NEUROD1;SNAP25;IFNG;KCNJ11;IL1B;SLC2A2;PRKCA;TNF;GCK
