Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
mitochondrion (GO:0005739)	23/1026	4.716914283143337E-9	2.1037437702819286E-6	0	0	4.1513248140928445	79.58966015239646	CPT1A;GPX1;ACSL1;GSR;PRKCA;FOXO3;SOD2;CPT1B;SIRT1;HK1;TNFRSF1A;SOD1;AIFM1;CAT;UCP2;PDK4;BCL2;FAS;BAX;PCK1;TP53;S1PR4;BCL2L1
mitochondrial outer membrane (GO:0005741)	8/115	2.0390169722266914E-7	4.547007848065522E-5	0	0	12.88244766505636	198.4621943394703	CPT1A;GPAM;ACSL1;BCL2;BAX;FOXO3;CPT1B;BCL2L1
protein kinase complex (GO:1902911)	3/6	3.026530804929255E-6	4.4994424633281593E-4	0	0	92.59259259259258	1176.675328080178	IRS1;INSR;MAP3K5
secretory granule lumen (GO:0034774)	10/317	8.528931488529399E-6	9.509758609710279E-4	0	0	5.841803949059469	68.18580715870232	PCSK2;TGFB1;SERPINE1;PRKCD;CAT;TIMP2;IGF1;TIMP1;MPO;VEGFA
caveola (GO:0005901)	5/56	1.283307454865981E-5	0.001144710249740455	0	0	16.534391534391535	186.23486723845005	CAV3;IRS1;NOS3;CAV1;INSR
platelet alpha granule lumen (GO:0031093)	5/67	3.0953431956436826E-5	0.0023008717754284705	0	0	13.819789939192923	143.4912476210453	TGFB1;SERPINE1;TIMP1;IGF1;VEGFA
membrane raft (GO:0045121)	6/119	4.562413966899241E-5	0.0029069094703386596	0	0	9.337068160597573	93.32468349962126	CAV3;CAV1;FAS;TNF;SLC9A1;TNFRSF1A
platelet alpha granule (GO:0031091)	5/90	1.276706033085977E-4	0.007117636134454321	0	0	10.288065843621398	92.24338500629372	TGFB1;SERPINE1;TIMP1;IGF1;VEGFA
integral component of plasma membrane (GO:0005887)	19/1463	2.921093022146418E-4	0.01447563875419225	0	0	2.405002405002405	19.57282949274737	CHRM2;CAV3;KCNJ11;IRS1;CAV1;INSR;CYBB;ATP2A2;SLC2A2;TNF;ADRA1A;ICAM1;SLC9A1;TNFRSF1A;IL6;ADRB3;BDKRB1;FAS;S1PR4
tertiary granule (GO:0070820)	5/164	0.001971046178335233	0.08790865955375139	0	0	5.645889792231255	35.16932487691698	SNAP25;TIMP2;CYBB;CYBA;MMP9
mitochondrial envelope (GO:0005740)	3/69	0.00619594649887378	0.25121746713615506	0	0	8.051529790660226	40.932850171091225	AIFM1;BAX;SOD1
mitochondrial matrix (GO:0005759)	6/308	0.006549888974545435	0.24343754022060535	0	0	3.6075036075036073	18.13963629123274	GPX1;GSR;PDK4;FOXO3;SOD2;SOD1
nuclear transcription factor complex (GO:0044798)	3/71	0.006706660706920216	0.23009005194510893	0	0	7.824726134585289	39.16004781728708	NEUROD1;PPARG;PPARA
tertiary granule membrane (GO:0070821)	3/73	0.007241728254571402	0.23070077153848897	0	0	7.6103500761035	37.50300907059416	SNAP25;CYBB;CYBA
RNA polymerase II transcription factor complex (GO:0090575)	4/147	0.008320729945507851	0.24740303704643343	0	0	5.039052658100276	24.132049857204983	NEUROD1;PPARG;PPARA;TP53
