Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways in cancer	317/530	1.3279943267909213E-82	4.090222526516037E-80	0	0	2.7543781144239916	519.2782450816823	RB1;SPI1;ARAF;KEAP1;ELK1;CRKL;EDNRA;RASSF1;EDNRB;RPS6KA5;MYC;AKT2;AKT3;AKT1;IL12B;PRKACA;SKP2;SKP1;PRKCG;PRKCB;DAPK1;DAPK3;PRKCA;RUNX1;BCR;AR;AGTR1;TP53;CTBP1;EPAS1;PDGFB;LPAR1;PIK3R3;PIK3R2;PIK3R1;LPAR4;HIF1A;TERT;PLCG2;HMOX1;PLCG1;FADD;RALGDS;JAG2;GSTM4;STAT5A;STAT5B;CREBBP;JUN;GSTM1;JUP;GADD45B;GADD45A;FN1;IGF2;BRAF;IGF1;PTK2;GADD45G;LPAR6;CALM3;GRB2;CALM1;CALM2;RET;CDKN1A;CDKN1B;GLI1;BRCA2;GLI3;BBC3;GLI2;IKBKB;MECOM;HEY1;HEY2;RAC2;ELOB;ELOC;IKBKG;RAC1;JAK2;JAK3;HRAS;APPL1;JAK1;APC2;NCOA1;EDN1;IFNGR1;IFNGR2;NCOA3;NCOA4;FOS;F2;RHOA;KIT;RARA;PPARG;ARHGEF1;PLCB1;PPARD;PTGER4;FH;PTGER1;GSTP1;PTGER3;GNAI3;XIAP;CXCR4;PTGS2;ADCY7;ADCY6;EGFR;GNAI1;RELA;ADCY5;GNAI2;RXRB;NRAS;RXRA;CTNNA1;STAT6;BID;RXRG;RUNX1T1;NQO1;EGLN3;STAT1;CDKN2A;STAT3;VEGFB;MLH1;AGT;VEGFA;GSTA1;CTNNB1;FAS;ETS1;IGF1R;CCND3;FGF8;CCND2;CCND1;CDH1;PIM1;EP300;IL6R;PDGFRB;PDGFRA;MAP2K1;RALBP1;MAP2K2;IL4R;TPM3;F2R;MITF;PGF;RBX1;MSH6;MSH2;SMO;COL4A2;CCNE2;COL4A1;COL4A4;COL4A3;COL4A6;COL4A5;IL6ST;RAF1;NOTCH2;NOTCH1;MAX;NOTCH4;CUL2;CUL1;CSF2RB;PLD1;STK4;FOXO1;KNG1;HSP90B1;RASGRP3;BCL2L11;TPR;DVL1;ABL1;DVL2;DVL3;PMAIP1;FGF21;SMAD2;ZBTB17;SMAD4;TGFB1;SMAD3;TGFB3;ZBTB16;PTCH1;ESR1;NFKB1;ESR2;IL2;NFKB2;NFKBIA;BMP2;IL6;CXCL12;CDK6;SP1;CDK4;GNB2;GNAQ;CDK2;GNB1;MDM2;BCL2;GNAS;CYCS;IL7R;FGFR3;FGFR2;BCL2L1;NFE2L2;FGF10;ALK;ITGB1;GSK3B;HSP90AB1;CXCL8;FLT4;PTEN;PIK3CD;FASLG;PIK3CB;LAMC1;CASP9;CASP7;CASP8;CASP3;BDKRB2;BDKRB1;ITGAV;HSP90AA1;APAF1;CHUK;ITGA3;MMP1;DCC;PLEKHG5;MMP2;AXIN1;TRAF2;TRAF1;AXIN2;MMP9;TGFBR1;TGFBR2;TRAF4;PIK3CA;IFNG;TRAF3;TRAF6;TRAF5;BIRC5;ITGA6;BIRC7;SOS1;MET;CRK;BIRC2;BIRC3;CEBPA;HDAC2;ROCK1;HDAC1;LAMA4;LEF1;LAMA3;CAMK2A;IL2RG;CBL;LRP6;CDC42;GNA13;MAPK9;MAPK8;GNG2;GNA11;ERBB2;GNA12;E2F1;MAPK1;E2F3;HES1;BAK1;VHL;HES5;MAPK3;NTRK1;NOS2;EGF;BAD;TXNRD1;LAMB1;MTOR;PML;EPOR;MAPK10;RAD51;APC;RPS6KB1;IL2RA;RPS6KB2;BAX;KRAS
Viral carcinogenesis	159/201	6.782476328804444E-68	1.0445013546358844E-65	0	0	3.6428495331310287	563.4083692439559	RB1;ATF2;HDAC10;GTF2B;HDAC11;UBE3A;RBPJ;CDC20;CCND3;CCND2;CREB3L3;CCND1;CHEK1;EP300;PRKACA;SKP2;USP7;ACTN1;MRPS18B;HLA-B;HLA-C;SCRIB;ACTN4;HLA-A;SND1;CCNE2;MAPKAPK2;HIST1H2BF;TBPL1;HIST1H2BE;HIST1H2BH;HIST1H2BG;ATP6V0D1;IL6ST;HIST1H2BB;TP53;HIST1H2BA;HIST1H2BD;ATF4;HIST1H2BC;PXN;UBR4;PIK3R3;PIK3R2;PIK3R1;C3;PMAIP1;STAT5A;LYN;STAT5B;CREBBP;JUN;HIST1H4K;HIST1H4L;EIF2AK2;NFKB1;NFKB2;NFKBIA;HIST1H4A;DLG1;HIST1H4B;HNRNPK;SNW1;CDK6;CDK4;CDK2;REL;MDM2;CDK1;HIST1H4H;HIST1H4I;GRB2;HIST1H4J;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;YWHAE;CDKN1A;CDKN1B;DDX3X;YWHAB;TRADD;PIK3CD;PIK3CB;POLB;CASP8;YWHAQ;CASP3;RAC1;IKBKG;CCR4;HRAS;JAK3;YWHAG;JAK1;YWHAH;TBP;SYK;TRAF2;TRAF1;HIST2H2BF;YWHAZ;RHOA;DDB1;CCNA2;KAT2B;CREB3;KAT2A;CREB1;RBL1;PKM;PIK3CA;IRF3;TRAF3;HIST4H4;TRAF5;IRF7;IRF9;HIST1H2BN;HDAC4;GTF2A1;VAC14;HDAC5;HIST1H2BM;HDAC2;HIST1H2BO;HDAC3;HIST1H2BJ;HIST1H2BI;SRC;HDAC1;HIST1H2BL;SRF;HIST1H2BK;HDAC8;HDAC9;RELA;HDAC6;HDAC7;HIST2H4A;CDC42;NRAS;HIST2H4B;MAPK1;BAK1;MAPK3;RANBP1;GSN;CDKN2A;BAD;STAT3;GTF2H1;GTF2H4;PSMC1;DNAJA3;BAX;KRAS;LTBR
Apoptosis	115/143	9.155850123643899E-51	9.40000612694107E-49	0	0	3.7034114860502148	426.69761553895444	TNF;ACTB;ACTG1;TP53AIP1;AKT2;AKT3;CAPN2;TNFSF10;AKT1;CAPN1;MAP3K5;DAXX;MAP2K1;ENDOG;MAP2K2;TUBA4A;ERN1;DDIT3;RAF1;TP53;ATF4;DIABLO;ITPR1;PIK3R3;CSF2RB;ITPR3;PIK3R2;PIK3R1;BCL2L11;PMAIP1;RIPK1;FADD;MCL1;NGFR;JUN;GADD45B;GADD45A;TNFRSF10B;EIF2S1;NFKB1;GADD45G;NFKBIA;BCL2;CYCS;ATM;MAP3K14;TUBA8;BCL2L1;HRK;TRADD;PIK3CD;FASLG;PIK3CB;LMNB2;LMNB1;BBC3;CASP9;IKBKB;PIDD1;TUBA1C;CASP7;CASP8;TUBA1A;AIFM1;CASP6;CASP10;CASP3;CASP2;IKBKG;CTSD;HRAS;SPTAN1;CTSB;DFFA;PARP4;APAF1;CHUK;PARP1;PDPK1;TRAF2;TRAF1;FOS;TNFRSF1A;PIK3CA;BIRC5;BIRC6;BIRC7;BIRC2;BIRC3;BECN1;BCL2A1;BECN2;XIAP;RELA;TUBA3E;MAPK9;NRAS;TUBA3D;MAPK8;TUBA3C;LMNA;MAPK1;BAK1;BID;MAPK3;NTRK1;BAD;DAB2IP;GZMB;CFLAR;PTPN13;MAPK10;FAS;BAX;KRAS
Human T-cell leukemia virus 1 infection	145/219	1.0095864488436934E-45	7.773815656096439E-44	0	0	3.0490465421183726	315.90191989368986	RB1;ATF2;CRTC2;SPI1;TRRAP;CRTC1;ELK1;TNF;ETS1;ETS2;ICAM1;CDC20;ELK4;CCND3;ZFP36;CCND2;CREB3L3;KAT5;CCND1;PTTG1;CHEK2;MYC;AKT2;CHEK1;AKT3;CDC27;AKT1;EP300;PRKACA;MAP2K4;MAP2K1;MAP2K2;MSX2;IL1R1;IL1R2;HLA-B;HLA-C;HLA-A;CCNE2;TBPL1;VDAC2;VDAC1;TLN1;TP53;ATF4;PIK3R3;PIK3R2;PIK3R1;PPP3R1;TERT;STAT5A;SMAD2;STAT5B;EGR1;CREBBP;JUN;SMAD4;TGFB1;SMAD3;TGFB3;NFATC2;NFATC1;NFKB1;IL2;NFKB2;FOSL1;NFKBIA;DLG1;IL6;CDK4;CDK2;ATM;CALR;TCF3;MAP3K14;ATR;BCL2L1;NRP1;CD40;CDKN1A;ITGB2;PTEN;PIK3CD;PIK3CB;ITGAL;IKBKB;POLB;PPP3CA;PPP3CC;XPO1;IKBKG;HRAS;JAK3;JAK1;MMP7;TBP;CHUK;FOS;TGFBR1;TNFRSF1A;TGFBR2;CCNA2;KAT2B;CREB3;KAT2A;CREB1;PIK3CA;LCK;CANX;LTA;SLC25A5;SLC25A4;SLC25A6;VAC14;SRF;XIAP;GPS2;IL2RG;ADCY7;ADCY6;RELA;ADCY5;RELB;MAPK9;NRAS;MAPK8;E2F1;MAPK1;E2F3;MSX1;MAPK3;RANBP1;MAP3K3;RANBP3;CDKN2C;MAP3K1;CDKN2A;NFYB;MAPK10;IL2RA;BAX;KRAS;LTBR;RAN;MAD2L1
Hepatitis B	120/163	1.3124523738352934E-45	8.084706622825406E-44	0	0	3.390266263036633	350.3651404567823	RB1;ATF2;ARAF;TNF;ELK1;TBK1;CREB3L3;MYC;AKT2;AKT3;AKT1;EP300;MAP3K7;PRKCG;MAP2K3;MAP2K4;MAP2K1;TICAM2;MAP2K2;PRKCB;PRKCA;CCNE2;RAF1;TP53;ATF4;PIK3R3;PIK3R2;PIK3R1;IRAK1;FADD;MAP2K7;MAP2K6;SMAD2;STAT5A;STAT5B;CREBBP;SMAD4;JUN;TGFB1;SMAD3;TGFB3;NFATC2;NFATC1;BRAF;NFKB1;NFKBIA;MAVS;IL6;CDK2;BCL2;CYCS;TAB2;GRB2;TAB1;CDKN1A;CXCL8;DDX3X;YWHAB;PIK3CD;FASLG;PIK3CB;CASP9;IKBKB;CASP8;YWHAQ;CASP10;CASP3;IKBKG;JAK2;HRAS;JAK3;IKBKE;JAK1;APAF1;CHUK;DDX58;IRAK4;TYK2;FOS;MMP9;YWHAZ;TIRAP;TGFBR1;TGFBR2;CCNA2;DDB1;CREB3;CREB1;PIK3CA;IRF3;TRAF3;TRAF6;IRF7;BIRC5;SOS1;TLR4;TLR2;PCNA;SRC;RELA;MAPK9;NRAS;MAPK8;E2F1;PTK2B;MAPK1;STAT6;E2F3;BID;MAPK3;MAP3K1;BAD;STAT1;STAT3;MAPK14;MAPK10;MAPK11;FAS;BAX;KRAS
Epstein-Barr virus infection	136/201	1.3135420315020776E-44	6.742849095043999E-43	0	0	3.115896456011446	314.833346042022	RB1;RBPJ;TNF;ICAM1;PSMD8;PSMD6;CCND3;PSMD7;TBK1;CCND2;PSMD4;CCND1;MYC;AKT2;PSMD2;AKT3;PSMD3;AKT1;PSMD1;SKP2;MAP3K7;PDIA3;MAP2K3;MAP2K4;USP7;HLA-B;HLA-C;HLA-A;CCNE2;BTK;TP53;PSMD12;PSMD11;PSMD14;PSMD13;PIK3R3;PIK3R2;PIK3R1;BCL2L11;IRAK1;PLCG2;RIPK1;FADD;MAP2K7;MAP2K6;LYN;JUN;GADD45B;GADD45A;EIF2AK2;ISG15;NFKB1;GADD45G;NFKB2;NFKBIA;MAVS;IL6;SNW1;CDK6;CDK4;CDK2;MDM2;BCL2;CYCS;TAB2;CALR;TAB1;NFKBIE;MAP3K14;NFKBIB;CD40;CDKN1A;CDKN1B;TRADD;TNFAIP3;PIK3CD;PIK3CB;ITGAL;IKBKB;CASP9;CASP8;SIN3A;CASP3;BLNK;RAC1;IKBKG;JAK3;IKBKE;JAK1;CR2;SYK;APAF1;CHUK;DDX58;TRAF2;TYK2;IRAK4;NCOR2;CCNA2;PIK3CA;IRF3;TRAF3;TRAF6;TRAF5;IRF7;CD44;IRF9;TLR2;HDAC2;HDAC1;RELA;RELB;MAPK9;MAPK8;E2F1;E2F3;HES1;BAK1;BID;STAT1;STAT3;ADRM1;MAPK14;MAPK10;MAPK11;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;NEDD4;PSMC2;FAS;BAX;VIM;CD247
FoxO signaling pathway	104/132	1.8440184777996892E-44	8.113681302318632E-43	0	0	3.628269803724558	365.37328904053635	IRS1;ARAF;FBXO25;IRS4;IRS2;IGF1R;STK11;CCND2;CCND1;AKT2;AKT3;TNFSF10;AKT1;EP300;HOMER3;SKP2;USP7;PRKAB2;GABARAPL1;MAP2K1;MAP2K2;CSNK1E;ATG12;RAF1;FOXG1;AGAP2;FOXO6;PIK3R3;PIK3R2;FOXO4;PIK3R1;FOXO3;NLK;STK4;FOXO1;GABARAP;CCNB1;BCL2L11;PCK1;PCK2;SMAD2;PLK3;CREBBP;SMAD4;TGFB1;SMAD3;GADD45B;TGFB3;GADD45A;INSR;PLK1;BRAF;IGF1;GADD45G;IL6;BCL6;CDK2;MDM2;GRB2;ATM;IL7R;CDKN1A;CDKN1B;SETD7;PTEN;PRKAG1;PIK3CD;FASLG;SLC2A4;PIK3CB;GRM1;IKBKB;HRAS;CHUK;PDPK1;PRMT1;SIRT1;TGFBR1;TGFBR2;PIK3CA;CAT;SGK3;SGK1;SOS1;PRKAA1;PRKAA2;EGFR;INS;MAPK9;NRAS;MAPK8;S1PR1;MAPK1;S1PR4;MAPK3;EGF;BNIP3;STAT3;MAPK14;SOD2;MAPK10;MAPK11;CCNG2;KRAS
Human cytomegalovirus infection	144/225	9.136592472579071E-43	3.5175881019429424E-41	0	0	2.94727147133318	285.2925524221434	RB1;ATF2;ELK1;TNF;CRKL;TBK1;CREB3L3;CCND1;MYC;AKT2;AKT3;AKT1;PRKACA;IL6R;PRKCG;PDIA3;PDGFRA;MAP2K1;MAP2K2;IL1R1;PRKCB;HLA-B;HLA-C;TSC2;PRKCA;TSC1;HLA-A;RAF1;TP53;ATF4;PXN;ITPR1;PIK3R3;PIK3R2;ITPR3;PIK3R1;PPP3R1;EIF4EBP1;RIPK1;FADD;MAP2K6;NFATC2;NFATC1;PTK2;NFKB1;NFKBIA;GNAO1;IL6;CXCL12;CDK6;RHEB;SP1;CDK4;GNB2;GNAQ;GNB1;GNAS;MDM2;CYCS;CALM3;GRB2;CALR;CALM1;CALM2;GSK3B;CDKN1A;CXCL8;TRADD;ITGB3;PIK3CD;FASLG;PIK3CB;CX3CL1;IKBKB;CASP9;PPP3CA;AKAP13;PPP3CC;CASP8;CASP3;RAC2;ITGAV;RAC1;IKBKG;HRAS;JAK1;CHUK;TRAF2;RHOA;TNFRSF1A;CREB3;CREB1;PIK3CA;IRF3;IL1B;TRAF5;ARHGEF1;PLCB1;SOS1;CRK;PTGER4;ROCK1;PTGER1;SRC;PTGER3;GNAI3;CXCR4;PTGS2;ADCY7;ADCY6;GNAI1;RELA;EGFR;ADCY5;GNAI2;GNA13;NRAS;GNG2;GNA11;CCL5;CXCR2;GNA12;E2F1;CCL3;PTK2B;CCL2;MAPK1;E2F3;BAK1;BID;MAPK3;CDKN2A;STAT3;MAPK14;MTOR;VEGFA;MAPK11;RPS6KB1;RPS6KB2;CTNNB1;FAS;BAX;KRAS;BCAR1
Human papillomavirus infection	185/330	1.2069355342646199E-42	4.1304016061500327E-41	0	0	2.581653514188628	249.1824605860441	RB1;PATJ;PPP2R2A;UBE3A;RBPJ;TNF;CCND3;TBK1;CCND2;CREB3L3;PPP2R1B;CCND1;PPP2R1A;AKT2;AKT3;AKT1;EP300;PRKACA;PDGFRB;PRKCI;MAP2K1;MAP2K2;HLA-B;HLA-C;TSC2;SCRIB;TSC1;HLA-A;CCNE2;COL4A2;COL4A1;PARD3;COL4A4;COL4A3;COL4A6;TBPL1;COL4A5;ATP6V0D1;RAF1;TP53;ATP6V1A;NOTCH2;NOTCH1;NOTCH4;PXN;UBR4;PIK3R3;PIK3R2;PIK3R1;PSEN1;PRKCZ;FOXO1;SLC9A3R1;VTN;TERT;DVL1;EIF4EBP1;DVL2;DVL3;ATP6V0A4;FADD;ATP6V1C1;CREBBP;FN1;EIF2AK2;ISG15;PTK2;NFKB1;COL1A1;DLG1;COL1A2;CDK6;RHEB;CDK4;TADA3;CDK2;GNAS;MDM2;GRB2;ATM;ATR;ITGB1;GSK3B;CDKN1A;CDKN1B;ITGB5;ITGB4;TRADD;ITGB3;PTEN;PIK3CD;FASLG;PIK3CB;LAMC1;IKBKB;CASP8;HEY1;CASP3;HEY2;ITGB8;ITGAV;ITGB7;IKBKG;ITGB6;HRAS;IKBKE;JAK1;APC2;ATP6V0B;TBP;ITGA4;CHUK;ITGA3;AXIN1;PPP2R5B;PPP2R5A;TYK2;AXIN2;PPP2R5C;TUBG1;TNFRSF1A;CCNA2;CREB3;COL2A1;CREB1;RBL1;PKM;PIK3CA;IRF3;TRAF3;COL6A2;IRF1;COL6A1;COL6A3;ITGA6;ITGA5;SOS1;IRF9;ATP6V1B1;PTGER4;HDAC2;TNXB;HDAC1;LAMA4;LAMA3;PARD6G;PTGS2;THBS2;THBS1;RELA;EGFR;PPP2CA;CDC42;PPP2CB;NRAS;PARD6B;PARD6A;SPP1;E2F1;MAPK1;HES1;BAK1;HES2;HES5;MAPK3;BCAP31;CSNK1A1;STAT1;EGF;BAD;MX1;LAMB1;MPP5;MTOR;VEGFA;APC;RPS6KB1;PPP2R2B;PSMC1;RPS6KB2;CTNNB1;FAS;BAX;KRAS;CSNK1A1L
MAPK signaling pathway	171/295	3.960253345561497E-42	1.219758030432941E-40	0	0	2.6694037160909625	254.48030487385728	ATF2;CSF1;ARAF;IL1RAP;ELK1;TNF;CRKL;IGF1R;ELK4;RPS6KA6;RPS6KA5;FGF8;MYC;AKT2;RPS6KA2;AKT3;STMN1;RPS6KA1;KDR;AKT1;MAP3K8;PRKACA;MAP3K6;MAP3K7;MAP3K5;PRKCG;PDGFRB;MAP2K3;PDGFRA;MAP2K4;DAXX;MEF2C;MAP2K1;MAP2K2;IL1R1;PRKCB;PRKCA;MAPK8IP3;PGF;CDC25B;DDIT3;MAPKAPK2;MAPKAPK5;RAF1;TP53;ATF4;MAX;PDGFB;CACNA1C;NLK;STK4;RASGRP3;STK3;RAP1B;PPP3R1;RAP1A;RRAS;IRAK1;MAP2K7;MAP2K5;FGF21;MAP2K6;NGFR;HSPA8;JUN;JUND;TGFB1;GADD45B;GADD45A;TGFB3;BDNF;INSR;HSPA6;IGF2;NFATC1;BRAF;IGF1;HSPA2;NFKB1;GADD45G;NFKB2;NR4A1;PPP5C;NF1;GRB2;TAB2;TAB1;MAP3K14;FGFR3;FGFR2;FGF10;PTPRR;FLT1;TRADD;FLT4;RASGRF1;HSPB1;FASLG;ARRB1;ARRB2;ECSIT;AREG;IKBKB;PPP3CA;PPP3CC;MECOM;CASP3;RAC2;RAC1;IKBKG;HRAS;MAP4K1;DUSP3;CHUK;PLA2G4B;PLA2G4A;TRAF2;FOS;IRAK4;TGFBR1;TNFRSF1A;TGFBR2;PPM1A;PPM1B;MRAS;IL1B;TRAF6;RASA1;KIT;MAPT;SOS1;MET;CRK;SRF;RELA;EGFR;RELB;INS;CDC42;MAPK9;NRAS;PAK1;MAPK8;MAPK7;ERBB3;ERBB4;MKNK1;ERBB2;GNA12;FLNA;MAPK1;FLNC;PAK2;MAP4K4;MAPK3;MAP3K2;NTRK1;MAP3K3;MAP3K1;ANGPT2;HSPA1L;EGF;VEGFB;MAPK14;VEGFA;MAPK10;MAPK11;FAS;KRAS;HSPA1B;HSPA1A
