Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA binding (GO:0003723)	40/1387	8.41258034978723E-10	9.682879982605103E-7	0	0	2.898414205128019	60.565618818758566	SRP19;HSP90AB1;RBM8A;EIF4A3;PEBP1;EPRS;CCAR2;HSP90B1;TIAL1;STIP1;GANAB;PSMD4;TRIM28;TPR;H1FX;SPTBN1;EIF5A;DARS;CPSF7;SSB;MDH2;API5;NSUN2;PABPC4;TBCA;HSPE1;HNRNPAB;SND1;NAP1L4;PSMA6;H1F0;LACTB2;FUBP1;UBA1;PFN1;ALDOA;EIF3D;KPNB1;NOP10;AARS
cadherin binding (GO:0045296)	16/313	1.0440819924828309E-7	6.008691866738692E-5	0	0	5.137508629409026	82.58523352979995	NUDC;HSP90AB1;PRDX6;SND1;PSMB6;PCMT1;KLC2;KIF5B;RUVBL1;TAGLN2;H1FX;CCT8;PFN1;ALDOA;SPTBN1;S100A11
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	9/88	2.3126787305138943E-7	8.872977396071642E-5	0	0	10.27866605756053	157.05482248975184	LDHC;LDHB;HIBADH;SPR;MDH2;IMPDH2;AKR1A1;SORD;LDHAL6B
aldo-keto reductase (NADP) activity (GO:0004033)	5/20	1.2733069803820937E-6	3.6639408360494743E-4	0	0	25.125628140703515	341.05259096138366	SPR;AKR1B15;AKR1A1;AKR1B1;AKR1C2
alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	4/12	4.4222155484694755E-6	0.0010179940192576733	0	0	33.50083752093802	413.0274617136117	AKR1B15;AKR1A1;AKR1B1;AKR1C2
transition metal ion binding (GO:0046914)	15/399	1.172794720783866E-5	0.00224981120603705	0	0	3.7782899459704535	42.89695059586701	CUTA;PDXK;GLO1;COX17;TIMM13;SORD;EPRS;CRIP1;ATOX1;SOD1;TRIM28;LACTB2;ALB;RGN;KPNB1
protein homodimerization activity (GO:0042803)	19/664	3.7677335497723656E-5	0.006195230451125704	0	0	2.8758249076708844	29.294451878329244	TPD52;PDXK;ACOT7;HSP90AB1;PDCD6IP;RPE;ASNS;EPRS;PRDX6;SOD1;GSTZ1;NFS1;OXCT1;TPR;PSAP;BANF1;DNM1L;CRYAB;S100A11
alcohol dehydrogenase (NADP+) activity (GO:0008106)	4/20	4.0664724469505825E-5	0.005850637233050151	0	0	20.100502512562816	203.21908667308946	AKR1B15;AKR1A1;AKR1B1;AKR1C2
copper ion binding (GO:0005507)	5/41	5.1944963876760514E-5	0.006643183713572373	0	0	12.256403971074885	120.91341814996	CUTA;COX17;ALB;ATOX1;SOD1
intramolecular transferase activity, phosphotransferases (GO:0016868)	3/11	1.5095012783525785E-4	0.01737435971383818	0	0	27.409776153494743	241.1665889887689	PGAM1;PGM5;PGM1
zinc ion binding (GO:0008270)	11/302	2.3086503187128084E-4	0.024156877425804024	0	0	3.660687543678658	30.653416171566207	PDXK;TRIM28;LACTB2;GLO1;RGN;TIMM13;SORD;EPRS;CRIP1;KPNB1;SOD1
poly(A) binding (GO:0008143)	3/14	3.257468651570267E-4	0.03124455348297815	0	0	21.536252692031585	172.92297125918856	PABPC4;EIF4A3;PABPC3
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	4/38	5.386341141382432E-4	0.047689835797932144	0	0	10.57921184871727	79.6241633541546	FKBP1B;PPIF;FKBP7;PPIL3
aminoacyl-tRNA ligase activity (GO:0004812)	4/41	7.219928526819888E-4	0.05935812667406922	0	0	9.80512317685991	70.92531259666991	DARS;LARS;EPRS;AARS
