Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cytosolic ribosome (GO:0022626)	37/124	6.62109083375596E-54	2.9530065118551585E-51	0	0	49.320181284990674	6039.223394843068	RPL4;RPL5;RPL30;RPL31;RPL12;RPL11;RPL8;RPS4Y1;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPS18;RPL36;RPS3;RPLP2;RPL18;RPL17;RPS13;RPL19;RPS9;RPS8;RPL22;RPS6;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPL27A;RPS26P11;RPL24;RPL27;RPL26L1;RPS23
cytosolic part (GO:0044445)	38/159	3.266814721433419E-51	7.284996828796525E-49	0	0	39.50309267633453	4592.156478304936	RPL4;RPL5;RPL30;RPL31;RPL12;RPL11;RPL8;RPS4Y1;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPS18;RPL36;RPS3;RPLP2;RPL18;RPL17;RPS13;RPL19;CCT3;RPS9;RPS8;RPL22;RPS6;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPL27A;RPS26P11;RPL24;RPL27;RPL26L1;RPS23
cytosolic large ribosomal subunit (GO:0022625)	22/69	9.822242856017102E-33	1.4602401045945425E-30	0	0	52.700922266139656	3884.0926785650913	RPL4;RPL5;RPL30;RPL31;RPL12;RPL22;RPL11;RPL13A;RPL35A;RPL23A;RPL8;RPL6;RPL7A;RPL27A;RPL36;RPLP2;RPL24;RPL27;RPL18;RPL17;RPL26L1;RPL19
large ribosomal subunit (GO:0015934)	22/72	2.9466157939190705E-32	3.285476610219764E-30	0	0	50.50505050505051	3666.7709925497056	RPL4;RPL5;RPL30;RPL31;RPL12;RPL22;RPL11;RPL13A;RPL35A;RPL23A;RPL8;RPL6;RPL7A;RPL27A;RPL36;RPLP2;RPL24;RPL27;RPL18;RPL17;RPL26L1;RPL19
ribosome (GO:0005840)	21/76	9.312531868615733E-30	8.306778426805235E-28	0	0	45.67203131796434	3053.001364644965	RPL30;RPS9;RPL31;RPL12;RPL11;RPL13A;RPL8;RPL6;RPS4X;RPL7A;RPS25;RPS28;RPS18;RPL36;RPS3;RPL24;RPL27;RPL18;RPS13;RPL19;RPS23
focal adhesion (GO:0005925)	30/356	4.9968513393874614E-26	3.714326162278013E-24	0	0	13.928869904355093	811.473736222929	RPL4;RPL5;RPL30;RPL31;RPL12;TWF1;RPL8;RPL6;ICAM1;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPS18;RPS3;RPLP2;RPL18;RPS13;GIT1;RPL19;GIT2;RPS9;NPM1;RPS8;RPL22;RPL13A;RPL27;PABPC1;ARHGEF7
cytosolic small ribosomal subunit (GO:0022627)	15/49	2.8774556583203616E-22	1.8333503194441163E-20	0	0	50.5987518974532	2509.6963532214672	RPS9;RPS8;RPS6;RPS4Y1;RPS15;RPS4X;RPS14;RPS25;RPS28;RPS16;RPS18;RPS3;RPS26P11;RPS13;RPS23
small ribosomal subunit (GO:0015935)	15/53	1.119003786854145E-21	6.238446111711857E-20	0	0	46.77997816934352	2256.7526028103653	RPS9;RPS8;RPS6;RPS4Y1;RPS4X;RPS15;RPS14;RPS25;RPS28;RPS16;RPS18;RPS3;RPS26P11;RPS13;RPS23
polysome (GO:0005844)	15/63	2.0803582006565348E-20	1.030933063880905E-18	0	0	39.354584809130266	1783.5167953223277	RPL30;RPL31;RPL11;RPL8;RPS4Y1;RPL6;RPS4X;RPL7A;RPS28;RPL36;RPS3;RPL24;RPL18;RPL19;RPS23
polysomal ribosome (GO:0042788)	12/28	3.84969591961255E-20	1.7169643801471973E-18	0	0	70.83825265643448	3166.732540492511	RPL7A;RPL30;RPS28;RPL31;RPL11;RPL36;RPL24;RPL8;RPL18;RPL6;RPL19;RPS23
nucleolus (GO:0005730)	22/676	1.0279070812867157E-10	4.167695984126138E-9	0	0	5.3792361484669176	123.71342740638032	RPL4;DDX17;RPL5;RPS9;NPM1;RPS6;RPL11;RPL13A;RPL23A;ILF2;RPS14;RPS25;RPL7A;IFI16;TCOF1;RPL36;RPS3;WDFY3;ANP32B;RPL18;RPS13;EIF3A
spliceosomal tri-snRNP complex (GO:0097526)	6/31	2.8154294985862597E-8	1.0464012969745598E-6	0	0	31.99146894161557	556.1897921305099	SART3;SNRPD1;SNRPD3;PRPF8;LSM3;SNRPB
spliceosomal snRNP complex (GO:0097525)	7/59	6.546663694278662E-8	2.2460092366525256E-6	0	0	19.61058971844796	324.39298581334947	SART3;SNRPD1;SNRPA1;SNRPD3;PRPF8;LSM3;SNRPB
spliceosomal complex (GO:0005681)	8/114	4.581088188440694E-7	1.4594038086032498E-5	0	0	11.599246049006814	169.30444060112177	SNRPD1;HNRNPA2B1;SNRPA1;SNRPD3;YBX1;HNRNPA1;LSM3;SNRPB
U2-type catalytic step 2 spliceosome (GO:0071007)	5/29	7.885015137720785E-7	2.3444778342823134E-5	0	0	28.498147620404676	400.4882163218228	SNRPD1;SNRPA1;SNRPD3;PRPF8;SNRPB
small nuclear ribonucleoprotein complex (GO:0030532)	4/19	4.604961763246545E-6	1.2836330915049746E-4	0	0	34.79773814702044	427.6076969675109	SNRPD1;SNRPA1;SNRPD3;SNRPB
U2 snRNP (GO:0005686)	4/21	7.044384129390134E-6	1.8481148951223527E-4	0	0	31.48366784730421	373.4995619352357	SNRPD1;SNRPA1;SNRPD3;SNRPB
ribonucleoprotein granule (GO:0035770)	6/80	9.026721579321295E-6	2.2366210135429433E-4	0	0	12.396694214876034	143.99158655238318	RPS4X;TUBB;RPS6;HNRNPU;PABPC1;RPL6
cytoplasmic ribonucleoprotein granule (GO:0036464)	8/170	9.197889130001679E-6	2.1590834484109202E-4	0	0	7.778317938745746	90.20154821683099	RPS4X;TUBB;RPS6;HNRNPU;YBX1;PABPC1;RPL6;LSM3
U5 snRNP (GO:0005682)	4/23	1.0325356922156815E-5	2.3025545936409698E-4	0	0	28.74595759971254	330.0296902905574	SNRPD1;SNRPD3;PRPF8;SNRPB
U4/U6 x U5 tri-snRNP complex (GO:0046540)	4/25	1.461321391611594E-5	3.10356828885129E-4	0	0	26.446280991735538	294.44190084825516	SART3;PRPF8;LSM3;SNRPB
U12-type spliceosomal complex (GO:0005689)	4/27	2.0085015291531213E-5	4.0717803727376915E-4	0	0	24.487297214569942	264.8432575160687	SNRPD1;YBX1;SNRPD3;SNRPB
U2-type spliceosomal complex (GO:0005684)	5/60	3.1224041203930185E-5	6.054748859544723E-4	0	0	13.774104683195592	142.89700011657214	SNRPD1;SNRPA1;SNRPD3;PRPF8;SNRPB
U4 snRNP (GO:0005687)	3/12	4.5663741994235523E-5	8.485845387262101E-4	0	0	41.32231404958678	412.9837176354136	SNRPD1;SNRPD3;SNRPB
methylosome (GO:0034709)	3/12	4.5663741994235523E-5	8.146411571771616E-4	0	0	41.32231404958678	412.9837176354136	SNRPD1;SNRPD3;SNRPB
U1 snRNP (GO:0005685)	3/21	2.652947089157992E-4	0.004550824622171016	0	0	23.612750885478157	194.44319340725082	SNRPD1;SNRPD3;SNRPB
microtubule (GO:0005874)	7/210	2.924560832996856E-4	0.004830941227839251	0	0	5.509641873278237	44.833036061322666	TUBB8;CCT3;ARFGEF2;TUBB6;TUBB;TUBE1;TUBA4A
telomerase holoenzyme complex (GO:0005697)	3/22	3.0583053303929634E-4	0.0048714434905545055	0	0	22.53944402704733	182.39998699519964	HNRNPU;SNRPD3;SNRPB
prespliceosome (GO:0071010)	3/23	3.501566125831892E-4	0.005385167214210427	0	0	21.559468199784405	171.55149203822808	SNRPD1;SNRPD3;SNRPB
polymeric cytoskeletal fiber (GO:0099513)	7/221	3.979293834486572E-4	0.005915883500603371	0	0	5.2354063049250215	40.989231501141845	TUBB8;CCT3;TUBB6;TUBB;TWF1;TUBE1;TUBA4A
microtubule cytoskeleton (GO:0015630)	9/388	5.932664992922105E-4	0.00853538253820406	0	0	3.8340291386214536	28.486326004088895	TUBB8;CCT3;MZT2B;ARFGEF2;TUBB6;CLIC4;TUBB;TUBE1;TUBA4A
U7 snRNP (GO:0005683)	2/7	7.473312832696021E-4	0.010415929760570078	0	0	47.22550177095631	339.9764810472656	SNRPD3;SNRPB
chromosome, telomeric region (GO:0000781)	5/124	9.466019536737765E-4	0.012793468828439526	0	0	6.664889362836577	46.40517113175825	PURA;ALYREF;HNRNPA2B1;HIST1H2BB;HIST1H2BA
commitment complex (GO:0000243)	2/8	9.924997219719256E-4	0.0130192610588082	0	0	41.32231404958678	285.7555299806616	SNRPD1;SNRPD3
precatalytic spliceosome (GO:0071011)	3/33	0.001032241992393795	0.01315371224593236	0	0	15.026296018031555	103.32114426231824	SNRPD1;SNRPD3;LSM3
nuclear chromosome, telomeric region (GO:0000784)	4/107	0.004073441057251037	0.05046540865372118	0	0	6.17903761489148	34.004894836628395	PURA;ALYREF;HIST1H2BB;HIST1H2BA
nuclear body (GO:0016604)	10/618	0.004332672729274816	0.05222627127720454	0	0	2.674583433630212	14.553934763969016	DDX17;SART3;IFI16;HNRNPA2B1;HNRNPU;SRSF3;WDFY3;SNRPA1;EIF3E;SNRPD3
nuclear matrix (GO:0016363)	3/59	0.0054877430170301895	0.0644087733051438	0	0	8.404538450763413	43.74762473173696	CLIC4;HNRNPA2B1;HNRNPU
nuclear periphery (GO:0034399)	3/78	0.01182163965273476	0.1351910585928129	0	0	6.357279084551813	28.212482886962675	CLIC4;HNRNPA2B1;HNRNPU
Cajal body (GO:0015030)	2/34	0.017949188993111823	0.20013345727319684	0	0	9.722897423432183	39.088092819745256	SART3;HNRNPA2B1
cytoplasmic stress granule (GO:0010494)	2/41	0.025527647681208167	0.2776909967272888	0	0	8.062890546260835	29.574627626448763	YBX1;PABPC1
spindle (GO:0005819)	4/186	0.02654432105543833	0.281875409302988	0	0	3.5546076601795082	12.899455968684832	TUBB8;MZT2B;RPS3;HNRNPU
nuclear speck (GO:0016607)	5/296	0.03409925557930092	0.353680650892284	0	0	2.7920482465937013	9.432878393595013	DDX17;IFI16;HNRNPU;SRSF3;SNRPA1
axonemal microtubule (GO:0005879)	1/6	0.035759571272553185	0.3624720178990618	0	0	27.548209366391184	91.761358616288	ARFGEF2
sex chromosome (GO:0000803)	1/6	0.035759571272553185	0.3544170841679716	0	0	27.548209366391184	91.761358616288	HNRNPU
signal recognition particle, endoplasmic reticulum targeting (GO:0005786)	1/6	0.035759571272553185	0.3467123649469287	0	0	27.548209366391184	91.761358616288	SRP14
ruffle membrane (GO:0032587)	2/53	0.04094171477448502	0.38851074020043236	0	0	6.237330422579136	19.93204936574462	RPS3;TWF1
oxoglutarate dehydrogenase complex (GO:0045252)	1/7	0.04159496000931	0.38648650341983876	0	0	23.612750885478157	75.08326499827551	DHTKD1
U6 snRNP (GO:0005688)	1/8	0.047395325572656036	0.43139418786539985	0	0	20.66115702479339	63.000654375096616	LSM3
gamma-tubulin ring complex (GO:0008274)	1/8	0.047395325572656036	0.42276630410809185	0	0	20.66115702479339	63.000654375096616	MZT2B
gamma-tubulin large complex (GO:0000931)	1/8	0.047395325572656036	0.4144767687334234	0	0	20.66115702479339	63.000654375096616	MZT2B
signal recognition particle (GO:0048500)	1/9	0.05316087614918169	0.45595674543336606	0	0	18.365472910927455	53.892241761456866	SRP14
PML body (GO:0016605)	2/62	0.05425966438851837	0.45660019466564516	0	0	5.3319114902692615	15.537052290147164	WDFY3;EIF3E
lipid droplet (GO:0005811)	2/64	0.05740144901630701	0.474093449282832	0	0	5.1652892561983474	14.760773407999547	HSD3B7;CIDEA
mitotic spindle midzone (GO:1990023)	1/10	0.058891818780966686	0.4775591122965662	0	0	16.528925619834713	46.81079501033856	HNRNPU
spindle pole centrosome (GO:0031616)	1/11	0.06458835932221495	0.514400147459069	0	0	15.026296018031555	41.167859965160304	NPM1
actin-based cell projection (GO:0098858)	2/70	0.06719083160403039	0.5257387876385535	0	0	4.7225501770956315	12.751917238370224	CLIC4;TWF1
chaperonin-containing T-complex (GO:0005832)	1/13	0.07587905170686213	0.583483742435526	0	0	12.714558169103626	32.78594572494903	CCT3
mitotic spindle (GO:0072686)	2/84	0.0919208575837933	0.6948593641079968	0	0	3.9354584809130264	9.393259802477079	RPS3;HNRNPU
pericentriolar material (GO:0000242)	1/16	0.09256215333357878	0.6880453397796022	0	0	10.330578512396695	24.585484836525588	TUBE1
U2-type prespliceosome (GO:0071004)	1/18	0.10351792932446745	0.7568687947329915	0	0	9.182736455463727	20.82654225060825	SNRPB
secretory granule lumen (GO:0034774)	4/317	0.1262866180455433	0.9084488975534244	0	0	2.08566884792867	4.315668501616247	TUBB;FGG;SRP14;ILF2
contractile fiber (GO:0043292)	1/26	0.14604460436692562	1.0	0	0	6.357279084551813	12.230408102795797	TWF1
centrosome (GO:0005813)	5/461	0.1478337126425166	1.0	0	0	1.792725121457127	3.4270938135110787	MZT2B;CLIC4;NPM1;HNRNPU;TUBE1
myofibril (GO:0030016)	1/27	0.15121775194381218	1.0	0	0	6.1218243036424855	11.564336792730801	TWF1
rough endoplasmic reticulum (GO:0005791)	1/28	0.15635981878425023	1.0	0	0	5.903187721369539	10.953927963535666	RPL4
spindle midzone (GO:0051233)	1/30	0.166551449837356	1.0	0	0	5.509641873278237	9.875763136433164	HNRNPU
ficolin-1-rich granule lumen (GO:1904813)	2/123	0.17072310742058616	1.0	0	0	2.687630182086945	4.750956903151053	SRP14;ILF2
fibrillar center (GO:0001650)	2/131	0.188050013362674	1.0	0	0	2.5235000946312534	4.216888077740558	TCOF1;YBX2
microtubule organizing center (GO:0005815)	5/507	0.1935954724755489	1.0	0	0	1.6300715601414903	2.6765522199724865	MZT2B;ARFGEF2;CLIC4;NPM1;HNRNPU
cytoskeleton (GO:0005856)	5/520	0.20736349845288732	1.0	0	0	1.5893197711379532	2.5004481795351583	CCT3;CLIC4;TUBB;TWF1;TUBA4A
nuclear chromosome part (GO:0044454)	4/392	0.21364520935330159	1.0	0	0	1.6866250632484399	2.603202125174476	PURA;ALYREF;HIST1H2BB;HIST1H2BA
peroxisomal membrane (GO:0005778)	1/40	0.21570664652092617	1.0	0	0	4.132231404958678	6.338164927002905	PEX1
microvillus (GO:0005902)	1/42	0.22518701486270157	1.0	0	0	3.9354584809130264	5.867076130840645	CLIC4
nucleolar part (GO:0044452)	2/153	0.23671501164938746	1.0	0	0	2.1606438718738183	3.113268176743303	TCOF1;YBX2
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	1/47	0.24839362082756383	1.0	0	0	3.516792685071215	4.897979990508288	AREG
specific granule (GO:0042581)	2/160	0.25237495710386093	1.0	0	0	2.066115702479339	2.844709446940068	ITGAM;ILF2
spindle microtubule (GO:0005876)	1/49	0.257482053509444	1.0	0	0	3.3732501264968797	4.576843502837304	HNRNPU
tertiary granule (GO:0070820)	2/164	0.2613380104269716	1.0	0	0	2.015722636565209	2.704980145974614	ITGAM;ILF2
nuclear chromosome (GO:0000228)	1/52	0.2709107329107786	1.0	0	0	3.1786395422759064	4.151194886266277	HNRNPU
ER to Golgi transport vesicle membrane (GO:0012507)	1/54	0.27972909123089545	1.0	0	0	3.0609121518212428	3.8993990679267543	AREG
tertiary granule lumen (GO:1904724)	1/55	0.2840985210272574	1.0	0	0	3.005259203606311	3.7819209495207002	ILF2
actin filament (GO:0005884)	1/55	0.2840985210272574	1.0	0	0	3.005259203606311	3.7819209495207002	TWF1
mitochondrial matrix (GO:0005759)	3/308	0.2859900122733459	1.0	0	0	1.609960287646238	2.015345697477585	RPS3;NUDT13;DHTKD1
filopodium (GO:0030175)	1/60	0.30555446028764344	1.0	0	0	2.7548209366391183	3.2661907718383767	TWF1
ficolin-1-rich granule (GO:0101002)	2/184	0.3061048211106017	1.0	0	0	1.7966223499820337	2.1268912738744064	SRP14;ILF2
specific granule lumen (GO:0035580)	1/62	0.3139571606720469	1.0	0	0	2.6659557451346307	3.0885063539380937	ILF2
vacuole (GO:0005773)	1/62	0.3139571606720469	1.0	0	0	2.6659557451346307	3.0885063539380937	WDFY3
autophagosome (GO:0005776)	1/64	0.3222590195124884	1.0	0	0	2.5826446280991737	2.9245858687420165	WDFY3
platelet alpha granule lumen (GO:0031093)	1/67	0.3345253514355395	1.0	0	0	2.467003823855927	2.701474314150086	FGG
P-body (GO:0000932)	1/68	0.33856499921632244	1.0	0	0	2.430724355858046	2.632569722277615	LSM3
mitochondrial envelope (GO:0005740)	1/69	0.3425803263994981	1.0	0	0	2.3954964666427117	2.566173479803716	CIDEA
nuclear transcription factor complex (GO:0044798)	1/71	0.3505385990682962	1.0	0	0	2.3280176929344663	2.440424753442164	HNRNPU
bicellular tight junction (GO:0005923)	1/72	0.35448183233776254	1.0	0	0	2.295684113865932	2.3808498232732296	YBX3
tertiary granule membrane (GO:0070821)	1/73	0.35840132074136116	1.0	0	0	2.2642363862787276	2.323337286955524	ITGAM
peroxisomal part (GO:0044439)	1/75	0.3661696291941813	1.0	0	0	2.203856749311295	2.2141236037578134	PEX1
COPII-coated ER to Golgi transport vesicle (GO:0030134)	1/75	0.3661696291941813	1.0	0	0	2.203856749311295	2.2141236037578134	AREG
chromosomal region (GO:0098687)	1/76	0.3700187303761863	1.0	0	0	2.1748586341887775	2.1622480469482555	HNRNPA2B1
cytoplasmic vesicle (GO:0031410)	2/215	0.37432941112794665	1.0	0	0	1.537574476263694	1.5108500339163329	ARFGEF2;SGK3
perinuclear region of cytoplasm (GO:0048471)	3/378	0.40142444045512876	1.0	0	0	1.3118194936376755	1.1973448202069819	CLIC4;TWF1;YBX3
platelet alpha granule (GO:0031091)	1/90	0.4215338608619067	1.0	0	0	1.8365472910927458	1.5865108734157867	FGG
azurophil granule lumen (GO:0035578)	1/90	0.4215338608619067	1.0	0	0	1.8365472910927458	1.5865108734157867	TUBB
specific granule membrane (GO:0035579)	1/91	0.42504939409549203	1.0	0	0	1.8163654527290893	1.553991273108249	ITGAM
peroxisome (GO:0005777)	1/92	0.42854373766655623	1.0	0	0	1.7966223499820337	1.5223903603773352	PEX1
microbody (GO:0042579)	1/92	0.42854373766655623	1.0	0	0	1.7966223499820337	1.5223903603773352	PEX1
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	1/95	0.43890089349054695	1.0	0	0	1.7398869073510221	1.4327649352593521	AREG
chromosome (GO:0005694)	1/97	0.4457020181479102	1.0	0	0	1.7040129504984238	1.3770208247402174	HNRNPU
nucleoplasm part (GO:0044451)	3/407	0.44806875108921246	1.0	0	0	1.2183483257863423	0.9781005089713962	SNRPA1;EIF3E;SNRPD3
spindle pole (GO:0000922)	1/107	0.4785005058861098	1.0	0	0	1.54475940372287	1.138639083735904	NPM1
recycling endosome (GO:0055037)	1/119	0.5153268351108821	1.0	0	0	1.3889853462045976	0.9208333194366379	ARFGEF2
actin cytoskeleton (GO:0015629)	2/294	0.5332285529218026	1.0	0	0	1.1244167088322932	0.7070390082593252	CLIC4;TWF1
microtubule organizing center part (GO:0044450)	1/126	0.5356053407808691	1.0	0	0	1.3118194936376755	0.8190445935064171	TUBE1
cytoplasmic vesicle lumen (GO:0060205)	1/129	0.5440364035202533	1.0	0	0	1.2813120635530784	0.7799847730531871	SRP14
RNA polymerase II transcription factor complex (GO:0090575)	1/147	0.5915277215347744	1.0	0	0	1.1244167088322932	0.5903713163117494	HNRNPU
azurophil granule (GO:0042582)	1/154	0.6086416730062504	1.0	0	0	1.0733068584308254	0.5329242999971667	TUBB
vacuolar lumen (GO:0005775)	1/161	0.6250442691256907	1.0	0	0	1.0266413428468764	0.48245244202350906	TUBB
trans-Golgi network (GO:0005802)	1/185	0.676274305742887	1.0	0	0	0.8934554389099845	0.3494809091074611	ARFGEF2
dendrite (GO:0030425)	1/215	0.7306514613066845	1.0	0	0	0.768787238131847	0.24125983475250978	RPS6
