Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
I-kappaB kinase/NF-kappaB signaling (GO:0007249)	17/57	3.011617124198938E-19	1.5368282184787181E-15	0	0	23.48390661693604	1001.5097014658021	RIPK2;TRADD;NFKBIL1;DAB2IP;TNF;TNFRSF1A;NFKBIA;TBK1;SHARPIN;RIPK1;TAB2;RBCK1;TAB1;MAP3K7;MAP3K14;BIRC2;BIRC3
regulation of apoptotic process (GO:0042981)	47/815	1.9457271280492976E-18	4.964522767217783E-15	0	0	4.540843437515096	185.17966362307982	TRADD;FLT4;PIK3R1;BCL10;GATA1;TNF;STK3;PRDX3;GRK5;ARHGDIA;CASP3;TNFSF10;KDR;CASP2;RIPK1;FADD;RAC1;PAK2;LCMT1;MCL1;NGFR;PRELID1;DFFA;MAP2K2;CRADD;DAPK1;RIPK2;DAB2IP;TNFRSF10B;TNFRSF1B;TNFRSF1A;NFKBIA;LATS1;ITCH;MADD;NF1;BIRC5;BIRC7;HRG;SOS1;ATF6;SQSTM1;MAP3K14;MET;CD44;BIRC2;BIRC3
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	25/204	1.2335085550938841E-17	2.098198052214697E-14	0	0	9.649529102979775	375.69557654305805	TRADD;TNFAIP3;BCL10;TNF;TBK1;SHARPIN;TNFSF10;RIPK1;FADD;MAP3K7;RIPK2;DAB2IP;TNFRSF10B;RHOC;TNFRSF1A;NFKBIA;GPRC5B;TNIP1;TAB2;RBCK1;SQSTM1;MAP3K14;OPTN;BIRC2;BIRC3
cytokine-mediated signaling pathway (GO:0019221)	40/633	4.1275583876462454E-17	5.2657326130396974E-14	0	0	4.9756813573658745	187.71385124294568	TRADD;PIK3R1;TNF;CDC42;MUC1;CASP3;S1PR1;RIPK1;BTRC;PRKACA;PAK2;MAP3K7;MCL1;SOCS5;NGFR;HSPA8;POU2F1;SYK;RIPK2;TNFSF13;TNFRSF10B;TNFRSF1B;DCN;TNFRSF1A;NFKBIA;ADAM17;TOLLIP;TNFSF9;BIRC5;TAB2;PTPN6;TAB1;LTB;VIM;SOS1;SQSTM1;MAP3K14;CD44;BIRC2;BIRC3
positive regulation of intracellular signal transduction (GO:1902533)	33/479	2.541659675653772E-15	2.59401786497224E-12	0	0	5.424687258560321	182.3018182046753	BECN1;TRADD;FLT4;PIK3R1;BCL10;TNF;TBK1;SHARPIN;TNFSF10;KDR;RIPK1;FADD;ICOS;MAP3K7;NGFR;RIPK2;CAV1;DAB2IP;TNFRSF10B;RHOC;TNFRSF1B;DCN;TNFRSF1A;GPRC5B;RHEB;HCLS1;TAB2;PTPN6;RBCK1;MAP3K14;MET;BIRC2;BIRC3
regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803)	13/56	1.9124054583058925E-13	1.6265008422891613E-10	0	0	18.27896512935883	535.3039604061995	SYK;TRADD;TNFAIP3;TNF;TNFRSF1A;ADAM17;SHARPIN;MADD;OTULIN;RIPK1;RBCK1;BIRC2;BIRC3
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	19/163	2.786471607535808E-13	2.0313378018936042E-10	0	0	9.178300565190087	265.333931372666	RIPK2;TRADD;TNFRSF10B;BCL10;RHOC;TNF;TNFRSF1A;GPRC5B;TBK1;SHARPIN;TNFSF10;RIPK1;TAB2;RBCK1;FADD;MAP3K7;MAP3K14;BIRC2;BIRC3
activation of protein kinase activity (GO:0032147)	20/233	2.010358272069293E-11	1.2823572827962003E-8	0	0	6.758811800885405	166.47036647586526	MAP2K2;RIPK3;RIPK2;KIDINS220;DAB2IP;AXIN1;CXCR4;TNFRSF10B;TNF;ADCY6;ADCY5;STK3;MADD;TAB2;PLCG1;TAB1;PRKACA;PAK2;MAP3K7;MAP3K14
negative regulation of apoptotic process (GO:0043066)	28/485	2.6177309704834022E-11	1.484253460264089E-8	0	0	4.545823524636741	110.7641184221759	FLT4;PIK3R1;GATA1;PRDX3;GRK5;ARHGDIA;CASP3;KDR;CASP2;PAK2;MCL1;NGFR;PRELID1;DFFA;RIPK2;CAV1;TNFRSF10B;TNFRSF1B;NFKBIA;ITCH;HCLS1;BIRC5;BIRC7;SQSTM1;MET;CD44;BIRC2;BIRC3
regulation of programmed cell death (GO:0043067)	21/268	3.50065978926353E-11	1.7863866904611793E-8	0	0	6.169937713009755	148.54424015181775	NGFR;PRELID1;DFFA;MAP2K2;CRADD;DAPK1;TRADD;TNFRSF10B;TNFRSF1B;TNF;STK3;TNFRSF1A;MADD;CASP2;BIRC5;RIPK1;PAK2;LCMT1;MAP3K14;BIRC2;BIRC3
