Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Nucleotide excision repair	7/47	5.672561717493909E-8	1.747149008988124E-5	0	0	19.858156028368793	331.33412619438735	CDK7;RFC1;ERCC3;ERCC2;GTF2H1;RAD23A;MNAT1
Basal transcription factors	6/45	1.0300748555356004E-6	1.5863152775248246E-4	0	0	17.77777777777778	245.0822948104208	CDK7;ERCC3;TAF10;ERCC2;GTF2H1;MNAT1
Longevity regulating pathway	7/102	1.1810255572703117E-5	0.0012125195721308533	0	0	9.150326797385622	103.82456995212229	STK11;RB1CC1;HSPA6;EHMT1;HSPA2;TP53;HSPA1B
Cell cycle	7/124	4.1969567562872653E-5	0.003231656702341194	0	0	7.526881720430108	75.8601725688978	CCNA2;CDK7;CDKN2C;TTK;TP53;CDC14A;CDC14B
Pyrimidine metabolism	5/57	6.788194308390316E-5	0.004181527693968435	0	0	11.695906432748538	112.25427476876567	PNP;RRM2;RRM2B;CAD;TK1
Measles	6/138	6.137594516204325E-4	0.03150631851651554	0	0	5.797101449275362	42.87482596629117	TRAF6;HSPA6;HSPA2;TP53;HSPA1B;BBC3
Toxoplasmosis	5/113	0.0016268603937547785	0.07158185732521026	0	0	5.899705014749262	37.882615105339234	TRAF6;LAMA4;HSPA6;HSPA2;HSPA1B
p53 signaling pathway	4/72	0.0021057404410557215	0.08107100698064527	0	0	7.407407407407407	45.65250459428066	RRM2;RRM2B;TP53;BBC3
Antigen processing and presentation	4/77	0.002691140267812833	0.0920968002762614	0	0	6.926406926406927	40.98902361076866	NFYB;HSPA6;HSPA2;HSPA1B
Spliceosome	5/134	0.0034145378936708388	0.10516776712506185	0	0	4.975124378109452	28.257279162967905	HNRNPM;HSPA6;HSPA2;USP39;HSPA1B
Small cell lung cancer	4/93	0.005295455926535567	0.14827276594299588	0	0	5.734767025089607	30.05537604891603	TRAF6;LAMA4;TP53;PTK2
Protein processing in endoplasmic reticulum	5/165	0.00815833821795713	0.209397347594233	0	0	4.040404040404041	19.429150628305884	BAG2;HSPA6;RAD23A;HSPA2;HSPA1B
Legionellosis	3/55	0.008158618763806682	0.1932965060963429	0	0	7.2727272727272725	34.97222104345526	HSPA6;HSPA2;HSPA1B
Glutathione metabolism	3/56	0.008573749976833363	0.188622499490334	0	0	7.142857142857142	33.993214798948465	GSTM4;RRM2;RRM2B
Drug metabolism	4/108	0.008918665888550326	0.18312993957823337	0	0	4.938271604938271	23.30671065501187	GSTM4;RRM2;RRM2B;TK1
Lysine degradation	3/59	0.009892644421164507	0.19043340510741677	0	0	6.779661016949153	31.294669733931897	KMT2E;EHMT1;PRDM2
Endocytosis	6/244	0.010337453011283571	0.18729032514560823	0	0	3.278688524590164	14.990104144606388	RAB4A;CAPZB;TRAF6;HSPA6;HSPA2;HSPA1B
Transcriptional misregulation in cancer	5/186	0.01321092180054885	0.2260535508093914	0	0	3.5842293906810037	15.507926101690181	CDKN2C;WT1;TP53;PTK2;SUPT3H
Human T-cell leukemia virus 1 infection	5/219	0.024830498348051625	0.4025154469052579	0	0	3.0441400304414	11.250175370662646	CCNA2;CDKN2C;NFYB;GPS2;TP53
Base excision repair	2/33	0.02534373828530093	0.3902935695936343	0	0	8.080808080808081	29.698776484030923	TDG;XRCC1
DNA replication	2/36	0.029802731629662748	0.437106730568387	0	0	7.407407407407407	26.02337203145831	POLA1;RFC1
Amoebiasis	3/96	0.03562435177410853	0.4987409248375194	0	0	4.166666666666667	13.894690984889026	LAMA4;SERPINB9;PTK2
Viral carcinogenesis	4/201	0.06492128526572243	0.8693806896453264	0	0	2.6533996683250414	7.255932972063761	CCNA2;GTF2H1;TP53;HDAC9
MAPK signaling pathway	5/295	0.07166625973198902	0.9197169998938591	0	0	2.2598870056497176	5.956463768806773	TRAF6;HSPA6;HSPA2;TP53;HSPA1B
Autophagy	3/128	0.07180776920943785	0.8846717166602742	0	0	3.125	8.230508132882042	STK11;RB1CC1;TRAF6
Purine metabolism	3/129	0.07313052178408663	0.8663154119037955	0	0	3.10077519379845	8.110106867298354	PNP;RRM2;RRM2B
Ubiquitin mediated proteolysis	3/137	0.08409835368725252	0.9593441828027325	0	0	2.9197080291970807	7.228520548472312	FBXW7;TRAF6;UBE2A
Estrogen signaling pathway	3/137	0.08409835368725252	0.9250818905597777	0	0	2.9197080291970807	7.228520548472312	HSPA6;HSPA2;HSPA1B
Fluid shear stress and atherosclerosis	3/139	0.08694468769021368	0.9234125451236488	0	0	2.877697841726619	7.028728449476387	GSTM4;TP53;PTK2
Pathways in cancer	7/530	0.10448595979216571	1.0	0	0	1.7610062893081762	3.977589436130264	BCR;GSTM4;TRAF6;LAMA4;TP53;PTK2;BBC3
Ribosome	3/153	0.10796666510680286	1.0	0	0	2.6143790849673203	5.819432041622499	RPS7;RPL37A;RPL10A
Chronic myeloid leukemia	2/76	0.111330017838537	1.0	0	0	3.508771929824561	7.70265387722932	BCR;TP53
