Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Viral carcinogenesis	106/201	1.5140251673825622E-38	4.663197515538292E-36	0	0	3.741491196024137	325.82200547859514	UBE3A;CCND3;CHEK1;EP300;SKP2;USP7;MRPS18B;HLA-B;SCRIB;SND1;CCNE2;HIST1H2BF;TBPL1;HIST1H2BE;HIST1H2BH;HIST1H2BG;HIST1H2BB;TP53;HIST1H2BA;HIST1H2BD;ATF4;HIST1H2BC;C3;STAT5A;STAT5B;CREBBP;JUN;HIST1H4K;HIST1H4L;NFKB1;NFKBIA;HIST1H4A;HIST1H4B;HNRNPK;SNW1;CDK6;CDK4;CDK2;REL;MDM2;CDK1;HIST1H4H;HIST1H4I;GRB2;HIST1H4J;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;YWHAE;CDKN1A;CDKN1B;DDX3X;TRADD;PIK3CB;POLB;CASP8;CASP3;CCR4;HRAS;YWHAH;SYK;TRAF2;TRAF1;HIST2H2BF;DDB1;CCNA2;KAT2B;KAT2A;IRF3;TRAF3;HIST4H4;IRF7;IRF9;HIST1H2BN;HDAC4;GTF2A1;HDAC5;HIST1H2BM;HDAC2;HIST1H2BO;HDAC3;HIST1H2BJ;HIST1H2BI;HIST1H2BL;SRF;HIST1H2BK;HDAC8;HDAC9;RELA;HDAC7;HIST2H4A;CDC42;HIST2H4B;MAPK1;BAK1;MAPK3;GSN;CDKN2A;BAD;STAT3;GTF2H1;GTF2H4;PSMC1;DNAJA3;BAX
Pathways in cancer	192/530	2.7637521504758187E-38	4.256178311732761E-36	0	0	2.5701607019751416	222.2717236284363	SPI1;ARAF;KEAP1;ETS1;CRKL;IGF1R;CCND3;FGF8;RPS6KA5;AKT2;AKT3;AKT1;IL12B;EP300;SKP2;SKP1;PRKCG;MAP2K1;PRKCB;DAPK1;TPM3;DAPK3;F2R;PRKCA;RBX1;BCR;MSH6;MSH2;COL4A2;CCNE2;COL4A1;COL4A4;COL4A3;AGTR1;COL4A6;COL4A5;TP53;NOTCH2;NOTCH1;CTBP1;MAX;NOTCH4;CSF2RB;LPAR4;PLD1;STK4;HIF1A;FOXO1;KNG1;HSP90B1;RASGRP3;TERT;TPR;DVL1;PLCG2;DVL3;PLCG1;FADD;GSTM4;STAT5A;SMAD2;ZBTB17;STAT5B;CREBBP;JUN;TGFB1;SMAD3;JUP;GADD45A;PTCH1;FN1;IGF2;BRAF;ESR1;NFKB1;PTK2;IL2;NFKBIA;BMP2;CXCL12;CDK6;CDK4;LPAR6;GNB2;CDK2;GNB1;MDM2;GRB2;IL7R;FGFR3;FGFR2;NFE2L2;FGF10;RET;GSK3B;CDKN1A;CDKN1B;HSP90AB1;CXCL8;PTEN;FASLG;PIK3CB;LAMC1;GLI1;BRCA2;GLI3;BBC3;GLI2;IKBKB;CASP9;CASP7;CASP8;MECOM;HEY1;CASP3;HEY2;BDKRB1;ITGAV;JAK2;HRAS;NCOA1;HSP90AA1;APAF1;CHUK;MMP1;DCC;PLEKHG5;NCOA3;MMP2;AXIN1;TRAF2;FOS;TRAF1;AXIN2;MMP9;TGFBR1;TGFBR2;TRAF4;TRAF3;KIT;RARA;BIRC5;ITGA6;ARHGEF1;BIRC7;PLCB1;SOS1;MET;BIRC2;PPARD;BIRC3;CEBPA;FH;HDAC2;GSTP1;LAMA4;LEF1;LAMA3;XIAP;CXCR4;IL2RG;ADCY7;ADCY6;RELA;ADCY5;LRP6;GNAI2;CDC42;MAPK9;MAPK8;RXRA;ERBB2;CTNNA1;MAPK1;BAK1;HES5;MAPK3;NQO1;STAT1;CDKN2A;BAD;TXNRD1;STAT3;LAMB1;AGT;PML;RAD51;IL2RA;RPS6KB2;CTNNB1;FAS;BAX
Apoptosis	80/143	8.686651313082989E-32	8.918295348098534E-30	0	0	3.9690710141224512	283.87167183828404	TRADD;FASLG;PIK3CB;LMNB2;ACTG1;LMNB1;BBC3;TP53AIP1;CASP9;IKBKB;TUBA1C;CASP7;CASP8;TUBA1A;CASP6;CASP10;AKT2;CASP3;AKT3;CAPN2;TNFSF10;AKT1;CASP2;CAPN1;HRAS;SPTAN1;MAP2K1;DFFA;APAF1;CHUK;PARP1;PDPK1;TRAF2;TRAF1;FOS;TUBA4A;TNFRSF1A;ERN1;DDIT3;BIRC5;BIRC6;BIRC7;TP53;BIRC2;ATF4;BIRC3;BECN1;BCL2A1;DIABLO;ITPR1;XIAP;CSF2RB;ITPR3;RELA;MAPK9;TUBA3D;MAPK8;TUBA3C;MAPK1;RIPK1;FADD;BAK1;MCL1;MAPK3;NGFR;JUN;GADD45A;BAD;DAB2IP;TNFRSF10B;GZMB;CFLAR;PTPN13;EIF2S1;NFKB1;NFKBIA;FAS;BAX;ATM;TUBA8
Human papillomavirus infection	120/330	1.922382604561563E-24	1.4802346055124036E-22	0	0	2.5798961591795933	140.8841997491595	PATJ;PPP2R2A;UBE3A;CCND3;TBK1;PPP2R1B;PPP2R1A;AKT2;AKT3;AKT1;EP300;PRKCI;MAP2K1;HLA-B;TSC2;SCRIB;TSC1;CCNE2;COL4A2;COL4A1;PARD3;COL4A4;COL4A3;COL4A6;TBPL1;COL4A5;TP53;ATP6V1A;NOTCH2;NOTCH1;NOTCH4;FOXO1;TERT;DVL1;EIF4EBP1;DVL3;ATP6V0A4;FADD;CREBBP;FN1;PTK2;NFKB1;COL1A1;COL1A2;CDK6;CDK4;TADA3;CDK2;MDM2;GRB2;ATM;ATR;GSK3B;CDKN1A;CDKN1B;TRADD;PTEN;FASLG;PIK3CB;LAMC1;IKBKB;CASP8;HEY1;CASP3;HEY2;ITGB8;ITGAV;ITGB6;HRAS;IKBKE;ATP6V0B;CHUK;AXIN1;PPP2R5B;AXIN2;PPP2R5C;TNFRSF1A;CCNA2;COL2A1;IRF3;TRAF3;COL6A2;IRF1;COL6A1;COL6A3;ITGA6;SOS1;IRF9;ATP6V1B1;HDAC2;LAMA4;LAMA3;PARD6G;THBS2;THBS1;RELA;PPP2CA;CDC42;PPP2CB;PARD6B;PARD6A;SPP1;MAPK1;BAK1;HES2;HES5;MAPK3;CSNK1A1;STAT1;BAD;MX1;LAMB1;MPP5;PPP2R2B;PSMC1;RPS6KB2;CTNNB1;FAS;BAX;CSNK1A1L
TNF signaling pathway	61/110	2.792702006820191E-24	1.7203044362012375E-22	0	0	3.9343416427488798	213.37914742498577	TRADD;TNFAIP3;CXCL1;PIK3CB;CXCL2;CXCL5;ICAM1;IKBKB;CASP7;RPS6KA5;CASP8;CASP10;AKT2;CASP3;AKT3;AKT1;MAP3K8;DNM1L;JUNB;MAP2K3;MAP2K1;CHUK;MMP3;TRAF2;TRAF1;FOS;TNFRSF1B;MMP9;TNFRSF1A;TRAF3;IRF1;LTA;BIRC2;ATF4;BIRC3;CEBPB;NOD2;RELA;SOCS3;MAPK9;BAG4;MAPK8;CCL5;CCL2;MAPK1;RIPK1;FADD;MAP2K6;MAPK3;JUN;VCAM1;DAB2IP;CFLAR;SELE;NFKB1;NFKBIA;MAPK11;ITCH;FAS;TAB2;TAB1
Measles	69/138	9.161258377764757E-24	4.702779300585909E-22	0	0	3.5473572188719404	188.1768665665883	GSK3B;CDKN1B;TRADD;TNFAIP3;FASLG;PIK3CB;BBC3;CASP9;IKBKB;CCND3;TBK1;CASP8;AKT2;CASP3;AKT3;RACK1;AKT1;IL12B;IKBKE;APAF1;CHUK;DDX58;CSNK2A2;IRAK4;FOS;CCNE2;IRF3;TRAF3;IRF7;TP53;TLR4;IRF9;TLR2;IL2RG;RELA;MAPK9;MAPK8;IRAK1;FADD;BAK1;STAT5A;STAT5B;HSPA8;JUN;HSPA1L;BAD;STAT1;HSPA6;MX1;STAT3;MSN;HSPA2;EIF2S1;NFKB1;IL2;NFKBIA;CDK6;CDK4;IL2RA;CDK2;FAS;BAX;EIF3H;RAB9A;TAB2;HSPA1B;TP73;NFKBIB;HSPA1A
Hepatitis B	76/163	1.3389799664542945E-23	5.891511852398896E-22	0	0	3.3079650139173924	174.22240957271663	CDKN1A;CXCL8;DDX3X;ARAF;FASLG;PIK3CB;CASP9;IKBKB;TBK1;CASP8;CASP10;AKT2;CASP3;AKT3;AKT1;EP300;JAK2;HRAS;IKBKE;PRKCG;MAP2K3;MAP2K1;APAF1;CHUK;PRKCB;DDX58;PRKCA;IRAK4;FOS;MMP9;TIRAP;TGFBR1;TGFBR2;CCNA2;DDB1;CCNE2;IRF3;TRAF3;IRF7;BIRC5;SOS1;TP53;TLR4;ATF4;TLR2;RELA;MAPK9;MAPK8;IRAK1;PTK2B;MAPK1;FADD;MAP2K6;MAPK3;SMAD2;STAT5A;STAT5B;CREBBP;JUN;TGFB1;SMAD3;MAP3K1;BAD;STAT1;STAT3;NFATC1;BRAF;NFKB1;NFKBIA;MAPK11;CDK2;FAS;BAX;TAB2;GRB2;TAB1
Transcriptional misregulation in cancer	82/186	2.3700847901814523E-23	9.12482644219859E-22	0	0	3.1277773327688076	162.94635005353322	CD40;CDKN1A;SPI1;CXCL8;CDKN1B;ITGAM;AFF1;IGF1R;SIN3A;MEN1;KDM6A;MEF2C;LMO2;MMP3;TRAF1;PAX5;MMP9;RUNX2;SUPT3H;TGFBR2;MYCN;HIST2H3A;ZEB1;NCOR1;EWSR1;DDIT3;RARA;ERG;HIST2H3D;TP53;HIST2H3C;MET;BIRC3;CEBPA;DDX5;CEBPB;HDAC2;KMT2A;HIST1H3J;BCL2A1;MAX;CEBPE;PRCC;DOT1L;MLLT1;MLLT3;FOXO1;RELA;HIST1H3A;RXRA;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;BAK1;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;ZBTB17;NGFR;SMAD1;CDKN2C;JUP;GADD45A;ASPSCR1;HMGA2;GZMB;NFKB1;FLI1;PTK2;PML;CDK9;PER2;BCL6;WT1;HIST3H3;MDM2;REL;BAX;ATM;CDK14
Human T-cell leukemia virus 1 infection	90/219	7.074262065042764E-23	2.4209696844813015E-21	0	0	2.9156360703057045	148.7061690073745	CD40;CDKN1A;CRTC2;SPI1;TRRAP;CRTC1;PTEN;PIK3CB;ITGAL;ETS1;ETS2;ICAM1;IKBKB;POLB;PPP3CA;CCND3;ZFP36;XPO1;KAT5;PTTG1;CHEK2;AKT2;CHEK1;AKT3;CDC27;AKT1;EP300;HRAS;MAP2K1;MMP7;CHUK;HLA-B;FOS;TGFBR1;TNFRSF1A;TGFBR2;CCNA2;KAT2B;KAT2A;CCNE2;LCK;CANX;LTA;TBPL1;VDAC1;SLC25A5;TP53;SLC25A4;ATF4;SLC25A6;SRF;XIAP;GPS2;IL2RG;ADCY7;ADCY6;RELA;ADCY5;RELB;MAPK9;PPP3R1;MAPK8;TERT;MAPK1;MSX1;MAPK3;STAT5A;SMAD2;STAT5B;MAP3K3;CREBBP;JUN;CDKN2C;MAP3K1;TGFB1;SMAD3;CDKN2A;NFYB;NFATC1;NFKB1;IL2;FOSL1;NFKBIA;CDK4;IL2RA;CDK2;BAX;ATM;ATR;MAD2L1
Proteoglycans in cancer	83/201	2.3072213127188304E-21	7.106241643173998E-20	0	0	2.9296582006604086	139.21221042457591	CDKN1A;ARAF;FASLG;PIK3CB;ACTG1;IGF1R;PPP1CC;AKT2;CASP3;AKT3;AKT1;IL12B;ITGAV;HRAS;PRKCG;MAP2K1;PPP1R12A;PRKCB;PDPK1;MMP2;RPS6;GAB1;FRS2;PRKCA;ANK3;NUDT16L1;MMP9;DCN;VAV2;TIAM1;CTTN;HCLS1;ARHGEF1;EZR;SOS1;TP53;TLR4;MET;CD44;TLR2;CD63;DDX5;SDC4;SDC2;TWIST2;ITPR1;TWIST1;ITPR3;HIF1A;THBS1;CDC42;ERBB4;ERBB2;PLCG2;FLNA;DROSHA;MAPK1;PLCG1;EIF4B;MAPK3;SMAD2;TGFB1;CAV2;PTCH1;CAV1;STAT3;IGF2;FN1;MSN;BRAF;PTPN11;ESR1;PTK2;PPP1CA;MAPK11;TFAP4;RPS6KB2;MDM2;PDCD4;CTNNB1;FAS;GRB2;PTPN6
