Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
AGE-RAGE signaling pathway in diabetic complications	19/100	1.4461962365794273E-24	4.454284408664636E-22	0	0	35.18518518518518	1931.4240791486964	EDN1;TGFB1;NOS3;PRKCE;MMP2;SERPINE1;PRKCD;CYBB;PRKCA;TNF;RELA;AGT;ICAM1;VEGFA;IL6;CASP3;IL1B;BCL2;BAX
Insulin resistance	19/108	6.967830542743745E-24	1.0730459035825368E-21	0	0	32.578875171467764	1737.129677515722	SREBF1;CPT1A;IRS1;NOS3;PRKCE;INSR;PRKCD;SLC2A2;IRS2;SLC2A4;TNF;CPT1B;RELA;AGT;TNFRSF1A;IL6;PCK1;PPARA;PPARGC1A
Fluid shear stress and atherosclerosis	20/139	2.9490111493605214E-23	3.027651446676802E-21	0	0	26.645350386357578	1382.3071470373357	NQO1;EDN1;NCF1;CAV3;NOS3;MMP2;CAV1;CYBA;TNF;MMP9;RELA;ICAM1;TNFRSF1A;VEGFA;IFNG;IL1B;BCL2;HMOX1;TP53;MAP3K5
Non-alcoholic fatty liver disease (NAFLD)	19/149	4.296586124691192E-21	3.308371316012218E-19	0	0	23.61421824509073	1107.4233870616772	SREBF1;TGFB1;PKLR;IRS1;INSR;IRS2;TNF;RELA;TNFRSF1A;IL6;LEP;IL1B;CASP3;LEPR;FAS;BAX;COX2;PPARA;MAP3K5
AMPK signaling pathway	17/120	9.153580918346785E-20	5.638605845701619E-18	0	0	26.234567901234566	1150.059357869252	SREBF1;CPT1A;IRS1;INSR;IRS2;IGF1;SLC2A4;FOXO3;SIRT1;ADRA1A;CPT1B;LEP;LEPR;PPARG;PCK1;PPARGC1A;PFKM
Type II diabetes mellitus	13/46	1.3806918237421488E-19	7.087551361876365E-18	0	0	52.33494363929146	2272.725108426758	KCNJ11;PKLR;IRS1;INSR;PRKCE;PRKCD;PDX1;SLC2A2;IRS2;SLC2A4;TNF;GCK;HK1
HIF-1 signaling pathway	16/100	1.525627807586833E-19	6.712762353382066E-18	0	0	29.62962962962963	1283.7543930203599	EDN1;NOS2;NOS3;INSR;SERPINE1;CYBB;PRKCA;IGF1;RELA;HK1;VEGFA;IL6;IFNG;BCL2;HMOX1;TIMP1
Adipocytokine signaling pathway	14/69	9.056830656102956E-19	3.486879802599638E-17	0	0	37.57380568974772	1561.0262086778118	CPT1A;IRS1;ACSL1;IRS2;SLC2A4;TNF;CPT1B;RELA;TNFRSF1A;LEP;LEPR;PPARA;PCK1;PPARGC1A
Longevity regulating pathway	14/102	3.0122638745818843E-16	1.0308636370791338E-14	0	0	25.41757443718228	908.3902941840616	IRS1;INSR;IRS2;IGF1;FOXO3;SOD2;SIRT1;RELA;SOD1;CAT;BAX;PPARG;TP53;PPARGC1A
Pathways in cancer	24/530	6.994762886952243E-16	2.1543869691812908E-14	0	0	8.385744234800837	292.6306061037053	NQO1;EDN1;TGFB1;NOS2;MMP2;PRKCA;IGF1;PTGS2;MMP9;AGT;RELA;VEGFA;IL6;IFNG;CASP3;BCL2;FAS;BAX;HMOX1;BDKRB1;PPARG;TP53;FGF21;BCL2L1
TNF signaling pathway	14/110	8.984861200404475E-16	2.515761136113253E-14	0	0	23.569023569023564	816.5681579460821	EDN1;CCL20;PTGS2;TNF;MMP9;RELA;CX3CL1;ICAM1;TNFRSF1A;IL6;IL1B;CASP3;FAS;MAP3K5
Amyotrophic lateral sclerosis (ALS)	11/51	2.6851063537427196E-15	6.891772974606314E-14	0	0	39.94190268700073	1340.0930160908508	GPX1;CASP3;CAT;BCL2;BAX;TNF;TP53;MAP3K5;TNFRSF1A;SOD1;BCL2L1
Sphingolipid signaling pathway	13/119	7.671355372958516E-14	1.8175211191317099E-12	0	0	20.230314347961407	610.9291532611805	NOS3;PRKCE;PRKCA;TNF;RELA;TNFRSF1A;BCL2;BAX;S1PR2;S1PR5;TP53;S1PR4;MAP3K5
FoxO signaling pathway	13/132	2.9871309036378956E-13	6.57168798800337E-12	0	0	18.23793490460157	525.9691456236819	TGFB1;IRS1;INSR;IRS2;IGF1;SLC2A4;FOXO3;SOD2;SIRT1;IL6;CAT;PCK1;S1PR4
Maturity onset diabetes of the young	8/26	8.002531274538311E-13	1.6431864217051997E-11	0	0	56.98005698005698	1587.1138637021277	NEUROD1;PKLR;PDX1;SLC2A2;PAX6;IAPP;NKX6-1;GCK
Leishmaniasis	10/74	7.42090850543247E-12	1.4285248872957505E-10	0	0	25.025025025025027	641.3092999539339	TGFB1;NCF1;IFNG;NOS2;IL1B;CYBB;CYBA;PTGS2;TNF;RELA
