#rank	DIAMOnD_node
1	1280
2	2768
3	1894
4	1303
5	64112
6	389692
7	8837
8	7187
9	345651
10	3981
11	23376
12	92140
13	1291
14	63891
15	7057
16	1289
17	1282
18	1284
19	2534
20	4734
21	3717
22	1445
23	197
24	4085
25	2048
26	29979
27	3191
28	2887
29	408
30	3416
31	6643
32	9146
33	254887
34	6642
35	84243
36	58533
37	8723
38	5563
39	3881
40	5562
41	5519
42	1605
43	4323
44	54915
45	4780
46	90933
47	4082
48	25764
49	4616
50	5189
51	1176
52	1756
53	7297
54	3716
55	3718
56	238
57	2064
58	5291
59	207
60	5801
61	3480
62	5494
63	5921
64	150290
65	5777
66	142679
67	8503
68	1956
69	2475
70	8517
71	2324
72	25970
73	64327
74	6774
75	5338
76	6850
77	5295
78	8651
79	5296
80	7409
81	5747
82	5781
83	2932
84	1796
85	5336
86	868
87	2885
88	11188
89	10451
90	3265
91	10205
92	4893
93	6093
94	5770
95	6777
96	200728
97	9448
98	2168
99	6464
100	3572
101	5335
102	5290
103	10603
104	3636
105	3845
106	6574
107	80201
108	58477
109	55704
110	9610
111	10492
112	3320
113	815
114	5159
115	6714
116	660
117	5609
118	4914
119	9647
120	10818
121	2778
122	5594
123	7249
124	3791
125	6815
126	7314
127	351
128	1901
129	1969
130	8650
131	5579
132	10928
133	25998
134	5997
135	9021
136	7171
137	7273
138	4155
139	6168
140	471
141	8741
142	55361
143	1508
144	587
145	22895
146	3645
147	4188
148	6812
149	2697
150	5595
151	6622
152	4067
153	156
154	5792
155	5789
156	7706
157	5445
158	8301
159	23214
160	10657
161	8440
162	10979
163	25962
164	10580
165	10076
166	7046
167	23607
168	54434
169	7343
170	9397
171	5501
172	7430
173	356
174	8795
175	387
176	5599
177	4478
178	841
179	396
180	637
181	843
182	9020
183	835
184	1400
185	7185
186	3932
187	818
188	8996
189	8737
190	867
191	4306
192	8717
193	153090
194	30011
195	7128
196	329
197	57561
198	10133
199	10318
200	8772
